rank,cihui,pinyin,ref_hanzi,ref_pinyin,pos,definition,example
45009,对口相声,duìkǒu xiàngsheng,,,,见“ 相声 ”,
46121,士女,shìnǚ,,,,见“ 仕女 ” 现在一般写作“仕女”,
46220,代庖,dàipáo,,,,见“ 越俎代庖 ”,
46383,鎏金,liújīn,,,,见“ 镏金 ” 现在一般写作“镏金”,
46409,川贝,chuānbèi,,,,见“ 贝母 ”,
46414,打退堂鼓,dǎtuìtánggǔ,,,,见“ 退堂鼓 ”,
46592,谦辞,qiāncí,,,,见“ 谦词 ” 现在一般写作“谦词”,
46608,分母,fēnmǔ,,,,见“ 分数 ”,
46736,性器官,xìngqìguān,,,,见“ 生殖器 ”,
46800,刻版,kèbǎn,,,,见“ 刻板 ” 现在一般写作“刻板”,
46828,工力,gōnglì,,,,见“ 功力 ” 现在一般写作“功力”,
47020,白鹳,báiguàn,,,,见“ 鹳 ”,
47067,翠玉,cuìyù,,,,见“ 翡翠 ”,
47096,黄种人,huángzhǒngrén,,,,见“ 人种 ”,
47285,薪火,xīnhuǒ,,,,见“ 薪尽火传 ”,
47513,火暴,huǒbào,,,,见“ 火爆 ” 现在一般写作“火爆”,
47552,单口相声,dānkǒu xiàngsheng,,,,见“ 相声 ”,
47800,校官,xiàoguān,,,,见“ 军衔 ”,
48437,回游,huíyóu,,,,见“ 洄游 ” 现在一般写作“洄游”,
48444,宛转,wǎnzhuǎn,,,,见“ 婉转 ” 现在一般写作“婉转”,
48550,气态,qìtài,,,,见“ 气体 ”,
48875,鼓胀,gǔzhàng,,,,见“ 臌胀 ” 现在一般写作“臌胀”,
48904,倒底,dàodǐ,,,,见“ 到底 ” 现在一般写作“到底”,
49140,二十四节气,èrshísì jiéqi,,,,见“ 节气 ”,
49335,休庭,xiūtíng,,,,见“ 开庭 ”,
49586,超导体,chāodǎotǐ,,,,见“ 超导电性 ”,
49900,信口雌黄,xìnkǒu-cíhuáng,,,,见“ 雌黄 ” 用法说明 跟“信口开河”不同。“信口雌黄”侧重于不顾常理、抹杀事实，语意较重；“信口开河”侧重于随口乱说、不负责任,
