rank,cihui,pinyin,ref_hanzi,ref_pinyin,pos,definition,example
25283,节气,jiéqi,,,,见“ 二十四节气 ”,
25313,武工,wǔgōng,,,,见“ 武功 ” 现在一般写作“武功”,
25422,溶化,rónghuà,,,,见“ 融化 ” 现在一般写作“融化”,
25572,星宿,xīngxiù,,,,见“ 二十八宿 ” 用法说明 “宿”这里不读 sù,
25589,彩云,cǎiyún,,,,见“ 霞 ”,
25888,警员,jǐngyuán,,,,见“ 警衔 ”,
26001,液态,yètài,,,,见“ 液体 ”,
26024,子部,zǐbù,,,,见“ 四部 ”,
26038,竹笋,zhúsǔn,,,,见“ 笋 ”,
26226,织女,zhīnǚ,,,,见“ 牛郎织女 ”,
26597,夏娃,xiàwá,,,,见“ 亚当 ”,
27426,尖利,jiānlì,,,,见“ 尖厉 ” 现在一般写作“尖厉”,
27826,白芍,báisháo,,,,见“ 芍药 ”,
28018,宽宏,kuānhóng,,,,见“ 宽洪 ” 现在一般写作“宽洪”,
28031,白天鹅,báitiān'é,,,,见“ 天鹅 ”,
28152,天干,tiāngān,,,,见“ 干支 ”,
28558,作用力,zuòyònglì,,,,见“ 反作用力 ”,
28582,地陷,dìxiàn,,,,见“ 天塌地陷 ”,
28593,亭亭,tíngtíng,,,,见“ 婷婷 ” 现在一般写作“婷婷”,
28629,做功,zuògōng,,,,见“ 功 ”,
28656,国际互联网,guójì hùliánwǎng,,,,见“ 互联网 ”,
29288,点睛,diǎnjīng,,,,见“ 画龙点睛 ”,
29375,差使,chāishi,,,,见“差事” 现在一般写作“差事”,
29701,合式,héshì,,,,见“ 合适 ” 现在一般写作“合适”,
29913,份外,fènwài,,,,见“ 分外 ” 现在规范词形写作“ 分外 ”,
29957,经部,jīngbù,,,,见“ 四部 ”,
