rank,hanzi,pinyin,ref_hanzi,ref_pinyin,pos,definition,example
3504,麽,mó,,,名,见“ 幺（yāo）麽 ” ○ 姓 另见 me“ 么 ”,
3610,苓,líng,,,名,见“ 茯（fú）苓 ” ○ 姓 用法说明 跟“芩（qín）”不同,
3612,啕,táo,,,,见“ 号（háo）啕 ”,
3621,惚,hū,,,,见“ 恍惚 ”,
3643,躇,chú,,,,见“ 踌（chóu）躇 ”,
3659,痫,xián,,,,见“ 癫（diān）痫 ”,
3681,斓,lán,,,,见“ 斑斓 ”,
3683,忑,tè,,,,见“ 忐（tǎn）忑 ”,
3701,芷,zhǐ,,,名,见“ 白芷 ” ○ 姓,
3741,竺,zhú,,,名,见“ 天竺 ” ○ 姓,
3748,恿,yǒng,,,,见“ 怂（sǒng）恿 ”,
3759,儡,lěi,,,,见“ 傀（kuǐ）儡 ”,
3771,遢,tā,,,,见“ 邋遢（lāta） ”,
3776,觎,yú,,,,见“ 觊（jì）觎 ”,
3844,娑,suō,,,,见“ 婆（pó）娑 ” 用法说明 不读 shā,
3851,蔺,lìn,,,名,见“ 马蔺 ” ○ 姓 用法说明 下边“门”里是“隹”，不是“佳”,
3885,萸,yú,,,,见“ 茱（zhū）萸 ”,
3959,珀,pò,,,,见“ 琥（hǔ）珀 ”,
3969,滢,yíng,,,,见“ 汀（tīng）滢 ”,
3971,蓿,xu,,,,见“ 苜（mù）蓿 ”,
3980,豉,chǐ,,,,见“ 豆豉 ” 用法说明 ㊀统读 chǐ，不读 chí 或 shì。㊁跟“鼓”不同,
3995,槿,jǐn,,,,见“ 木槿 ”,
4003,臾,yú,,,,见“ 须臾 ” 用法说明 由“臼”和“人”构成,
4023,獗,jué,,,,见“ 猖（chāng）獗 ”,
4088,篌,hóu,,,,见“ 箜（kōng）篌 ”,
4114,霓,ní,,,,见“虹”,
4159,啷,lāng,,,,见“当啷”,
4161,猁,lì,,,,见“ 猞（shē）猁 ”,
4162,妤,yú,,,,见“ 婕（jié）妤 ”,
4165,逅,hòu,,,,见“ 邂（xiè）逅 ”,
4216,榈,lǘ,,,,见“ 棕榈 ” 用法说明 统读 lǘ，不读 lǚ,
4218,滟,yàn,,,名,见“ 潋（liàn）滟 ” ○ 滟滪堆 yànyùduī 长江瞿塘峡口的巨石（1958年整治河道时已炸平）,
4256,礴,bó,,,,见“ 磅（páng）礴 ”,
4279,胱,guāng,,,,见“ 膀（páng）胱 ”,
