rank,cihui,pinyin,ref_hanzi,ref_pinyin,pos,definition,example
10257,滋生,zīshēng,,,,见“ 孳生 ” 现在一般写作“孳生”,
10908,突起,tūqǐ,,,,见“ 凸起 ” 现在一般写作“凸起”,
10970,统帅,tǒngshuài,,,,见“ 统率 ” 现在一般写作“统率”,
11402,辞典,cídiǎn,,,,见“ 词典 ” 现在一般写作“词典”,
11444,东经,dōngjīng,,,,见“经度”,
11456,传统产业,chuántǒngchǎnyè,,,,见“ 传统工业 ”,
11878,少校,shàoxiào,,,,见“ 军衔 ”,
12232,还原,huányuán,,,,见“ 氧化 ”,
12235,果子,guǒzi,,,,见“ 馃子 ” 现在一般写作“馃子”,
12251,名列前茅,mínglièqiánmáo,,,,见“ 前茅 ”,
12563,扬扬,yángyáng,,,,见“ 洋洋 ” 现在一般写作“洋洋”,
12659,春兰,chūnlán,,,,见“ 兰花 ”,
13925,太监,tàijiàn,,,,见“ 宦官 ”,
14139,客队,kèduì,,,,见“ 客场 ”,
14410,上尉,shàngwèi,,,,见“ 军衔 ”,
14458,定购,dìnggòu,,,,见“ 订购 ” 现在一般写作“订购”,
14939,热火,rèhuo,,,,见“ 热和 ” 现在一般写作“热和”,
