rank,cihui
90001,品竹弹丝
90002,道尽途穷
90003,对口快板儿
90004,山长水远
90005,阿谀取容
90006,吮痈舐痔
90007,聊以卒岁
90008,抢地呼天
90009,釜中之鱼
90010,不足与谋
90011,侯门似海
90012,惊心怵目
90013,口吐珠玑
90014,惊魂动魄
90015,渐不可长
90016,柴立不阿
90017,投袂而起
90018,刺股悬梁
90019,旌旗蔽日
90020,人离乡贱
90021,花儿洞子
90022,内顾之忧
90023,攒三聚五
90024,荆棘满途
90025,投鞭断流
90026,投畀豺虎
90027,千仇万恨
90028,博士买驴
90029,傥来之物
90030,面誉背毁
90031,千里无烟
90032,床上安床
90033,玉骨冰肌
90034,蒲柳之姿
90035,千秋万古
90036,留中不发
90037,傍人门户
90038,擘肌分理
90039,断编残简
90040,急于事功
90041,百辞莫辩
90042,稳操左券
90043,尽情泼洒
90044,跳皮筋儿
90045,锥处囊中
90046,等而上之
90047,异途同归
90048,不差累黍
90049,地瘠民贫
90050,楼阁亭台
90051,战无不克
90052,器宇不凡
90053,紧衣缩食
90054,琪花瑶草
90055,蹁跹起舞
90056,债多不愁
90057,富而好礼
90058,痛彻心腑
90059,片鳞半爪
90060,瘦骨如柴
90061,可操左券
90062,被坚执锐
90063,旅进旅退
90064,雨后送伞
90065,快心遂意
90066,太上忘情
90067,魄散魂飞
90068,拨草寻蛇
90069,磕磕撞撞
90070,撮土为香
90071,三头对案
90072,伊巴露丽
90073,切向速度
90074,牛年马月
90075,恩深义重
90076,一字一珠
90077,项背相望
90078,长眠不起
90079,覆盆之冤
90080,倾筐倒箧
90081,村夫俗子
90082,假途灭虢
90083,斗酒百篇
90084,三江五湖
90085,反面无情
90086,乌飞兔走
90087,物各有主
90088,功盖天下
90089,奇正相生
90090,风清月明
90091,反间之计
90092,忘战必危
90093,浩气凛然
90094,义气相投
90095,重施故伎
90096,不识一丁
90097,剖腹藏珠
90098,冒大不韪
90099,热炒热卖
90100,一手包揽
90101,狗苟蝇营
90102,弯弯拐拐
90103,一身两役
90104,弄璋之喜
90105,擢发难数
90106,聚少成多
90107,二次曲线
90108,桑田沧海
90109,周而不比
90110,寸木岑楼
90111,千金市骨
90112,欺善怕恶
90113,亲冒矢石
90114,邀功求赏
90115,暗偷明抢
90116,出谷迁乔
90117,并世无双
90118,不赞一词
90119,龇牙裂嘴
90120,龙章凤姿
90121,豕突狼奔
90122,土洋并举
90123,如指诸掌
90124,半半拉拉
90125,伐毛洗髓
90126,昂然而入
90127,手指头肚儿
90128,破壁飞去
90129,卖儿鬻女
90130,变生肘腋
90131,并蒂芙蓉
90132,拒谏饰非
90133,吸声材料
90134,傲雪欺霜
90135,擎天玉柱
90136,玉树琼枝
90137,相时而动
90138,擎天之柱
90139,以管窥豹
90140,相忍为国
90141,朝闻夕死
90142,桃李争妍
90143,家累千金
90144,道骨仙风
90145,一干人犯
90146,眉头不展
90147,有目共赏
90148,愣头儿青
90149,眉眼传情
90150,土瘠民贫
90151,惜玉怜香
90152,拿腔做势
90153,引玉之砖
90154,暧昧之情
90155,琴心剑胆
90156,袅袅不绝
90157,犀牛望月
90158,为虎添翼
90159,摧陷廓清
90160,苟合取容
90161,宛然在目
90162,天空海阔
90163,安常处顺
90164,穷原竟委
90165,宝马香车
90166,闳中肆外
90167,无所回避
90168,东坡书院
90169,为民父母
90170,闭门自守
90171,无头告示
90172,分甘共苦
90173,一碧千里
90174,倒悬之急
90175,了不相干
90176,电掣风驰
90177,尘饭涂羹
90178,探幽索隐
90179,花不棱登
90180,草野之人
90181,钳口结舌
90182,云开见日
90183,冠盖相望
90184,伏尸百万
90185,熊腰虎背
90186,天悬地隔
90187,喜逐颜开
90188,积善成德
90189,熊心豹胆
90190,楚囚相对
90191,沉疴难起
90192,再造之恩
90193,格杀无论
90194,尺短寸长
90195,目不窥园
90196,国士无双
90197,劝百讽一
90198,十羊九牧
90199,持盈保泰
90200,唇焦口燥
90201,引领而望
90202,漂泊无依
90203,漂泊他乡
90204,紫阳书院
90205,吉莱斯皮
90206,吴带当风
90207,老头儿乐
90208,是非口舌
90209,空空妙手
90210,母慈子孝
90211,轻财好施
90212,轻财重士
90213,衔石填海
