rank,cihui,pinyin,ref_hanzi,ref_pinyin,pos,definition,example
90282,南极光,nánjíguāng,,,,见“ 极光 ”,
90547,鳁鲸,wēnjīng,,,,见“ 鲸 ”,
91011,拾人唾余,shíréntuòyú,,,,见“ 唾余 ”,
91046,倚马千言,yǐmǎ-qiānyán,,,,见“ 倚马可待 ”,
91286,囊揣,nāngchuài,,,,见“ 囊膪 ” 现在一般写作“囊膪”,
91355,脸薄,liǎnbáo,,,,见“ 脸皮 ”,
91384,锈菌,xiùjūn,,,,见“ 锈病 ”,
91413,申敕,shēnchì,,,,见“ 申饬 ” 现在一般写作“申饬”,
91488,珑璁,lóngcōng,,,,见“ 茏葱 ” 现在一般写作“茏葱”,
91507,四六体,sì-liùtǐ,,,,见“ 骈体 ”,
91536,安培表,ānpéibiǎo,,,,见“ 安培 ”,
91564,线桄子,xiànguàngzi,,,,见“ 桄子 ”,
91614,八斗才,bādǒucái,,,,见“ 才高八斗 ”,
91660,挨闷棍,áimèngùn,,,,见“ 闷棍 ” 用法说明 “闷”这里不读 mēn,
91667,复名数,fùmíngshù,,,,见“ 名数 ”,
91925,绕梁之音,ràoliángzhīyīn,,,,见“ 绕梁三日 ”,
91952,泾渭不分,jīngwèi-bùfēn,,,,见“ 泾渭分明 ”,
92073,入门问讳,rùmén-wènhuì,,,,见“ 入境问俗 ”,
92111,判若鸿沟,pànruòhónggōu,,,,见“ 鸿沟 ”,
92312,蒲月,púyuè,,,,见“ 蒲节 ”,
92370,庖代,páodài,,,,见“ 越俎代庖 ”,
92499,崖葬,yázàng,,,,见“ 悬棺 ”,
