rank,cihui,pinyin,ref_hanzi,ref_pinyin,pos,definition,example
15007,做客,zuòkè,,,,见“ 作客 ” 现在一般写作“作客”,
15128,漂浮,piāofú,,,,见“ 飘浮 ” 现在一般写作“飘浮”,
15432,西经,xījīng,,,,见“经度”,
15607,雏形,chúxíng,,,,见“ 雏型 ” 现在一般写作“雏型”,
15609,融和,rónghé,,,,见“ 融合 ” 现在一般写作“融合”,
15840,把子,bǎzi,,,,见“ 拜把子 ”,
15954,中校,zhōngxiào,,,,见“ 军衔 ”,
15974,切磋,qiēcuō,,,,见“ 切磋琢磨 ”,
16137,一斑,yībān,,,,见“ 管中窥豹 ”,
16236,青年团,qīngniántuán,,,,见“ 共青团 ”,
16359,癌细胞,áixìbāo,,,,见“ 恶性肿瘤 ”,
16429,大校,dàxiào,,,,见“ 军衔 ”,
16883,北纬,běiwěi,,,,见“ 纬度 ”,
17098,切切,qièqiè,,,,见“ 窃窃 ” 现在一般写作“窃窃”,
17201,上手,shàngshǒu,,,,见“ 上首 ” 现在一般写作“上首”,
18653,着数,zhāoshù,,,,见“ 招数 ” 现在一般写作“招数”,
19074,霓虹,níhóng,,,,见“霓”,
19356,封建主义,fēngjiàn zhǔyì,,,,见“ 封建社会 ”,
19470,中尉,zhōngwèi,,,,见“ 军衔 ”,
19529,佩带,pèidài,,,,见“ 佩戴 ” 现在一般写作“佩戴”,
19872,士官,shìguān,,,,见“ 军衔 ”,
19991,常数,chángshù,,,,见“ 常量 ”,
