rank,cihui,pinyin,ref_hanzi,ref_pinyin,pos,definition,example
55072,撒手人寰,sāshǒu-rénhuán,,,,见“撒手”,
55126,说项,shuōxiàng,,,,见“ 逢人说项 ”,
55149,踩高跷,cǎigāoqiāo,,,,见“ 高跷 ”,
55261,全豹,quánbào,,,,见“ 管中窥豹 ”,
55448,委琐,wěisuǒ,,,,见“ 猥琐 ” 现在一般写作“猥琐”,
55481,赛先生,sàixiānshēng,,,,见“ 德先生 ”,
55660,经济担保,jīngjì dānbǎo,,,,见“ 担保 ”,
55844,丹方,dānfāng,,,,见“ 单方 ” 现在一般写作“单方”,
55912,月全食,yuèquánshí,,,,见“ 月食 ”,
56026,得道多助,dédào-duōzhù,,,,见“ 失道寡助 ”,
56037,中央处理器,zhōngyāng chǔlǐqì,,,,见“ 处理器 ”,
56574,评话,pínghuà,,,,见“ 平话 ” 现在一般写作“平话”,
57008,消夜,xiāoyè,,,,见“ 宵夜 ” 现在一般写作“宵夜”,
57302,审察,shěnchá,,,,见“ 审查 ” 现在一般写作“审查”,
57348,阑干,lángān,,,,见“ 栏杆 ” 现在一般写作“栏杆”,
57689,虚数,xūshù,,,,见“ 复数 ”,
57840,石版,shíbǎn,,,,见“ 石印 ”,
57962,延展性,yánzhǎnxìng,,,,见“延性”,
57996,旱船,hànchuán,,,,见“ 跑旱船 ”,
58196,拉洋片,lāyángpiān,,,,见“ 西洋景 ”,
58291,船桨,chuánjiǎng,,,,见“ 桨 ”,
58417,打官腔,dǎguānqiāng,,,,见“ 官腔 ”,
58441,兜子,dōuzi,,,,见“ 篼子 ” 现在一般写作“篼子”,
58445,团音,tuányīn,,,,见“ 尖团音 ”,
58567,尾鳍,wěiqí,,,,见“ 鳍 ”,
58680,高山仰止,gāoshān-yǎngzhǐ,,,,见“ 高山景行 ”,
58889,中伏,zhōngfú,,,,见“ 三伏 ”,
58952,词尾,cíwěi,,,,见“ 词缀 ”,
59282,牛头不对马嘴,niútóu bù duì mǎzuǐ,,,,见“ 驴唇不对马嘴 ”,
