hanzi_id,hanzi,frequency_rank,pinyin_id,pinyin,pinyin_sn,hsk_level
35414,铁水,40001,36089,tiě shuǐ,1,
35415,瓦当,40007,36090,wǎ dāng,1,
35416,举事,40008,36091,jǔ shì,1,
35417,痛经,40009,36092,tòng jīng,1,
35418,由头,40010,36093,yóu tou,1,
35419,悲戚,40011,36094,bēi qī,1,
35420,莲藕,40012,36095,lián ǒu,1,
35421,条凳,40013,36096,tiáo dèng,1,
35422,居处,40014,36097,jū chǔ,1,
35423,雏型,40015,36098,chú xíng,1,
35424,销假,40018,36099,xiāo jià,1,
35425,僵尸,40019,36100,jiāng shī,1,
35426,青蒿,40021,36101,qīng hāo,1,
35427,白字,40022,36102,bái zì,1,
35428,浮标,40023,36103,fú biāo,1,
35429,巡诊,40026,36104,xún zhěn,1,
35430,乱来,40027,36105,luàn lái,1,
35431,回头路,40030,36106,huí tóu lù,1,
35432,脊梁骨,40033,36107,jǐ liang gǔ,1,
35433,自决权,40036,36108,zì jué quán,1,
35434,组织性,40038,36109,zǔ zhī xìng,1,
35435,矿泉壶,40042,36110,kuàng quán hú,1,
35436,传略,40045,36111,zhuàn lüè,1,
35437,打拼,40046,36112,dǎ pīn,1,
35438,门可罗雀,40048,36113,mén kě luó què,1,
35439,掌上电脑,40049,36114,zhǎng shàng diàn nǎo,1,
35440,在劫难逃,40050,36115,zài jié nán táo,1,
35441,招兵买马,40051,36116,zhāo bīng mǎi mǎ,1,
35442,充耳不闻,40052,36117,chōng ěr bù wén,1,
35443,雨带,40057,36118,yǔ dài,1,
35444,轮岗,40058,36119,lún gǎng,1,
35445,解气,40059,36120,jiě qì,1,
35446,疾步,40060,36121,jí bù,1,
35447,加试,40064,36122,jiā shì,1,
35448,涌流,40065,36123,yǒng liú,1,
35449,铺展,40066,36124,pū zhǎn,1,
35450,发油,40067,36125,fà yóu,1,
35451,剽悍,40069,36126,piāo hàn,1,
35452,树桩,40070,36127,shù zhuāng,1,
35453,填词,40073,36128,tián cí,1,
35454,化缘,40075,36129,huà yuán,1,
35455,接警,40076,36130,jiē jǐng,1,
35456,阳文,40078,36131,yáng wén,1,
35457,诗社,40079,36132,shī shè,1,
35458,补益,40081,36133,bǔ yì,1,
35459,黑哨,40083,36134,hēi shào,1,
35460,晶亮,40084,36135,jīng liàng,1,
35461,长笛,40086,36136,cháng dí,1,
35462,辞行,40088,36137,cí xíng,1,
35463,夕照,40089,36138,xī zhào,1,
35464,细软,40090,36139,xì ruǎn,1,
35465,水表,40092,36140,shuǐ biǎo,1,
35466,掌上明珠,40093,36141,zhǎng shàng míng zhū,1,
35467,总纲,40095,36142,zǒng gāng,1,
35468,军权,40097,36143,jūn quán,1,
35469,春梦,40098,36144,chūn mèng,1,
35470,雄师,40099,36145,xióng shī,1,
35471,拂面,40100,36146,fú miàn,1,
35472,守职,40101,36147,shǒu zhí,1,
35473,站相,40102,36148,zhàn xiàng,1,
35474,党纲,40103,36149,dǎng gāng,1,
35475,凶暴,40104,36150,xiōng bào,1,
35476,传布,40109,36151,chuán bù,1,
35477,恶斗,40110,36152,è dòu,1,
35478,如意算盘,40113,36153,rú yì suàn pan,1,
35479,事无巨细,40114,36154,shì wú jù xì,1,
35480,地大物博,40115,36155,dì dà wù bó,1,
35481,组合音响,40116,36156,zǔ hé yīn xiǎng,1,
35482,见怪不怪,40117,36157,jiàn guài bù guài,1,
35483,魂飞魄散,40118,36158,hún fēi pò sàn,1,
35484,不费吹灰之力,40120,36159,bù fèi chuī huī zhī lì,1,
35485,爆冷门,40121,36160,bào lěng mén,1,
35486,裤腰带,40124,36161,kù yāo dài,1,
35487,螺丝钉,40125,36162,luó sī dīng,1,
35488,书记员,40129,36163,shū jì yuán,1,
35489,横行霸道,40130,36164,héng xíng bà dào,1,
35490,火上浇油,40131,36165,huǒ shàng jiāo yóu,1,
35491,有名无实,40132,36166,yǒu míng wú shí,1,
35492,忙里偷闲,40133,36167,máng lǐ tōu xián,1,
35493,如梦初醒,40134,36168,rú mèng chū xǐng,1,
35494,宵夜,40138,36169,xiāo yè,1,
35495,银铃,40140,36170,yín líng,1,
35496,温厚,40143,36171,wēn hòu,1,
35497,引航,40144,36172,yǐn háng,1,
35498,花旦,40150,36173,huā dàn,1,
35499,是味儿,40151,36174,shì wèi er,1,
35500,断语,40152,36175,duàn yǔ,1,
35501,轻捷,40154,36176,qīng jié,1,
35502,夸口,40155,36177,kuā kǒu,1,
35503,查检,40158,36178,chá jiǎn,1,
35504,盆栽,40160,36179,pén zāi,1,
35505,作弄,40161,36180,zuò nòng,1,
35506,纯净水,40162,36181,chún jìng shuǐ,1,
35507,琐细,40163,36182,suǒ xì,1,
35508,尖酸,40164,36183,jiān suān,1,
35509,海鸟,40165,36184,hǎi niǎo,1,
35510,见缝插针,40168,36185,jiàn fèng chā zhēn,1,
35511,动人心魄,40170,36186,dòng rén xīn pò,1,
35512,极乐世界,40171,36187,jí lè shì jiè,1,
35513,官僚资本,40174,36188,guān liáo zī běn,1,
35514,争权夺利,40177,36189,zhēng quán duó lì,1,
35515,钱数,40178,36190,qián shù,1,
35516,传家宝,40181,36191,chuán jiā bǎo,1,
35517,开斋节,40185,36192,kāi zhāi jié,1,
35518,突显,40186,36193,tū xiǎn,1,
35519,发毛,40188,36194,fā máo,1,
35520,消减,40189,36195,xiāo jiǎn,1,
35521,蚊蝇,40191,36196,wén yíng,1,
35522,食言,40193,36197,shí yán,1,
35523,长幼,40194,36198,zhǎng yòu,1,
35524,恼恨,40195,36199,nǎo hèn,1,
35525,鲜卑,40196,36200,xiān bēi,1,
35526,坚果,40197,36201,jiān guǒ,1,
35527,长亭,40198,36202,cháng tíng,1,
35528,台基,40199,36203,tái jī,1,
35529,偏瘫,40200,36204,piān tān,1,
35530,保皇,40201,36205,bǎo huáng,1,
35531,留宿,40202,36206,liú sù,1,
35532,别号,40203,36207,bié hào,1,
35533,死记,40204,36208,sǐ jì,1,
35534,平移,40206,36209,píng yí,1,
35535,畅叙,40208,36210,chàng xù,1,
35536,侧门,40212,36211,cè mén,1,
35537,童稚,40213,36212,tóng zhì,1,
35538,心语,40214,36213,xīn yǔ,1,
35539,溢美,40216,36214,yì měi,1,
35540,鼻烟,40217,36215,bí yān,1,
35541,探监,40218,36216,tàn jiān,1,
35542,夯土,40219,36217,hāng tǔ,1,
35543,打鬼,40222,36218,dǎ guǐ,1,
35544,崖壁,40224,36219,yá bì,1,
35545,七绝,40226,36220,qī jué,1,
35546,要诀,40227,36221,yào jué,1,
35547,授受,40228,36222,shòu shòu,1,
35548,整队,40230,36223,zhěng duì,1,
35549,卒年,40231,36224,zú nián,1,
35550,挑子,40232,36225,tiāo zi,1,
35551,恭顺,40233,36226,gōng shùn,1,
35552,旧俗,40235,36227,jiù sú,1,
35553,恸哭,40237,36228,tòng kū,1,
35554,铁环,40238,36229,tiě huán,1,
35555,底稿,40239,36230,dǐ gǎo,1,
35556,罪有应得,40241,36231,zuì yǒu yīng dé,1,
35557,患得患失,40242,36232,huàn dé huàn shī,1,
35558,各取所需,40243,36233,gè qǔ suǒ xū,1,
35559,张口结舌,40245,36234,zhāng kǒu jié shé,1,
35560,白色污染,40246,36235,bái sè wū rǎn,1,
35561,政通人和,40247,36236,zhèng tōng rén hé,1,
35562,本位主义,40248,36237,běn wèi zhǔ yì,1,
35563,无米之炊,40249,36238,wú mǐ zhī chuī,1,
35564,防微杜渐,40250,36239,fáng wēi dù jiàn,1,
35565,条条框框,40251,36240,tiáo tiáo kuàng kuàng,1,
35566,徒劳无功,40252,36241,tú láo wú gōng,1,
35567,退堂鼓,40253,36242,tuì táng gǔ,1,
35568,婚外恋,40256,36243,hūn wài liàn,1,
35569,沉住气,40257,36244,chén zhù qì,1,
35570,概念化,40258,36245,gài niàn huà,1,
35571,葡萄干,40259,36246,pú táo gān,1,
35572,短平快,40261,36247,duǎn píng kuài,1,
35573,向钱看,40262,36248,xiàng qián kàn,1,
35574,小集团,40264,36249,xiǎo jí tuán,1,
35575,梅花鹿,40265,36250,méi huā lù,1,
35576,破伤风,40266,36251,pò shāng fēng,1,
35577,男孩儿,40269,36252,nán hái er,1,
35578,折子戏,40273,36253,zhé zi xì,1,
35579,稳操胜券,40276,36254,wěn cāo shèng quàn,1,
35580,门当户对,40277,36255,mén dāng hù duì,1,
35581,奇耻大辱,40280,36256,qí chǐ dà rǔ,1,
35582,柚子,40281,36257,yòu zi,1,
35583,沙盘,40283,36258,shā pán,1,
35584,狂放,40284,36259,kuáng fàng,1,
35585,重出,40291,36260,chóng chū,1,
35586,协查,40292,36261,xié chá,1,
