rank,cihui,pinyin,ref_hanzi,ref_pinyin,pos,definition,example
25001,修宪,xiūxiàn,,,动,修改宪法,
25002,土质,tǔzhì,,,名,土壤的质地,改良 土质
25003,成法,chéngfǎ,,,名,现成的法律、法规,在新法未出台前，暂按 成法 处理 。
25003,成法,chéngfǎ,,,名,现成的方法,办这种事无 成法 可依 。
25006,梦乡,mèngxiāng,,,名,指熟睡时的境界,进入 梦乡
25008,尖刻,jiānkè,,,形,尖酸刻薄,说话 尖刻 ，容易伤人 。
25009,乳品,rǔpǐn,,,名,乳制品,
25010,熔化,rónghuà,,,动,熔解,
25011,口红,kǒuhóng,,,名,涂抹嘴唇以增加嘴唇色泽或改变嘴唇颜色的化妆品。多为红色，故称,
25013,固沙,gùshā,,,动,（用种草、种树等方法）固定流沙，使沙漠不再扩展,种草 固沙 ，造林防沙 。
25014,日头,rìtou,,,名,太阳,
25015,减亏,jiǎnkuī,,,动,（企业）减少亏损,
25016,粮店,liángdiàn,,,名,出售粮食的店铺,
25017,人造卫星,rénzào wèixīng,,,,环绕行星或卫星运行的人造天体。通常指人造地球卫星。用于通讯、气象和军事等方面,
25018,命大,mìngdà,,,形,命运好；多指大难不死,他 命大 ，居然能在空难中幸存下来 。
25019,缓步,huǎnbù,,,动,放慢脚步,缓步 走下讲台
25019,缓步,huǎnbù,,,动,放慢脚步,股市总体呈 缓步 上扬态势 。
25020,养病,yǎngbìng,,,动,调理休养使病体逐渐康复,静心 养病
25020,养病,yǎngbìng,,,动,调理休养使病体逐渐康复,养了一个月的病
25022,纲目,gāngmù,,,名,大纲和细目,纲目 完整清晰
25022,纲目,gāngmù,,,名,大纲和细目,《本草 纲目 》
25023,监制,jiānzhì,,,动,监督制作,
25024,过客,guòkè,,,名,过往的行人；旅客,
25025,刺客,cìkè,,,名,行刺的人,
25028,补课,bǔkè,,,动,补教或补学有欠缺的课程,他主动给同桌 补课 。
25028,补课,bǔkè,,,动,比喻重做某一未做好的事,验收不合格的，都要 补课 。
25030,甚于,shènyú,,,动,超过；胜过,官僚主义的危害 甚于 水火 。
25031,食谱,shípǔ,,,名,系统介绍主食制作和菜肴烹调方法的书,《大众 食谱 》
25031,食谱,shípǔ,,,名,写有主食、菜肴品种的单子,食堂每天公布 食谱 。
25032,护肤,hùfū,,,动,养护皮肤,护肤 养颜
25033,气恼,qìnǎo,,,动,生气；恼怒,他仍在 气恼 我昨天失约的事
25033,气恼,qìnǎo,,,动,生气；恼怒,流言使他很 气恼
25034,坐视,zuòshì,,,动,坐在那里看着。指对该管的事不管或漠不关心,坐视 不救
25035,苦口,kǔkǒu,,,动,使嘴里发苦,良药 苦口 利于病
25035,苦口,kǔkǒu,,,动,恳切耐心地说,苦口 相劝
25035,苦口,kǔkǒu,,,动,恳切耐心地说,苦口 婆心
