rank,cihui,pinyin,ref_hanzi,ref_pinyin,pos,definition,example
50001,诘难,jiénàn,,,动,责问；责难,遭人 诘难
50003,肺叶,fèiyè,,,名,人和高等动物的肺表面有深长的裂沟，把肺分为若干部分，每一部分就是一个肺叶。人的左肺有两叶，右肺有三叶,
50004,手慢,shǒumàn,,,形,形容动作迟缓或做事缓慢,
50005,寻摸,xúnmo,,,动,寻求；设法弄到,寻摸 几幅好画
50005,寻摸,xúnmo,,,动,寻求；设法弄到,帮我 寻摸 点 儿 吃的来 。
50006,挑唆,tiǎosuō,,,动,挑拨煽动；唆使,受坏人 挑唆
50007,磺胺,huáng'àn,,,名,一种有机化合物的简称。白色颗粒或粉末状晶体。可制消炎药,
50009,饮马,yìnmǎ,,,动,给马喝水,
50010,罪刑,zuìxíng,,,名,所犯的罪行和所受的刑罚,罪刑 相当
50010,罪刑,zuìxíng,,,名,所犯的罪行和所受的刑罚,罪刑 法定
50011,诏令,zhàolìng,,,动,皇帝发布命令,诏令 天下
50011,诏令,zhàolìng,,,名,皇帝发布的命令,
50012,隐逸,yǐnyì,,,动,隐居避世,隐逸 山林
50012,隐逸,yǐnyì,,,名,隐居的人,山野 隐逸 ，海滨遗老 。
50013,柔肠,róucháng,,,名,柔软的心肠；比喻温柔缠绵的情意,柔肠 似水
50013,柔肠,róucháng,,,名,柔软的心肠；比喻温柔缠绵的情意,柔肠 寸断
50014,持论,chílùn,,,动,立论；抱有某种观点,持论 有据
50017,攻擂,gōnglèi,,,动,原指登上擂台与擂主比武；现多指在体育或其他比赛中应战,
50018,加刑,jiāxíng,,,动,加重刑罚,给越狱逃犯 加刑
50020,硬笔,yìngbǐ,,,名,钢笔、铅笔、圆珠笔等用坚硬材料做笔尖的笔,硬笔 书法
50021,连书,liánshū,,,动,连写①,
50023,包皮,bāopí,,,名,包装的外皮,
50023,包皮,bāopí,,,名,特指阴茎前部包着龟头的外皮,
50028,摩尼教,móníjiào,,,名,公元3世纪波斯人摩尼创立的宗教。其教义的核心是善恶二元论。公元7世纪末传入中国，后被严禁 摩尼：英语Moni音译,
50030,肾结石,shènjiéshí,,,名,泌尿系统疾病，因代谢失常，尿中盐类沉积，生成结石而致。主要症状有剧痛、血尿等,
50033,臭豆腐,chòudòufu,,,名,一种佐餐食品。用豆腐作坯，经过发酵、腌制而成，有特殊的气味,
50034,边缘人,biānyuánrén,,,名,指在政治、经济、文化和意识形态等各方面不被关注而游离于主流社会之外的人,不能让流动人口成为计划生育工作的 边缘人 。
50035,比基尼,bǐjīní,,,名,英语 bikini 音译 指一种由小三角裤和胸罩组成的女子泳装,
50036,断裂带,duànlièdài,,,名,地层因受地质应力作用而连续出现一条或多条断层错位且断层两侧岩块破碎的地带,
50037,闪电战,shǎndiànzhàn,,,名,用大量快速机动兵力和精锐武器突然实施猛烈袭击，以图迅速摧毁对方的作战方法,
50038,打算盘,dǎsuànpan,,,,拨打算盘珠子计算,
50038,打算盘,dǎsuànpan,,,,盘算；打主意,处处 打算盘 为公家省钱 。
50039,转播台,zhuǎnbōtái,,,名,不自制节目只从事转播的电视台,
50041,柿子椒,shìzijiāo,,,名,一种辣椒，果实形状像柿子，略带甜味，是普通蔬菜,
50042,记录片,jìlùpiàn,,,,现在一般写作“纪录片”,
50043,解放鞋,jiěfàngxié,,,名,解放军战士穿的一种橡胶底、军绿色帆布面的系带鞋,
50044,落叶松,luòyèsōng,,,名,落叶乔木，叶柔软，长针形，果实卵圆形，表面有鳞片，种子上端有翅。木材坚实，可作枕木、桥梁等用材,
50045,螺旋藻,luóxuánzǎo,,,名,一种蓝藻，呈螺旋状。富含蛋白质、碳水化合物、脂肪、维生素以及微量元素等，为保健食品,
50046,卷铺盖,juǎnpūgai,,,,把被褥等卷起来准备离开。借指被解雇或辞职,
50047,排练场,páiliànchǎng,,,名,用来排练体操、舞蹈、戏曲等的场地,
50048,丝丝入扣,sīsī-rùkòu,,,,织布时，每条经线都丝毫不差地从筘齿通过（扣：筘，织布机上像梳子的机件）；比喻做得十分细致准确,
50054,处之泰然,chǔzhī-tàirán,,,,形容遇到困难或危急情况时能沉着镇定；也指对事情无动于衷,临危不惧， 处之泰然
50054,处之泰然,chǔzhī-tàirán,,,,形容遇到困难或危急情况时能沉着镇定；也指对事情无动于衷,人家急得要命，他却 处之泰然 。
50058,人仰马翻,rényǎng-mǎfān,,,,人马都被打翻在地。形容狼狈不堪或乱成一团,
50059,舞文弄墨,wǔwén-nòngmò,,,,旧指歪曲法律条文营私作弊；后泛指玩弄文辞,
50062,言归于好,yánguīyúhǎo,,,,重新和好,
50064,大腹便便,dàfù-piánpián,,,,形容人肥胖，肚子大（含贬义）,
50065,矫枉过正,jiǎowǎng-guòzhèng,,,,矫正弯曲的东西，做过了头，又弯向另一面。比喻纠正偏差超过了应有限度,
50066,老气横秋,lǎoqì-héngqiū,,,,原形容老练而自负的神态。现多形容暮气沉沉、缺乏朝气的样子,
50068,滚瓜烂熟,gǔnguā-lànshú,,,,形容记得非常牢固，念得或背得非常流利,
50069,滥竽充数,lànyú-chōngshù,,,,《韩非子·内储说上》记载：齐宣王喜欢听吹竽（古代一种竹制吹奏乐器），让三百人一齐吹奏。南郭先生本不会吹竽，也混在里面充数。后用“滥竽充数”比喻没有本事的人混在有真才实学的人里面充数，或以次充好。有时也用作谦词 ,
50070,同室操戈,tóngshì-cāogē,,,,自家人动起刀枪来。原指兄弟相残；现多指内部争斗,
50071,刑事判决,xíngshì pànjué,,,,法院就被告人是否犯罪、应否处刑、如何处刑所作的决定,
50072,鼻子底下,bízi-dǐxia,,,,比喻就在眼前或附近,事情就发生在自己的 鼻子底下 ，怎能推卸责任?
50074,预展,yùzhǎn,,,动,正式展出前预先试展,预展 3天
50075,异端邪说,yìduān-xiéshuō,,,,泛指与正统思想对立的或有危害的主张、学说,
50076,何首乌,héshǒuwū,,,名,多年生草本植物，地上茎细长，能缠绕物体，叶子互生，秋天开白花，根茎块状。地上茎和根茎都可以做药材,
50078,细条,xìtiáo,,,形,形容条形物细而长,
50078,细条,xìtiao,,,,现在一般写作“细挑”,
50080,不睦,bùmù,,,形,不和睦,关系 不睦
50081,漫灌,mànguàn,,,动,粗放的灌溉方法，即不筑畦埝，让水顺着地势自然流淌,
50081,漫灌,mànguàn,,,动,洪水流入（低洼地区）,县城曾两次被洪水 漫灌 。
50083,敬奉,jìngfèng,,,动,恭敬地供奉,敬奉 神佛
50083,敬奉,jìngfèng,,,动,恭敬地进献,敬奉 薄礼
50085,寥落,liáoluò,,,形,稀少零落,晨星 寥落
50085,寥落,liáoluò,,,形,沉寂冷落,深夜，独步在 寥落 的小街上 。
50087,无霜期,wúshuāngqī,,,名,指一个地区一年中从终霜后到初霜前的天数，是植物最有利的生长期,
50088,工价,gōngjià,,,名,指在工程建筑或产品制造中用于人工上的费用,装修行业的 工价 一般偏高 。
50089,枯荣,kūróng,,,形,枯萎与茂盛；衰败和发达,一岁一 枯荣
50089,枯荣,kūróng,,,形,枯萎与茂盛；衰败和发达,枯荣 相关
50091,砖雕,zhuāndiāo,,,名,在砖上雕刻造型的工艺或作品,
50092,进益,jìnyì,,,名,指学识、修养的提高,学识大有 进益
50092,进益,jìnyì,,,名,进项,
50093,曼舞,mànwǔ,,,动,轻盈柔美地起舞或飞舞,轻歌 曼舞
50093,曼舞,mànwǔ,,,动,轻盈柔美地起舞或飞舞,曼舞 婆娑
50094,病况,bìngkuàng,,,名,病情,
50096,画板,huàbǎn,,,名,作画时垫在画纸下面的板子,
50098,昼伏夜出,zhòufú-yèchū,,,,白天潜伏起来，黑夜出来活动（伏：躲藏）,
50099,增温,zēngwēn,,,动,提高温度,大棚内需要 增温
50102,撒落,sǎluò,,,动,散着掉下（多用于固体）,
50103,路规,lùguī,,,名,铁路、公路等交通部门有关客运、货运等的规章制度,
50105,竖直,shùzhí,,,形,直立向上的,顺着 竖直 的烟囱向上爬 。
50105,竖直,shùzhí,,,动,使垂直,
50106,风凉话,fēngliánghuà,,,名,冷言冷语,自己不干，还在旁边说 风凉话 。
50107,肠梗阻,chánggěngzǔ,,,名,一种肠道疾病，指肠腔阻塞，进入肠内的东西不能向下移动。主要症状有腹部剧烈疼痛、呕吐、不能排便排气等,
50108,屡禁不绝,lǚjìn-bùjué,,,,多次禁止，仍未杜绝,
50109,交感神经,jiāogǎn shénjīng,,,,植物性神经系统的一部分。从胸部和腰部的脊髓发出，分布到平滑肌、心肌和腺体，可以调节心脏及其他内脏的活动,
50112,狂泻,kuángxiè,,,动,大股的水急速向下奔流,瀑布 狂泻 而下
50114,怒涛,nùtāo,,,名,汹涌的浪涛,海上掀起了 怒涛
50116,夹竹桃,jiāzhútáo,,,名,常绿灌木，叶子像竹叶但厚而有韧性，夏季开桃红色或白色花。花可供观赏；叶、花、树皮有毒，可制强心剂,
50118,桑榆,sāngyú,,,名,桑树和榆树。古代常有日落时阳光照射在桑榆树梢的描写，因此借指日暮；也比喻人的晚年,桑榆 暮景
50118,桑榆,sāngyú,,,名,桑树和榆树。古代常有日落时阳光照射在桑榆树梢的描写，因此借指日暮；也比喻人的晚年,桑榆 之年
50119,层林,cénglín,,,名,一层一层的树林,层林 环抱
50122,同路人,tónglùrén,,,名,一路同行的人,路途遥远，找了个 同路人 作伴 儿 。
50122,同路人,tónglùrén,,,名,比喻在一定阶段或一定程度上目标相同的人,革命的 同路人
50123,惨境,cǎnjìng,,,名,悲惨的境地,
50124,长明灯,chángmíngdēng,,,名,日夜亮着的油灯（多点燃在神佛的像前）,
50126,口诛笔伐,kǒuzhū-bǐfá,,,,用口头和书面形式对罪状进行揭露、声讨,
50127,瑜珈,yújiā,,,,现在一般写作“瑜伽”,
50128,暗害,ànhài,,,动,耍阴谋陷害,被坏人 暗害 入狱
50128,暗害,ànhài,,,动,秘密杀害,惨遭 暗害
50129,素净,sùjing,,,形,（颜色）淡雅,室内装修得很 素净 。
50129,素净,sùjing,,,形,（味道）清淡,老人爱吃 素净 一点 儿 的菜 。
50133,箭在弦上,jiànzàixiánshàng,,,,比喻已经到了非做不可的地步,
50134,悬梁,xuánliáng,,,动,吊在房梁上；多指上吊自杀,头 悬梁 ，锥刺股
50134,悬梁,xuánliáng,,,动,吊在房梁上；多指上吊自杀,悬梁 自尽
50136,补漏,bǔlòu,,,动,修补物体上的漏洞或裂缝；也比喻弥补工作上的缺漏,查缺 补漏
50137,苟活,gǒuhuó,,,动,苟且生存,与其在敌寇铁蹄下 苟活 ，不如奋起反抗 。
50138,孤女,gūnǚ,,,名,死了父亲或父母双亡的女孩 儿 指失去父母的女孩 儿,
50140,浅近,qiǎnjìn,,,形,浅显,道理讲得极 浅近
50141,黑陶,hēitáo,,,名,远古时代的一种陶器，陶胎很薄，表面漆黑光亮。在我国新石器时代晚期的大汶口文化和龙山文化遗址中常有发现,
50142,仁厚,rénhòu,,,形,仁慈厚道,仁厚 长者
50143,围子,wéizi,,,名,围绕村庄的屏障物。一般用土石筑成，也有的由密植的荆棘构成,
50144,枪栓,qiāngshuān,,,名,枪上的一个机件，可用以拉开枪膛推进子弹,
50145,叔公,shūgōng,,,名,丈夫的叔父,
50148,遭罪,zāozuì,,,动,遭受痛苦；受罪,
50150,腌菜,yāncài,,,动,腌制蔬菜,
50150,腌菜,yāncài,,,名,腌制的蔬菜,端上四碟不同品种的 腌菜 。
50153,延宕,yándàng,,,动,拖延,切勿 延宕 ，以免坐失良机 。
50155,甲肝,jiǎgān,,,名,甲型病毒性肝炎的简称。由甲型肝炎病毒引起的传染病，多经胃肠道及血液途径传染。症状有厌食、恶心、乏力、发热、肝大、肝区疼痛等，多数病人有黄疸,
50156,航标灯,hángbiāodēng,,,名,用作航标的灯具；比喻指示前进方向的事物,
50157,困局,kùnjú,,,名,困难的局面；困境,
50159,不管不顾,bùguǎn-bùgù,,,,不照管；不照顾,不能对自己的健康 不管不顾 哇!
50159,不管不顾,bùguǎn-bùgù,,,,不顾忌；不顾及,他 不管不顾 ，一进门就跟人家吵起来 。
50160,赐教,cìjiào,,,动,敬词，用于称对方给予指教,承蒙 赐教
50161,熬煎,áojiān,,,动,煎熬,
50164,遂行,suìxíng,,,动,实行；执行,遂行 手指切除术
50164,遂行,suìxíng,,,动,实行；执行,具有全天候 遂行 任务的飞行水平 。
50166,白丁,báidīng,,,名,旧指没有取得功名的平民（丁：成年男子）,
50167,卧榻,wòtà,,,名,床①,
50168,白癜风,báidiànfēng,,,名,一种黑色素脱失性皮肤病。皮肤上呈现大小不等的白斑，一般不痛不痒，多发生于面部、躯干等处,
50169,龟甲,guījiǎ,,,名,乌龟的硬壳。古人用它来占卜吉凶。殷代在龟甲上刻有与占卜有关的文字，就是卜辞,
50171,稻穗,dàosuì,,,名,稻子茎秆上端开花结实的部分,
50172,找门路,zhǎoménlù,,,,比喻寻找解决问题的途径,找门路 求职
50172,找门路,zhǎoménlù,,,,比喻寻找解决问题的途径,为推销产品，他到处 找门路 。
50173,加劲,jiājìn,,,动,加大干劲；努力,加劲 干
50173,加劲,jiājìn,,,动,加大干劲；努力,大家再加把劲 儿 ，坚持到底就是胜利 。
50175,得宜,déyí,,,形,合适；相宜,繁简 得宜
50176,净身,jìngshēn,,,动,旧指男子被阉割,
50177,炸雷,zhàléi,,,名,声音特别响的雷,
50179,专号,zhuānhào,,,名,专门为某种内容而编辑出版的一期刊物,奥运 专号
50179,专号,zhuānhào,,,名,专门为某种内容而编辑出版的一期刊物,散文 专号
50180,米制,mǐzhì,,,名,国际公制,
50182,主课,zhǔkè,,,名,主要课程,
50183,莫若,mòruò,,,连,莫如,
50184,泰然处之,tàirán-chǔzhī,,,,处之泰然,
50186,通好,tōnghǎo,,,动,彼此友好往来（多用于国家之间）,两国世代 通好
50187,虐杀,nüèshā,,,动,用残忍的手段杀害,绑匪 虐杀 人质
50187,虐杀,nüèshā,,,动,虐待致死,严禁 虐杀 野生动物 。
50189,冒天下之大不韪,mào tiānxià zhī dà bùwěi,,,,公然干天下人都认为不对的大坏事（不韪：不是，不对）,
50190,轻车熟路,qīngchē-shúlù,,,,驾着轻便的车走熟路；比喻熟悉情况，富有经验，容易把事情办好,
50191,效益工资,xiàoyì gōngzī,,,,职工随单位经济效益和本人工作实绩而变动的那一部分工资,
50197,不成器,bùchéngqì,,,,不能成为有用的器具；比喻没出息,一点 儿 上进心都没有，真 不成器 !
50198,氯化钾,lǜhuàjiǎ,,,名,盐酸的钾盐，纯品为无色立方晶体，工业品呈白色、淡黄色或带红色的细小颗粒，易溶于水。农业上用作钾肥，工业上用来提取某些钾盐,
50199,唯美主义,wéiměi zhǔyì,,,,19世纪后期流行于欧洲的一种文艺思潮和流派。主张“为艺术而艺术”，认为艺术只为它本身的美而存在，否定艺术的社会性和功利性,
50200,君主国,jūnzhǔguó,,,名,君主是最高统治者或国家元首的国家,
50201,小叔子,xiǎoshūzi,,,名,丈夫的弟弟（用于背称）,
50202,流亡政府,liúwáng zhèngfǔ,,,,因政变、内乱或本国领土被他国占领而在流亡中组建的政府,
50205,蜂起,fēngqǐ,,,动,像群蜂一下子飞起一样。比喻众多,群雄 蜂起
50206,无为而治,wúwéi'érzhì,,,,古代道家的哲学思想和政治主张。强调顺应自然，不必采取刑罚及其他强制措施，就能把国家管理好,
50207,张挂,zhāngguà,,,动,展开悬挂,张挂 着字画
50208,站队,zhànduì,,,动,站成队列,集合 站队
50213,屠戮,túlù,,,动,残杀；屠杀,肆行 屠戮
50214,岳家,yuèjiā,,,名,岳父母家,
50216,陪送,péisong,,,名,陪送的嫁妆,女儿出嫁时，没给太多的 陪送 。
50216,陪送,péisòng,,,动,陪伴护送,由两名工作人员 陪送 他到医院就诊 。
50216,陪送,péisòng,,,动,结婚时娘家送给新娘嫁妆,娘家 陪送 了一台彩电 。
50217,掌灯,zhǎngdēng,,,动,举着灯,掌灯 细看
50217,掌灯,zhǎngdēng,,,动,点灯,到了 掌灯 时分
50218,感喟,gǎnkuì,,,动,感慨叹息,常 感喟 宇宙之无穷 。
50219,遗产税,yíchǎnshuì,,,名,对死者遗产所征的税，由财产继承人缴纳,
50220,试播,shìbō,,,动,电台、电视台新建或开设新的频道，在正式启用前进行试验性播放,
50220,试播,shìbō,,,动,新节目在小范围内试验性播放,
50220,试播,shìbō,,,动,小范围内试验性播种，以检验新种子或新播种方法的效果,
50222,改天换地,gǎitiān-huàndì,,,,指彻底改变自然或社会面貌，使焕然一新,
50223,交验,jiāoyàn,,,动,交出证件等接受验证核实,
50225,套语,tàoyǔ,,,名,套话①②,
50228,闭馆,bìguǎn,,,动,图书馆、博物馆、展览馆、档案馆等停止对外开放,节假日期间本馆 闭馆 时间推迟两小时 。
50229,怒冲冲,nùchōngchōng,,,形,形容非常愤怒的样子,他把脸一沉， 怒冲冲 地走了出去 。
50230,群众关系,qúnzhòng guānxi,,,,指个人、单位或团体等与周围或一定范围内的人们相处的情况,他的 群众关系 不好 。
50231,曾祖母,zēngzǔmǔ,,,名,父亲的祖母,
50233,效颦,xiàopín,,,动,模仿皱眉。比喻不顾客观条件地一味模仿,盲目学步、 效颦 ，结果贻笑大方 。
50234,上冻,shàngdòng,,,动,开始结冰或冻结,河水 上冻 了
50235,暗无天日,ànwútiānrì,,,,一片黑暗，没有光明。形容政治腐败，社会极其黑暗,
50236,县份,xiànfèn,,,名,县,
50237,百日咳,bǎirìké,,,名,急性传染病，由百日咳杆菌侵入呼吸道引起。流行于冬春季节，以阵发性、痉挛性咳嗽为特征，患者多为5岁以下儿童。病程较长，一般持续3个月,
50239,猎获,lièhuò,,,动,捕猎到,猎获 5只野兔
50240,炉膛,lútáng,,,名,炉内烧火的中空部分,
50242,震情,zhènqíng,,,名,有关地震的情况,
50243,藤萝,téngluó,,,名,紫藤,
50245,编绘,biānhuì,,,动,编辑绘制,编绘 旅游地图
50246,陶土,táotǔ,,,名,烧制陶器或粗瓷器的黏土岩和黏土的合称。主要成分是高岭石、水白云母、蒙脱石、石英等,
50247,彩卷,cǎijuǎn,,,名,彩色胶卷的简称,
50249,竹板,zhúbǎn,,,名,演唱数来宝、快板书时打拍子用的竹制长方形小板 儿 。用绳子串接两块较大的或七块较小的竹板而成。两块的又叫呱嗒板，七块的又叫节子板,
50250,污损,wūsǔn,,,动,因弄脏而损坏,画面已被 污损
50251,三百六十行,sānbǎi liùshí háng,,,,泛指各行各业,
50252,托辞,tuōcí,,,,现在一般写作“托词”,
50254,二价,èrjià,,,名,不同的价格,本产品售价统一，没有 二价 。
50254,二价,èrjià,,,动,讨价还价,概不 二价
50255,准头,zhǔntou,,,名,准确性；可靠性,他办事没 准头 ，靠不住 。
50256,肥壮,féizhuàng,,,形,（庄稼、牲畜等）肥大而健壮,牧草 肥壮
50256,肥壮,féizhuàng,,,形,（庄稼、牲畜等）肥大而健壮,肥壮 的牲口
50257,簿子,bùzi,,,名,供学习、工作时记事或做练习等用的本子,
50258,合照,hézhào,,,动,一起照相,咱们 合照 一张吧
50258,合照,hézhào,,,名,一起照的相片,拍张 合照
50259,期终,qīzhōng,,,名,期末,
50260,过堂,guòtáng,,,动,旧指在公堂上接受审问,
50262,兵事,bīngshì,,,名,战事；战争,兵事 频仍，田园荒芜 。
50263,倒毙,dǎobì,,,动,倒地死亡,
50264,改换门庭,gǎihuàn-méntíng,,,,改变、提高家庭的社会地位,
50264,改换门庭,gǎihuàn-méntíng,,,,比喻另择新主或另找依靠,
50266,欺辱,qīrǔ,,,动,欺负并侮辱,不许 欺辱 妇女
50267,棋谱,qípǔ,,,名,指用棋盘图和文字指导、分析怎样下棋的书或记录对局过程的图谱,
50268,伸腿,shēntuǐ,,,动,插足；介入,哪里有利，他就往哪里 伸腿 。
50268,伸腿,shēntuǐ,,,动,指人死亡（含谐谑意）,
50270,小炉匠,xiǎolújiàng,,,名,旧指走街串巷，从事锔锅、锔盆、焊接等工作的手艺人,
50273,提灯,tídēng,,,名,可手提的活动灯,
50274,碟片,diépiàn,,,名,光盘,
50275,吸管,xīguǎn,,,名,利用空气压力抽吸液体的导管；也指吸食饮料时专用的细管,
50277,八音,bāyīn,,,名,古代对用金、石、丝、竹、匏、土、革、木八类材料制成的乐器的合称,
50277,八音,bāyīn,,,名,指各种乐器发出的声音,
50278,胡人,húrén,,,名,我国古代对北方或西域各民族人民的称呼,
50282,少壮派,shàozhuàngpài,,,名,指在一个群体里年纪较轻、能力较强的一部分人,
50285,妙语连珠,miàoyǔ-liánzhū,,,,妙语像珍珠串一样接连出现,
50288,三班倒,sānbāndǎo,,,动,从事同一项工作的人员分成早、中、夜三个班组轮换上班,
50290,老死不相往来,lǎo sǐ bù xiāng wǎnglái,,,,《老子》八十章：“邻国相望，鸡犬之声相闻，民至老死不相往来。”形容彼此从不联系，从不交往,
50291,纳闷儿,nàmènr,,,动,不明真相，心存疑团,哥哥没头没脑的批评，使他感到 纳闷儿 。
50294,工休,gōngxiū,,,动,工作一段时间后休息,明天我 工休
50294,工休,gōngxiū,,,名,工作一个阶段后的休息时间,利用 工休 植树造林 。
50294,工休,gōngxiū,,,名,工间短暂的休息时间,利用 工休 10分钟开个碰头 儿 会 。
50295,纤尘,xiānchén,,,名,极微小的尘土,纤尘 不染
50298,后福,hòufú,,,名,未来的福分；晚年的福分,大难不死，必有 后福
50298,后福,hòufú,,,名,未来的福分；晚年的福分,子女都很孝顺，他真有 后福 。
50300,宣明,xuānmíng,,,动,公开宣布或表明,宣明 宗旨
50302,下装,xiàzhuāng,,,动,卸装,
50302,下装,xiàzhuāng,,,名,穿在下身的服装。如裤子、裙子等,
50303,试表,shìbiǎo,,,动,用体温计测试体温,
50305,免俗,miǎnsú,,,动,摆脱世俗的拘束,在往来应酬方面难以 免俗 。
50306,金匾,jīnbiǎn,,,名,用金色颜料题写文字的匾额,大殿中央挂着一块“普度众生”的 金匾 。
50307,机宜,jīyí,,,名,根据客观态势所采取的相应对策,面授 机宜
50308,朝服,cháofú,,,名,旧指君臣上朝时穿的礼服,
50311,章句,zhāngjù,,,名,古书的章节和句子,
50311,章句,zhāngjù,,,名,分章析句解说古书的训诂体式（多用于书名）,《楚辞 章句 》
50316,雪野,xuěyě,,,名,积雪覆盖的旷野,茫茫 雪野
50317,板正,bǎnzhèng,,,形,平正；整齐,字写得挺 板正
50317,板正,bǎnzhèng,,,形,平正；整齐,被子叠得板板正正的 。
50317,板正,bǎnzhèng,,,形,严肃认真，庄重正直,为人 板正 ，决不苟且 。
50321,撼人心魄,hànrén-xīnpò,,,,震撼人的心灵,凄厉的哀号 撼人心魄 。
50322,腰酸背痛,yāosuān-bèitòng,,,,脊椎骨关节及其周围的软组织受到损伤而感觉酸痛。多形容劳累过度,
50324,水溶性,shuǐróngxìng,,,名,可在水中溶化的性质。白糖、石碱、醋酸等都是水溶性物质,
50325,心慈手软,xīncí-shǒuruǎn,,,,形容对坏人坏事心存慈善，不忍严厉惩处,
50327,金科玉律,jīnkē-yùlǜ,,,,原形容法律条文完美无缺（科、律：法律条文）；后指必须遵守、不能更改的法令或信条,
50328,有言在先,yǒuyán-zàixiān,,,,指把话讲在前头,有言在先 ，谁也不许反悔 。
