hanzi_id,hanzi,frequency_rank,pinyin_id,pinyin,pinyin_sn
110002,出摊儿,60002,47313,chū tān er,1
110003,宠辱不惊,60003,47314,chǒng rǔ bù jīng,1
110005,闲空,60005,47315,xián kòng,1
110007,寒来暑往,60007,47316,hán lái shǔ wǎng,1
110010,采蜜,60010,47317,cǎi mì,1
110012,不虞,60012,47318,bù yú,1
110013,完全小学,60013,47319,wán quán xiǎo xué,1
110015,有色眼镜,60015,47320,yǒu sè yǎn jìng,1
110019,洞天福地,60019,47321,dòng tiān fú dì,1
110020,王水,60020,47322,wáng shuǐ,1
110021,风压,60021,47323,fēng yā,1
110023,习尚,60023,47324,xí shàng,1
110025,好赖,60025,47325,hǎo lài,1
110026,佯作,60026,47326,yáng zuò,1
110030,招租,60030,47327,zhāo zū,1
110034,木梳,60034,47328,mù shū,1
110035,靡靡,60035,47329,mǐ mǐ,1
110037,单帮,60037,47330,dān bāng,1
110038,丢丑,60038,47331,diū chǒu,1
110041,化学能,60041,47332,huà xué néng,1
110042,减缩,60042,47333,jiǎn suō,1
110043,冒失鬼,60043,47334,mào shi guǐ,1
110044,三角裤,60044,47335,sān jiǎo kù,1
110045,护膝,60045,47336,hù xī,1
110046,打牙祭,60046,47337,dǎ yá jì,1
110047,考区,60047,47338,kǎo qū,1
110050,怒族,60050,47339,nù zú,1
110052,边角料,60052,47340,biān jiǎo liào,1
110055,奶娘,60055,47341,nǎi niáng,1
110058,微血管,60058,47342,wēi xuè guǎn,1
110059,埠头,60059,47343,bù tóu,1
110061,逆光,60061,47344,nì guāng,1
110064,航天服,60064,47345,hán tiān fú,1
110065,抗上,60065,47346,kàng shàng,1
110066,靛蓝,60066,47347,diàn lán,1
110067,光洁度,60067,47348,guāng jié dù,1
110068,童便,60068,47349,tóng biàn,1
110071,线路图,60071,47350,xiàn lù tú,1
110072,闹饥荒,60072,47351,nào jī huang,1
110072,闹饥荒,60072,47352,nào jī huāng,2
110073,绣花针,60073,47353,xiù huā zhēn,1
110074,救生员,60074,47354,jiù shēng yuán,1
110075,白眼珠,60075,47355,bái yǎn zhū,1
110076,焦心,60076,47356,jiāo xīn,1
110078,水痘,60078,47357,shuǐ dòu,1
110079,妖孽,60079,47358,yāo niè,1
110080,耳朵眼儿,60080,47359,ěr duo yǎn er,1
110082,焊缝,60082,47360,hàn fèng,1
110084,狮子舞,60084,47361,shī zi wǔ,1
110085,试读,60085,47362,shì dú,1
110086,初雪,60086,47363,chū xuě,1
110088,雅静,60088,47364,yǎ jìng,1
110091,放话,60091,47365,fàng huà,1
110097,消毒柜,60097,47366,xiāo dú guì,1
110100,皮笑肉不笑,60100,47367,pí xiào ròu bù xiào,1
110102,弄假成真,60102,47368,nòng jiǎ chéng zhēn,1
110103,连阴雨,60103,47369,lián yīn yǔ,1
110104,凝缩,60104,47370,níng suō,1
110105,壁报,60105,47371,bì bào,1
110107,禁不起,60107,47372,jīn bu qǐ,1
110110,吊死鬼,60110,47373,diào sǐ guǐ,1
110117,瓷实,60117,47374,cí shi,1
110120,嗜欲,60120,47375,shì yù,1
110125,旬刊,60125,47376,xún kān,1
110128,聚齐,60128,47377,jù qí,1
110129,清盘,60129,47378,qīng pán,1
110130,糜子,60130,47379,méi zi,1
110133,料事如神,60133,47380,liào shì rú shén,1
110134,小平头,60134,47381,xiǎo píng tóu,1
110150,荐举,60150,47382,jiàn jǔ,1
110151,竞答,60151,47383,jìng dá,1
110153,炉渣,60153,47384,lú zhā,1
110154,纤瘦,60154,47385,xiān shòu,1
110155,成人之美,60155,47386,chéng rén zhī měi,1
110156,果酸,60156,47387,guǒ suān,1
110157,起承转合,60157,47388,qǐ chéng zhuǎn hé,1
110159,转托,60159,47389,zhuǎn tuō,1
110160,塑钢,60160,47390,sù gāng,1
110163,锚链,60163,47391,máo liàn,1
110170,蚂蟥,60170,47392,mǎ huáng,1
110171,时疫,60171,47393,shí yì,1
110172,氨水,60172,47394,ān shuǐ,1
110173,挑肥拣瘦,60173,47395,tiāo féi jiǎn shòu,1
110174,右行,60174,47396,yòu xíng,1
110177,壁毯,60177,47397,bì tǎn,1
110178,镂刻,60178,47398,lòu kè,1
110181,罐头盒,60181,47399,guàn tou hé,1
110185,苇席,60185,47400,wěi xí,1
110186,上蜡,60186,47401,shàng là,1
