rank,sn,cihui,pinyin,ref_hanzi,ref_pinyin,pos,definition,example
70002,1,下劲,xiàjìn,,,动,用劲,
70003,1,各有所好,gèyǒusuǒhào,,,,各有各的爱好,
70005,1,抽冷子,chōulěngzi,,,副,猛然；冷不防,抽冷子打几枪，迷惑敌人。
70006,1,耻骨,chǐgǔ,,,名,骨盆下部靠近外生殖器的左右两块骨头,
70008,1,赤忱,chìchén,,,名,十分诚挚的心意,满怀赤忱｜奉献赤忱
70008,2,赤忱,chìchén,,,形,十分诚挚,赤忱相待
70014,1,凡庸,fányōng,,,形,平庸,医术凡庸
70015,1,山核桃,shānhétao,,,名,落叶乔木，羽状复叶。果实也叫山核桃，表面密生黄鳞毛。鲜核仁脱涩后可以吃，也可以榨油。木质坚韧，可做家具、枪托等,
70016,1,误听,wùtīng,,,动,错误地听信,误听了谣传
70017,1,怃然,wǔrán,,,形,形容失意的样子,怃然长叹
70020,1,掉书袋,diàoshūdài,,,,讥讽人动不动就引经据典，卖弄才学,
70023,1,吹拍,chuīpāi,,,动,吹牛拍马,这个人以吹拍为手段，到处钻营。
70024,1,刺参,cìshēn,,,名,海参的一种。体呈圆柱形，前端口周有20个触手，背面有4—6行肉刺。再生力很强。可人工养殖,
70024,2,刺参,cìshēn,,,名,多刺灌木，小枝密生直刺，叶近圆形，边缘有带短刺和刺毛的锯齿，果实球形。根、茎可以做药材,
70025,1,寸阴,cùnyīn,,,名,日影移动一寸长的时间。指极短的时间,珍惜寸阴
70029,1,错谬,cuòmiù,,,名,错误；谬误,错谬百出
70045,1,慢性子,mànxìngzi,,,名,慢性子的人,我和这慢性子过不到一块儿。
70045,2,慢性子,mànxìngzi,,,形,（脾气、性格）缓慢的,他是个慢性子人，你得勤催着点儿。
70048,1,地漏,dìlòu,,,名,建筑物地面上设置的排水孔，水通过它流入下水道,地漏堵了，满地是水。
70050,1,桥桩,qiáozhuāng,,,名,支撑桥体的柱子,
70051,1,递条子,dìtiáozi,,,,递送纸条；借指上级部门或有权势的个人为某事给有关人写条子打招呼，要求予以通融照顾的不正之风,
70052,1,填方,tiánfāng,,,名,土建工程中回填到低洼处的土石方,
70052,2,填方,tiánfāng,,,动,土建工程中回填土石方,移土填方
70053,1,田垄,tiánlǒng,,,名,田埂,
70053,2,田垄,tiánlǒng,,,名,【垄】在耕地上培起的用来种植农作物的土埂,
70054,1,畜圈,chùjuàn,,,名,饲养牲口的棚或围栏,
70055,1,草寇,cǎokòu,,,名,旧指出没于山林草莽的盗匪,
70056,1,荤食,hūnshí,,,名,含肉类的食物,
70058,1,嫂夫人,sǎofūren,,,名,对朋友妻子的敬称,
70061,1,自疚,zìjiù,,,形,自己感到内疚,万分自疚
70062,1,浅露,qiǎnlù,,,形,浅显而直露；不委婉，不含蓄,措辞浅露
70063,1,钻工,zuàngōng,,,名,操作钻床的工种,
70063,2,钻工,zuàngōng,,,名,从事钻工工作的工人,
70069,1,肉脯,ròufǔ,,,名,经过加工的熟肉干,
70072,1,断狱,duànyù,,,动,审理和判决案件,为官清正，断狱公平。
70077,1,粟子,sùzi,,,名,某些地区指谷子,
70081,1,主粮,zhǔliáng,,,名,一个地区生产和消费的主要粮食品种。如华北、东北地区的主粮是小麦和玉米,
70084,1,打包票,dǎbāopiào,,,,对某种结果事先作出保证,
70085,1,书名号,shūmínghào,,,名,标点符号，形式有双书名号和单书名号两种。双书名号横排为“《》”，直排为“”；单书名号横排为“〈〉”，直排为“”。古籍或某些文史著作中的书名号可用浪线（~~~~~~~）。,
70086,1,零数,língshù,,,名,一个数中整数以外的尾数,
70087,1,摈斥,bìnchì,,,动,排斥；抛弃,摈斥异端邪说
70089,1,无奈何,wúnàihé,,,动,不得已；没有办法,敌人无奈何，只好悄悄撤走了。
70090,1,膏剂,gāojì,,,名,中药剂型之一。浓稠的糊状药剂，分内服、外用两种,
70091,1,象脚鼓,xiàngjiǎogǔ,,,名,傣族、景颇族等民族的一种乐器，鼓身木制，形似象脚，鼓面蒙羊皮、牛皮或马皮。用手拍击鼓面，鼓声雄壮深沉,
70093,1,牵记,qiānjì,,,动,牵挂,牵记家事
70097,1,按例,ànlì,,,副,按照惯例或常规,按例休息7天
70102,1,访旧,fǎngjiù,,,动,访问旧友、故地,
70105,1,吊兰,diàolán,,,名,多年生常绿草本植物，叶丛生，长条形，从叶丛中长出细长下垂的花轴，春夏间开白花。可盆栽供观赏,
70106,1,寿酒,shòujiǔ,,,名,庆祝生日的酒宴；特指老年人生日的酒宴,
70113,1,果料,guǒliào,,,名,加在点心或面包上的佐味辅料。如青丝、红丝、瓜子仁、葡萄干等,
70117,1,倾耳,qīng'ěr,,,动,侧着耳朵。表示很注意地听,倾耳静听
70118,1,管界,guǎnjiè,,,名,所管辖的地区,
70118,2,管界,guǎnjiè,,,名,所管辖地区的边界,
70119,1,砧木,zhēnmù,,,名,嫁接植物时承受接穗的植物体。如把大枣树枝嫁接到酸枣树上，酸枣树就是砧木,
70127,1,瞎聊,xiāliáo,,,动,随意地闲扯、聊天儿,
70141,1,软水,ruǎnshuǐ,,,名,不含或仅含少量钙、镁等的可溶性盐类的水。软水煮沸基本不生成水垢。如正常的雨水、蒸馏水等,
70143,1,满勤,mǎnqín,,,动,按规定时间上班，从未缺勤；全勤,小李月月满勤
70145,1,苟且偷安,gǒuqiě-tōu'ān,,,,得过且过，只图眼前的安逸,
70151,1,河南坠子,hénán zhuìzi,,,,【坠子】一种曲艺，流行于河南一带。主要用坠琴伴奏，故称。通称河南坠子的通称,
70154,1,仰人鼻息,yǎngrénbíxī,,,,比喻依靠别人生存，迎合别人的意旨行事（鼻息：从鼻孔里出入的气息）,
70159,1,五马分尸,wǔmǎ-fēnshī,,,,古代一种酷刑，即车裂。把人的四肢和头分别拴在五辆马车上，然后驱马向五个方向奔驰，把人撕碎；泛指处以极刑。比喻把完整的东西分割得很零碎,
70167,1,骨鲠在喉,gǔgěng-zàihóu,,,,鱼骨头卡在喉咙里。比喻有话憋在心里，不说出来不痛快,
70174,1,连鬓胡子,liánbìn húzi,,,,络腮胡子,
70175,1,绵白糖,miánbáitáng,,,名,一种白糖，细软如绵，具有不易结成硬块、易溶于水等特点,
70182,1,雪里送炭,xuělǐ-sòngtàn,,,,雪中送炭,
70187,1,流盼,liúpàn,,,动,转动目光看（多指女子）,美目流盼
70194,1,冲澡,chōngzǎo,,,动,用水冲洗身体；洗澡,
70195,1,平乱,píngluàn,,,动,平定叛乱、暴乱,
