main_item,ref_cihui,ref_sn,ref_sn_original,matched_value,matched_sn,definition
颜面,面子,2,②,面子,2,脸面；体面
铭文,铭,1,①,铭,1,古代铸或刻在器物、碑碣上记述事实、事业或警诫自己的文字
画师,画工,1,①,画工,1,以绘画为职业的工匠
报章,报纸,1,①,报纸,1,以刊登新闻为主的散页定期出版物，有日报、晨报、晚报等
除开,除了,1,①,除了,1,引进不包括在下文所说范围之内的内容，表示排除在外，常跟“都”、“全”等配合使用
除开,除了,2,②,除了,2,介引进全体事物中的某一部分（表示把它排除在外，还有别的），常跟“还”、“也”等配合使用
除开,除尽,1,①,除尽,1,除法运算的结果没有余数
尼姑,尼,1,①,尼,1,梵语音译词“比丘尼（Bhikṣuṇī）”的简称。佛教指出家修行的女子
穗子,穗,1,①②,穗,1,稻、麦等禾本科植物聚生在茎秆顶端的花或果实
穗子,穗,2,①②,穗,2,用丝线等扎成的、挂起来下垂的装饰品
灯亮儿,灯光,1,①,灯光,1,各种灯点燃或开启时发出的光亮
鲜见,少见,2,②,少见,2,很难见到
亡灵,亡魂,1,①,亡魂,1,迷信指人死后的灵魂
禀报,禀2,1,①,,,NOT_FOUND
食客,门客,1,①,门客,1,门下客；食客。即寄食在贵族豪门家里并为他们效劳的人。如毛遂是战国时赵国公子平原君赵胜的门客
红眼,眼红,1,①,眼红,1,对别人的名利或好东西非常羡慕、嫉妒，也渴望得到
透气,通气,1,①,通气,1,空气流通；使空气流通
擦拭,擦,3,③,擦,3,用手、布等揩拭
肠子,肠,1,①,肠,1,人和脊椎动物消化器官下段的总称。呈长管状，上端与胃相连，下端通肛门。一般分小肠、大肠两部分，小肠是消化和吸收养分的主要器官，大肠是暂时贮存消化后的残渣的器官
出炉,出台,2,②,出台,2,比喻（政策、计划、方案等）正式推出
球体,球,6,⑥,球,6,数学上指半圆以其直径为轴，旋转一周而成的立体，由中心点到表面各点的距离都相等
帮子,帮,4,④,帮,4,量用于成群成伙的人
棚子,棚,1,①,棚,1,遮蔽风雨、日光或保温等的简陋设备。用竹、木、金属等搭成架子，上面覆盖席、油毡、布、塑料膜等
棚子,棚,2,②,棚,2,简陋的小房子
分晓,明白,4,④,明白,4,知道；懂得
分晓,明了,2,②,明了,2,明白地了解；清楚地知道
分晓,明白,1,①,明白,1,清楚；容易了解
分晓,明了,1,①,明了,1,明白；清楚
听筒,耳机,2,②,耳机,2,固定电话上的受话器
辅佐,辅助,1,①,辅助,1,协助；帮助
邮箱,信箱,2,②,信箱,2,设在用户门前，供邮递员投放信件的小箱子
腥味儿,腥气,1,①,腥气,1,生鱼虾等发出的难闻气味
怎么的,怎么样,2,②,怎么样,2,代代替某种不直接说出来的情况或行为，表示一种委婉的语气（多用于否定或反问）
祖上,祖先,1,①,祖先,1,民族或家族的上代；特指年代比较久远的先辈
同窗,同学,2,②,同学,2,在同一个学校学习的人
礁石,礁,1,①,礁,1,江河、海洋中隐没在水下或露出水面的岩石
假名,化名,2,②,化名,2,为隐瞒真名而改用的名字
续集,续编,2,②,续编,2,继原书之后续写的书
尖利,尖,8,⑧,尖,8,感觉敏锐
恣意,任意,1,①,任意,1,表示任凭自己的心意，不受限制
谈开,说开,1,①,说开,1,把事情解释清楚
谈开,说开,2,②,说开,2,开始说起来
鲍鱼,鲍,2,②,鲍,2,软体动物，贝壳坚硬，绿褐色或灰褐色，生活在温带和热带海区。肉味鲜美。通称鲍鱼。古代
跑车,赛车,2,②,赛车,2,指这种竞技体育项目
新历,阳历,1,①,阳历,1,历法的一种，以地球绕太阳公转1周的时间（365.24219天）为1年
轻飘,轻飘飘,1,①,轻飘飘,1,形容轻得要飘浮起来的样子
半日,半天,1,①,半天,1,以正午为界划分出的半个白天
卵子,卵,3,③,卵,3,某些地区指睾丸
钻孔,钻（zuān）,1,①,,,NOT_FOUND
崽子,崽,2,②,,,NOT_FOUND
梆子,梆子腔,2,②,梆子腔,2,用梆子腔演唱的各地方剧种的统称，包括秦腔（陕西梆子）、晋剧（山西梆子）、豫剧（河南梆子）、河北梆子等
后手,后路,2,②,后路,2,借指说话、做事所留的回旋余地
不独,不仅,1,①,不仅,1,表示超出某一数量或范围
大解,大便,1,①,大便,1,（人）排泄粪便
清亮,明白,4,④,明白,4,知道；懂得
姨太太,妾,1,①,妾,1,旧时男子除正妻以外另娶的女子
梳子,梳,1,①,梳,1,理顺头发、胡子的用具，多用竹、木、塑料等制成
方始,方才,2,②,方才,2,表示事情发生不久或发生得晚
匾额,匾,1,①,匾,1,挂在门楣上或墙上的题字横牌
艺苑,艺林,2,②,艺林,2,艺术界
嚎叫,嚎,1,①,嚎,1,大声叫（多指动物）
菜心,菜薹,2,②,菜薹,2,一年或二年生草本植物。叶椭圆形，开黄色小花，生长迅速，抽薹力强，嫩薹和叶均可食用，是常见蔬菜
窄小,窄,1,①,窄,1,狭小；横向的距离小（跟“宽”相对）
冤屈,冤枉,2,②,冤枉,2,被加上的不应有的罪名或过错
冤屈,冤枉,1,①,冤枉,1,使无罪者承担罪名，使无错者承担过错责任
冤屈,冤枉,3,③,冤枉,3,形容所加的罪名不成立或受到的待遇不公平
拨动,拨,2,②,拨,2,用手指或工具弹动（琴弦）
神魂,灵魂,1,①,灵魂,1,迷信指附在人体上的一种非物质的东西，离开人体人即死亡，而它依然独立存在
封杀,封禁,2,②,封禁,2,查封；禁止
热乎乎,热乎,1,①,热乎,1,十分温暖；暖和
料子,材料,4,④,材料,4,比喻可以胜任某项工作的人才
望子,幌子,1,①,幌子,1,悬挂在店铺门外，表明店铺经营特点的标志
