main_item,ref_cihui,ref_sn,ref_sn_original,matched_value,matched_sn,definition
尘俗,世俗,1,①,世俗,1,指社会上的一般习俗
手底下,手下,1,①,手下,1,管辖下；领导下
手底下,手头,1,①,手头,1,手边；手里
翻砂,铸工,1,①,铸工,1,铸造器物工件的工种
断乎,断然,2,②,断然,2,表示不容怀疑，没有回旋余地，相当于“绝对”（多用于否定）
死性,死板,2,②,死板,2,刻板；不灵活
兜底,保底,2,②,保底,2,保证所定数额的最下限
锯子,锯,1,①,,,NOT_FOUND
差数,差,3,③,差,3,甲数减去乙数所得的数，如8减5的差是3
终岁,终年,1,①,终年,1,整年；一年到头
奢谈,侈谈,1,①,侈谈,1,不切实际地夸大地谈论
垛子,垛,2,②,垛,2,整齐地堆放；堆积
床榻,床,1,①,床,1,供人睡卧的家具
眼见得,眼见,2,②,眼见,2,马上；眼看
火网,火墙,2,②,火墙,2,由大片烈火形成的障碍
小崽子,崽,2,②,,,NOT_FOUND
爽气,爽快,2,②,爽快,2,说话痛快；办事利索
夭亡,夭折,1,①,夭折,1,短命早死；未成年而死
死力,死劲儿,1,①,死劲儿,1,所能使出的最大力量
死力,死劲儿,2,②,死劲儿,2,使出最大力量地；集中全部注意力地
怒潮,涌潮,2,②,涌潮,2,指这种高耸凶猛的潮头。我国钱塘江口的涌潮、巴西亚马孙河口的涌潮著称于世
马掌,马蹄铁,1,①,马蹄铁,1,钉在马、驴、骡蹄子下面的U字形铁，以防牲口脚掌磨损。通称马掌
浸没,沉浸,2,②,沉浸,2,处在某种气氛或状态中
冤孽,冤家,2,②,冤家,2,对所爱的人的昵称；泛指似恨实爱、给自己带来烦恼又难以割舍的人
冒头,出头,4,④,出头,4,放在整数之后，表示略有超出
茬子,茬,1,①,茬,1,庄稼收割后留在地面上的残茎和根
花枪,花招,2,②,花招,2,比喻骗人的奸猾狡诈的手段
捏合,捏,3,③,捏,3,使合起来；撮合
电门,开关,1,①,开关,1,用来接通或切断电路的器件
挂红,挂彩,2,②,挂彩,2,指作战负伤流血
配搭,搭配,1,①,搭配,1,按照一定标准或要求分配组合
暗房,暗室,2,②,暗室,2,有遮光设备的房间
字汇,词汇,1,①,词汇,1,一种语言里所使用的词和固定短语的总汇，如现代汉语词汇；也指词汇的一个特定部分，如基本词汇、科技词汇；还可指一个人或一部作品所使用的词语的总汇，如老舍的词汇、《红楼梦》的词汇
发蒙,启蒙,1,①,启蒙,1,向初学者传授入门的基本知识或技能
洗濯,洗,1,①,洗,1,用水或其他溶剂除掉物体上的污垢
磅秤,台秤,1,①,台秤,1,用金属制成，有固定的承重底座作为放置被称物的一种秤
被罩,被套,2,②,被套,2,套在被子外面，便于拆洗的套子
灯草,芯,1,①,芯,1,灯芯草茎中的髓，白色，可以放在油中点燃照明。通称灯草
烟卷儿,卷烟,2,②,卷烟,2,卷成细杆状或喇叭状的烟，包括香烟、雪茄。俗称烟卷儿
绝户,绝后,1,①,绝后,1,没有后代
地脚,地头,2,②,地头,2,书页下端的空白处
