main_item,ref_cihui,ref_sn,ref_sn_original,matched_value,matched_sn,definition
削肩,肩膀,1,①  ,肩膀,1,肩①
贼星,流星,1,①  ,流星,1,星际空间的固体块和尘粒闯入地球大气层时，同大气摩擦燃烧形成的飞速划过天空的光迹。俗称贼星
红模子,描红,2,②  ,描红,2,印有描红用的红色楷体大字或空心红字的纸
剽掠,剽,1,①  ,剽,1,〈文〉抢劫；掠取
包袱皮儿,包袱,1,①,包袱,1,包裹衣物等用的布
