main_item,ref_cihui,ref_sn,ref_sn_original,matched_value,matched_sn,definition
的士,出租汽车,1,①,出租汽车,1,供人临时乘坐并按里程收取费用的汽车
推翻,推倒,1,①,推倒,1,用推力使立着的人或物体倒下
租赁,租借,1,①,租借,1,租用
加之,加以,2,②,加以,2,连承接前一分句，提出进一层的原因或条件
传真,写真,1,①,写真,1,画人物肖像
手下,手头,1,①,手头,1,手边；手里
手下,手头,2,②,手头,2,指个人经济状况
天时,气候,1,①,气候,1,一个地区由纬度、地形、海拔高度、大气环流等因素相互作用所形成的气象状态的总体情况
天时,天气,1,①,天气,1,在一定区域一定时间内阴晴、风雨、冷热等的大气状况
车子,车,1,①,车,1,陆地上使用的有轮子的交通运输工具
牌子,牌,1,①,牌,1,指某些有专门用途的板状物，多用来张贴文告、广告或作标志
牌子,牌,2,②,牌,2,词、曲的调子
牌子,牌,4,④,牌,4,企业为自己的产品所取的专用名称
假设,假定,1,①,假定,1,姑且认为是（某种情况）
了不起,了不得,1,①,了不得,1,不寻常；很突出
疼痛,疼,1,①,疼,1,伤、病等引起的极不舒服的感觉
确切,确实,1,①,确实,1,真实可信
水准,水平,2,②,水平,2,在某一方面达到的高度
花样,花招,2,②,花招,2,比喻骗人的奸猾狡诈的手段
骨头,骨,1,①,骨,1,人和脊椎动物体内起支撑身体、保护内脏作用的坚硬组织
骨头,骨气,1,①,骨气,1,坚强不屈的气节
修理,修剪,1,①,修剪,1,用剪子修整
忙碌,忙,1,①,忙,1,事情多，没有空闲（跟“闲”相对）
忙碌,忙,2,②,忙,2,急着去做（某事）
叔叔,叔,5,⑤,叔,5,对年纪略小于父亲的男子的尊称
停车,停机,1,①,停机,1,机器停止运转
门人,门生,1,①,门生,1,旧时指跟从老师或前辈学习的人；弟子
门人,门客,1,①,门客,1,门下客；食客。即寄食在贵族豪门家里并为他们效劳的人。如毛遂是战国时赵国公子平原君赵胜的门客
老虎,虎,1,①,虎,1,哺乳动物，毛淡黄色或褐色，有黑色横纹，前额有像“王”字形的斑纹。性凶猛，夜间出来捕食猪、鹿、獐、羚羊等动物，有时也伤人。通称老虎。属国家保护动物。
电气,电,2,②,电,2,物质中存在的一种能，可以发光、发热、产生动力等，是一种重要能源，广泛应用于生产、生活各个方面
历代,历朝,1,①,历朝,1,以往各个朝代
香烟,香火,3,③,香火,3,旧时子孙祭祀祖先都要点燃香火，所以常用香火来借指后代子孙
翅膀,翅,1,①,翅,1,某些动物的飞行器官。昆虫一般是两对，鸟及蝙蝠等是一对。通称翅膀
叶子,叶,1,①,叶,1,〈文〉和谐；合
