main_item,ref_cihui,ref_sn,ref_sn_original,matched_value,matched_sn,definition
弧线,弧,2,②,弧,2,圆周或曲线（如抛物线）上的任意一段
兆头,预兆,2,②,预兆,2,事前显示出的某种迹象
寨子,寨,4,④,寨,4,四周有栅栏或围墙的村子；村子
刀锋,刀刃,1,①,刀刃,1,刀上用来切削的锋利的一边
正路,正道,1,①,正道,1,正式通行的道路
内服,口服,2,②,口服,2,把药物吃进去
弹丸,弹,1,①,弹,1,用弹弓弹（tán）射的小丸
合意,合心,2,②,合心,2,称心；符合心意
单线,单轨,1,①,单轨,1,只有一组轨道的运输线
挂断,挂,6,⑥,挂,6,把听筒放回电话机上，使线路切断
确乎,确实,2,②,确实,2,的确，表示肯定客观情况的真实性
菜谱,菜单,1,①,菜单,1,写有各种菜肴名称及价格的单子
巫婆,女巫,2,②,女巫,2,指旧时以装神弄鬼、搞迷信活动骗人为职业的妇女
零用,零花,1,①,零花,1,零星地花费
零用,零花,2,②,零花,2,〈口〉零花钱
耕田,耕地,1,①,耕地,1,用犁翻地松土
耕田,耕地,2,②,耕地,2,种植农作物的土地
洋车,人力车,2,②,人力车,2,特指一种人拉的车，有两个直径较大的橡胶车轮，车身前有两根长柄。主要用于载人。某些地区
巢穴,巢,3,③,巢,3,比喻盗匪或敌人盘踞的地方
碍事,要紧,2,②,要紧,2,严重
撇嘴,撇3,2,②,,,NOT_FOUND
皇族,皇室,1,①,皇室,1,皇帝的家族
凋谢,凋,1,①,凋,1,（草木花叶）枯萎脱落
盆子,盆,1,①,盆,1,盛东西或洗涤、栽种用的器皿，有帮，口大、底小
分值,分数,2,②,分数,2,考试或比赛时表示成绩的数字
剥皮,扒皮,2,②,扒皮,2,比喻进行盘剥
尿液,尿,1,①,尿,1,人或动物从肾脏滤出、由尿道排泄出来的液体
布面,布,1,①,布,1,棉、麻或人造纤维等织成的，可以作衣服或其他物件的材料
尺子,尺,2,②,尺,2,市尺
描摹,描,1,①,描,1,照着原样画或写（多指用透明薄纸蒙在底样上画）
糜烂,腐朽,2,②,腐朽,2,比喻人思想陈腐或社会风气败坏
护领,衬领,2,②,衬领,2,扣或缝在衣领内侧的活领子
鳞片,鳞,1,①,鳞,1,鱼类、爬行动物和少数哺乳动物身体表面的角质或骨质薄片状组织，具有保护身体的作用。可分为盾鳞、硬鳞和骨鳞
刀口,刀刃,1,①,刀刃,1,刀上用来切削的锋利的一边
斜眼,斜视,2,②,斜视,2,一只眼睛视线偏斜的眼病。由眼球位置异常、眼球肌肉麻痹等引起
末节,小节,1,①,小节,1,非原则性的小事（跟“大节”相区别）
避讳,忌讳,1,①,忌讳,1,由于习俗或个人原因，禁忌某些言语或举动。如船夫忌讳说“翻”和“沉”
贯串,贯穿,2,②,贯穿,2,从头到尾地体现
上灯,掌灯,2,②,掌灯,2,点灯
亏得,亏,4,④,亏,4,多亏
亏得,亏,5,⑤,亏,5,“多亏”的反说，有斥责讥讽的语气
锅子,锅,2,②,锅,2,形状像锅的东西
臣下,臣,2,②,臣,2,古代官吏对君主的自称
屏蔽,屏障,1,①,屏障,1,像屏风一样起遮蔽作用的东西
光波,光,1,①,光,1,太阳、火、电等放射出来照在物体上，使眼睛能看见物体的那种物质，广义也包括眼睛看不见的红外线和紫外线
霏霏,霏,1,①,霏,1,雨雪纷飞；烟云盛多
晃悠,晃荡,2,②,晃荡,2,游逛；不干正事
枝子,枝,1,①,枝,1,植物主干上分出来的细杈
枪械,枪,2,②,枪,2,口径在20毫米以下能发射子弹的武器
叮咬,叮,1,①,叮,1,（蚊子等）用中空的针形口器吸（血液）
滚蛋,滚,3,③,滚,3,走开（用于辱骂或斥责）
拾掇,整治,2,②,整治,2,惩治，使吃苦头
外屋,外间,1,①,外间,1,成套的几间屋子中直接通室外的房间
胳膊肘儿,肘,1,①,肘,1,上臂与下臂交接处可以弯曲的部位
干巴巴,干巴,2,②,干巴,2,比喻内容不丰富，语言不生动
水浇地,水地,1,①,水地,1,能够用水灌溉的耕地
