main_item,ref_cihui,ref_sn,ref_sn_original,matched_value,matched_sn,definition
白字,别字,1,①,别字,1,把甲字错读成或错写成乙字，乙字叫别字。如把“性别”写成“姓别”是写别字，把“晌午”读成“响午”是读别字
挑子,挑1,3,③,,,NOT_FOUND
气孔,气门,1,①,气门,1,陆栖节肢动物呼吸器官与外界相通的孔道，分布在身体表面，是空气的进出口。如蝗虫腹部的气门共有八对
顺道,顺路,1,①,顺路,1,表示顺着要去某处的路线（到另一处去）
顺道,顺路,2,②,顺路,2,不绕道；方便
土炕,炕,2,②,炕,2,我国北方农村睡觉用的土台，用土坯等砌成，内有烟道，可以烧火取暖
杠子,杠,3,③,杠,3,体操运动的器械
杠子,杠杠,1,①②,杠杠,1,阅读或批改文章时画的粗直线
杠子,杠杠,2,①②,杠杠,2,比喻政策规定的界限、标准
弹子,弹,1,①,弹,1,用弹弓弹（tán）射的小丸
答允,答应,2,②,答应,2,允许；同意
泥淖,泥坑,1,①,泥坑,1,烂泥淤积的低洼处
肘子,肘,1,①,肘,1,上臂与下臂交接处可以弯曲的部位
肘子,肘,2,②,肘,2,作为食品的猪腿上部
腥气,腥,3,③,腥,3,有腥气的
贞节,贞操,1,①,贞操,1,坚贞的节操
贞节,贞操,2,②,贞操,2,女子的节操
冰凌,冰,1,①,冰,1,水在0℃或0℃以下凝结成的固体
门径,门路,1,①,门路,1,解决问题的途径或诀窍
依傍,依,2,②,依,2,依赖；依靠
白描,素描,3,③,素描,3,文学上指简洁朴素、不加渲染的描写方法
数目字,数字,1,①②,数字,1,表示数目的字。汉字的数字有小写和大写两种。小写为一二三四五六七八九十百千；大写为零壹贰叁肆伍陆柒捌玖拾佰仟。万、亿等通用于大小写
数目字,数字,2,①②,数字,2,表示数目的符号，如阿拉伯数字、罗马数字等
米线,米粉,2,②,米粉,2,大米加水磨成浆，经过加工制成的条状食品
框子,框框,2,②,框框,2,比喻事物原有的格式、规矩或限定的范围
苏铁,铁树,1,①,铁树,1,苏铁的通称。常绿乔木，叶集生茎顶，大而坚，羽状分裂；花顶生，雌雄异株，不常开；种子呈核果状，朱红色。叶子可以做药材
新闻纸,报纸,2,②,报纸,2,一种通常用来印刷书报的普通白纸
康健,健康,1,①,健康,1,（人）生理机能和心理状况处于完好状态，没有缺陷和疾病
冒尖,出头,4,④,出头,4,放在整数之后，表示略有超出
冒尖,冒头,1,①,冒头,1,出现苗头
洗牌,洗,7,⑦,洗,7,玩牌类游戏时把牌打乱后再重新整理
怎奈,无奈,1,①,无奈,1,无可奈何；没有办法
怎奈,无奈,2,②,无奈,2,连用在转折句的开头，表示由于某种原因而造成前文所说的愿望、意图等没有实现，有惋惜意味
子午线,经线,2,②,经线,2,经⑫（跟“纬线”②相区别）
圆舞曲,华尔兹,1,①,华尔兹,1,一种起源于奥地利的民间舞曲，节奏明快，旋律流畅
譬喻,比喻,1,①,比喻,1,打比方
救生圈,橡皮圈,1,①,橡皮圈,1,供练习游泳用的救生圈，用橡胶布制成，形如轮胎，充气后可以浮在水上
腕子,腕,1,①,腕,1,人的手掌跟前臂之间或脚跟小腿之间相连接的可以活动的部分
嗔怪,嗔,2,②,嗔,2,责怪；埋怨
表亲,表1,5,⑤,,,NOT_FOUND
除却,除了,1,①,除了,1,引进不包括在下文所说范围之内的内容，表示排除在外，常跟“都”、“全”等配合使用
错开,错2,7,⑦,,,NOT_FOUND
拐子,拐1,2,②,,,NOT_FOUND
保准,保证,1,①,保证,1,担保一定做到
瓦匠,瓦工,2,②,瓦工,2,从事瓦工工作的工人
田亩,田地,1,①,田地,1,耕地
涟涟,涟,2,②,涟,2,形容泪流不止的样子
剪接,剪辑,1,①,剪辑,1,把拍摄完毕的镜头按创作构思的要求进行选择、剪裁、整理、组接、编排成结构完整的影片或电视片
皱褶,褶皱,1,①,褶皱,1,皱纹
