main_item,ref_cihui,ref_sn,ref_sn_original,matched_value,matched_sn,definition
好赖,好歹,1,①,好歹,1,好的和坏的
好赖,好歹,3,③,好歹,3,将就；凑和
好赖,好歹,4,④,好歹,4,无论如何；不管怎么样
纤瘦,纤细,2,②,纤细,2,瘦长
精神头儿,精神（shen）,1,①,,,NOT_FOUND
洞箫,箫,2,②,箫,2,用一根竹管做的乐器，竖着吹，吹口在顶端侧沿，正面5孔，背面1孔
偏房,妾,1,①,妾,1,旧时男子除正妻以外另娶的女子
火钳,火剪,1,①,火剪,1,生火时用来夹取煤炭、柴草的工具。形似剪刀，而剪口较长
负极,阴极,1,①,阴极,1,干电池、蓄电池等直流电源放出电子带负电的电极，常用符号“”表示。干电池的锌皮就是阴极
笑剧,闹剧,1,①,闹剧,1,情节滑稽、场面热闹、表演夸张的喜剧
补休,补假,2,②,补假,2,该休假时因工作需要而未休假，过后补给假日
小卧车,小轿车,2,②,小轿车,2,供人乘坐、有沙发式座位的小型汽车
缝子,缝（feng）,2,②,,,NOT_FOUND
座子,座,3,③,座,3,器物的基础部分或托底的东西
忌辰,忌日,1,①,忌日,1,原指先辈去世的日子（旧俗这一天忌娱乐、宴会，故称）；泛指亲友等去世的日子
豁子,缺口,1,①,缺口,1,物体缺掉一块的地方
龙须菜,江蓠,2,②,江蓠,2,藻类植物，藻体线状圆柱形，紫褐或黄绿色。生活在海湾浅水中。可以直接食用，也可以提取琼脂供食用或作工业原料
艾蒿,艾1,1,①,,,NOT_FOUND
灶头,灶,1,①,灶,1,烧火做饭的设备
顶岗,顶班,1,①,顶班,1,代替别人上班
黄花闺女,处女,1,①,处女,1,未曾发生过性行为的女子
避忌,忌讳,1,①,忌讳,1,由于习俗或个人原因，禁忌某些言语或举动。如船夫忌讳说“翻”和“沉”
底版,版,2,②,版,2,印刷用的底子，上有文字或图形，过去用木板、金属板，现多用胶片
孽障,孽种,2,②,孽种,2,旧时长辈对不肖子弟的憎称；有时也用作昵称
乐律,音律,1,①,音律,1,指律吕、宫调等
电度表,电表,2,②,电表,2,电度表的通称。计量用电量的仪表，以千瓦小时为计量单位
狮子狗,哈巴狗,1,①,哈巴狗,1,一种供玩赏的狗。体小、毛长、腿短
直溜,直,1,①,直,1,像线拉平那样，一点儿也不弯曲（跟“曲”相对）
沫子,沫,1,①,沫,1,液体形成的聚集在一起的细泡
耍钱,赌博,1,①,赌博,1,用财物作赌注，通过打牌、掷色（shǎi）子等决定输赢
风瘫,瘫痪,1,①,瘫痪,1,由于神经机能出现障碍，身体的某一部分完全或不完全地丧失运动功能
印刻,刻印,3,③,刻印,3,比喻留下极深刻的印象
藤子,藤,1,①②,藤,1,蔓生植物名，有白藤、紫藤等多种
藤子,藤,2,①②,藤,2,指植物的匍匐茎或攀缘茎。如瓜藤、葡萄藤
漂游,漂泊,2,②,漂泊,2,比喻生活不安定，四处奔走，居无定所
上辈子,上辈,1,①,上辈,1,家族中较久远的前代
横联,横批；横幅,1,①,,,NOT_FOUND
陈酿,陈酒,1,①,陈酒,1,窖藏多年的酒
悬想,悬念,1,①,悬念,1,牵挂；惦记
