main_item,ref_cihui,ref_sn,ref_sn_original,matched_value,matched_sn,definition
气眼,气孔,3,③,气孔,3,铸件内部或表面的孔洞，由铸造过程中进入空气形成。凡有气孔的铸件，质量都大受影响
气眼,气孔,4,④,气孔,4,泛指能使气体通过的孔
元夜,元宵,1,①,元宵,1,农历正月十五日为上元节，这一天的晚上称元宵
满师,出师,1,①,出师,1,（学徒）学习期满，技艺学成
腻人,腻,2,②,腻,2,因食物中脂肪多而使人不想吃
乡谈,变口,1,①,变口,1,北方曲艺中指演员运用各地方言模仿外地人讲话
鸷鸟,鸷,1,①,鸷,1,凶猛的鸟。如鹰、雕、鹯等
螺丝帽,螺母,1,①,螺母,1,跟螺栓配套使用的有孔零件。孔内有阴螺纹，与螺栓上的阳螺纹相啮合，使被连接的两个零件或构件固定在一起
悬心,揪心,1,①,揪心,1,非常担心
轻省,轻,1,①,轻,1,重量小（跟“重”相对）
三花脸,丑角,1,①,丑角,1,丑2④
罗锅儿,驼背,2,②,驼背,2,人的脊柱向后拱起，多因年老、疾病或不良坐姿引起
绷子,绷,5,⑤,绷,5,指绷子①
手眼通天,手段,3,③,手段,3,本事；技巧
钵盂,钵,2,②,钵,2,梵语音译词“钵多罗（Pātra）”的简称。僧人盛饭的器具，圆而稍扁，底平，口略小
芒草,芒,2,②,芒,2,多年生草本植物，秆高1—2米，叶子狭长，叶端尖刺形，秆皮可以造纸、编草鞋
准谱儿,准,5,⑤,准,5,确定的主意、把握等（多用在“有”、“没有”后面）
配膳,配餐,1,①,配餐,1,按不同的需要和标准把各种食品搭配成套
配膳,配餐,2,②,配餐,2,按一定比例搭配在一起的各种食品
芽子,芽,1,①,芽,1,植物的种子上或植株上可以发育成茎、叶或花的部分
船埠,码头,1,①,码头,1,海边、江河边专供船只停靠、乘客上下、货物装卸的建筑物
晓市,早市,1,①,早市,1,早晨营业的集贸市场
提讯,提审,1,①,提审,1,把犯罪嫌疑人或犯人从关押处提出来审讯
挂斗,拖车,1,①,拖车,1,由汽车、拖拉机等牵引着行驶的车斗或车厢
