main_item,ref_cihui,ref_sn,ref_sn_original,matched_value,matched_sn,definition
松树,松,1,1,松,1,松树，一般为常绿乔木。树皮多为鳞片状，常有树脂，叶子针形，果实球形、卵形或圆柱形。种类很多，常见的有马尾松、油松、黑松、白皮松等。木材用途广，树脂可供医药和工业用，松子可榨油或食用
胡须,胡子,1,1,胡子,1,嘴周围（有的连着鬓角）长的毛
拱手,拱,1,1,拱,1,两手在胸前合抱，表示敬意
建构,建立,2,2,建立,2,使形成；使产生
白银,银,1,1,银,1,金属元素，符号Ag。白色，有光泽，质软，富延展性，导电导热性能极好，化学性质稳定，在空气中不易氧化。用于电镀，也用于制造货币、首饰等。通称银子、白银
喝醉,醉,1,1,醉,1,饮酒过量而不能自持
蛋清,蛋白,1,1,蛋白,1,禽类等的卵中，包在蛋黄周围的透明胶状物质，主要成分是蛋白质
转口,改口,1,1,改口,1,改变原来的说法或语气
评述,述评,1,1,述评,1,叙述并评论
评述,述评,2,2,述评,2,叙述并评论的文章
火炮,炮,1,1,炮,1,烹调方法，把肉片等放在锅或铛（chēng）中用旺火急炒
一水儿,一色,2,2,一色,2,整齐划一的；不混杂其他颜色、种类或式样的
把子,把,1,1,把,1,器物上供握持的部分
抽水,抽头,1,1,抽头,1,设赌局的人从赢家赢得的钱里抽取一部分钱
抽水,缩水,1,1,缩水,1,某些纺织品浸水后因纤维吸水而收缩
折断,折,1,1,折,1,断
底子,底,1,1,底,1,用在作定语的词或短语后面，表示对中心语的领属关系（多见于五四时期至20世纪30年代的白话文著作）
底子,底,5,5,底,5,一年或一个月的最后一些日子
底子,底,6,6,底,6,衬托花纹图案的一面
森严,威严,1,1,威严,1,威武而严肃
回音,回信,2,2,回信,2,回复的信；答复的话
妹子,妹,1,1,妹,1,妹妹
应考,应试,1,1,应试,1,参加考试
作难,为难,1,1,为难,1,感到难办
作难,为难,2,2,为难,2,给别人造成困难；刁难（nàn）
爬行,爬,1,1,爬,1,人胸腹朝下，手脚并用向前移动；昆虫、爬行动物等向前移动
先人,祖先,1,1,祖先,1,民族或家族的上代；特指年代比较久远的先辈
知心,知己,1,1,知己,1,了解自己、跟自己情谊深厚的
称谓,称呼,2,2,称呼,2,当面招呼或背后指称时用的体现彼此关系或对方身份、地位、职业的名称。如老师、师傅、厂长等
套房,套间,1,1,套间,1,与正房相连的配间；也指相连的两间屋子中靠里面的一间，一般没有直通外面的门（跟“单间”相区别）
推倒,推翻,3,3,推翻,3,彻底否定已有的说法、结论、决定等
牌号,牌,4,4,牌,4,企业为自己的产品所取的专用名称
尖子,尖,2,2,尖,2,物体细小锐利的一端
一朝,一旦,2,2,一旦,2,指不确定的某一天，表示忽然出现或可能忽然出现
盾牌,盾,1,1,盾,1,古代兵器，用来遮挡敌方刀箭
假说,假设,2,2,假设,2,科学研究上指根据某些现象概括出来有待证明的解释或论断
低矮,低,1,1,低,1,矮；由下往上的距离短（跟“高”相对）
绝地,绝境,2,2,绝境,2,没有任何出路的境地
转载,过载,2,2,过载,2,把货物或旅客从一个运输工具上转移到另一个运输工具上
总称,统称,1,1,统称,1,总括起来叫做
总称,统称,2,2,统称,2,总括起来的名称
通路,通道,1,1,通道,1,大路
驹子,驹,2,2,驹,2,初生的马、骡、驴
管子,管,3,3,管,3,泛指细长中空的圆筒
正道,正路,2,2,正路,2,为人处事的正当途径
拍打,拍,1,1,拍,1,用手掌或片状物打
玉石,玉,1,1,玉,1,硬玉、软玉两类矿物的统称。质地细腻，坚韧而有光泽，可用作雕刻的材料或制成装饰品
自若,自如,1,1,自如,1,保持常态，镇定自然
星辰,星,1,1,星,1,天空中除太阳、月亮以外，用肉眼或望远镜可以看到的发光的天体
肾脏,肾,1,1,肾,1,人和高等脊椎动物的主要排泄器官。功能是吸收血液中的水分和废物，形成尿液，以排出体外。人的肾位于腹后壁腰椎两旁，左右各一个
背负,背,1,1,背,1,用背（bèi）驮
急迫,急促,1,1,急促,1,快速而短促
痛楚,痛苦,1,1,痛苦,1,肉体或精神感到非常难受
上体,上身,1,1,上身,1,身体的上半部
迎头,迎面,1,1,迎面,1,对着脸
插嘴,插话,1,1,插话,1,在别人说话过程中插进去说
足本,全本,2,2,全本,2,指书籍保留著作原貌，没有残缺或没有经过删削的版本
大雁,鸿雁,1,1,鸿雁,1,鸟，颈长，腿短，趾间有蹼，羽毛棕灰色，腹部白色，有黑色条纹。群居水边，以鱼虾及植物种子为食。飞行时排列成行，或为“一”字形，或为“人”字形
去除,除去,1,1,除去,1,除掉
大舞台,舞台,2,2,舞台,2,比喻社会活动领域
上房,正房,1,1,正房,1,四合院里位于正面的房子，通常是坐北朝南的房间
庙宇,庙,2,2,庙,2,供奉神佛或历史名人的建筑
私家,私人,1,1,私人,1,指个人（跟“公家”相区别）
砖头,砖,1,1,砖,1,用土坯烧制而成的建筑材料，多为长方形或方形
征兆,预兆,2,2,预兆,2,事前显示出的某种迹象
贮藏,储藏,1,1,储藏,1,储存收藏
贮藏,储藏,2,2,储藏,2,蕴藏；天然蓄积
摆弄,摆布,2,2,摆布,2,操纵；支配
萌生,萌发,2,2,萌发,2,比喻某种思想、意念或感情开始发生
题名,题目,1,1,题目,1,诗文或讲演的标题
冲刷,冲洗,1,1,冲洗,1,用水冲掉物体上附着的尘垢
圆圈,圈子,1,1,圈子,1,圆而中空的平面图形；环形；环状物
柜子,柜,1,1,柜,1,用来收藏衣物、文件等的器具。通常为长方形，有盖或有门，多为木制或铁制
极致,顶点,1,1,顶点,1,最高点；最高限度
生灵,生命,2,2,生命,2,有生命的东西
任由,任凭,1,1,任凭,1,听凭；听任
任由,任凭,2,2,任凭,2,连不论；不管
集子,集,2,2,集,2,由许多单篇著作或单幅作品汇编成的书
婆子,婆,1,1,婆,1,老年妇女
飘荡,漂泊,2,2,漂泊,2,比喻生活不安定，四处奔走，居无定所
小丑,小人,2,2,小人,2,人格低下卑劣的人
转瞬,转眼,2,2,转眼,2,借指时间极短
脸面,脸,1,1,脸,1,头前部从额到下巴的部分
