main_item,ref_cihui,ref_sn,ref_sn_original,matched_value,matched_sn,definition
套语,套话,1,①,套话,1,应酬的客套话
套语,套话,2,②,套话,2,现成的、可到处套用的空话
坯子,坯,1,①,坯,1,用黏土、高岭土等原料加工成形，还没有入窑烧制的砖瓦、陶瓷等的半成品
坯子,坯,3,③,坯,3,泛指半成品
松松垮垮,松懈,1,①,松懈,1,懈怠；懒散
小解,小便,1,①,小便,1,人排尿
映山红,杜鹃,2,②,杜鹃,2,常绿或落叶灌木，叶子卵圆形。花也叫杜鹃，多为红色，供观赏
吞服,吞,1,①,吞,1,不经咀嚼或细嚼，整个地往下咽
多一半,多半,1,①,多半,1,半数以上；大半
脚力,脚夫,1,①,脚夫,1,旧指搬运工人
蒿草,蒿,1,①,蒿,1,二年或多年生草本植物，叶子羽状分裂，花小，带有某种特殊气味。常见的有茼蒿、蒌蒿、青蒿、艾蒿等。有的嫩茎叶可以作蔬菜，有的可以驱蚊、做药材
落英,落花,1,①,落花,1,凋落的花瓣
罩子,罩,2,②,罩,2,指罩形的器物；也指某些遮在物体外面的东西
闲言碎语,闲话,3,③,闲话,3,不负责任地议论他人是非的话
偶或,偶尔,1,①,偶尔,1,间或；有时候。表示某种情况发生的次数不是很多
法场,道场,1,①,道场,1,僧道诵经做法事的场所
清库,清仓,1,①,清仓,1,清理查点仓库中所存的物资
弦子,弦,2,②,弦,2,乐器上用来发音的丝线或金属线；借指弦乐器
枝杈,枝,1,①,枝,1,植物主干上分出来的细杈
雕凿,雕琢,2,②,雕琢,2,刻意地修饰（文章）
轻软,轻柔,1,①,轻柔,1,轻而柔软
羔子,羔,2,②,羔,2,某些幼小的动物
吊带,背带,1,①,背带,1,搭在肩上吊住裤子或裙子的带子
鼓词,大鼓,2,②,大鼓,2,一种曲艺，流行于北方。用韵文演唱故事，穿插少量说白，用鼓、板、三弦等伴奏。如京韵大鼓、京东大鼓等
点种,点播,1,①,点播,1,播种方法，按一定的行距、株距挖坑下种（跟“撒播”、“条播”相区别）
残生,残年,1,①,残年,1,人的晚年；一生最后的岁月
风致,风韵,2,②,风韵,2,指风度韵致（多用于女性）
正极,阳极,2,②,阳极,2,电池、蓄电池等直流电源中吸收电子，带正电的电极，常用符号“+”表示。干电池中间的炭精棒就是阳极
编列,编排,1,①,编排,1,按照一定标准排列次序
膀臂,臂膀,1,①,臂膀,1,胳膊
后步,后路,2,②,后路,2,借指说话、做事所留的回旋余地
利齿,利口,1,①,利口,1,能说会道、口齿伶俐的嘴
投枪,标枪,1,①,标枪,1,古代一种投掷武器，在长杆的一端装有枪头
鼓书,大鼓,2,②,大鼓,2,一种曲艺，流行于北方。用韵文演唱故事，穿插少量说白，用鼓、板、三弦等伴奏。如京韵大鼓、京东大鼓等
画匠,画工,1,①,画工,1,以绘画为职业的工匠
浸渍,浸染,2,②,浸染,2,比喻人处在某种环境中慢慢受到沾染
纳贡,进贡,1,①,进贡,1,旧时藩属向宗主国或臣民向朝廷进献财物
稀巴烂,稀烂,2,②,稀烂,2,（东西）破碎得很严重
报账,报销,1,①,报销,1,把公务开支的款项列出清单，附上必要的单据，报请财务主管部门审核销账
吞灭,吞没,2,②,吞没,2,淹没；罩住
发神经,发疯,2,②,发疯,2,对言行违反常情的夸张
本册,本,7,⑦,本,7,书册；簿册
灶火,灶,1,①,灶,1,烧火做饭的设备
套曲,套数,1,①,套数,1,戏曲或散曲（小令除外）中，用多种曲调互相连贯、有首有尾、成为一套的曲子
缝线,缝合线,1,①,缝合线,1,指外科手术中缝合伤口的专用线。如羊肠线
岗子,岗,1,①,,,NOT_FOUND
岗子,岗,2,②,岗,2,地势不高而较平的土石山；隆起的坡地
