main_item,ref_cihui,ref_sn,ref_sn_original,matched_value,matched_sn,definition
咂嘴,咂,3,③,咂,3,用舌尖抵住上腭或牙龈突然发出吸气声，表示称赞、羡慕、惊讶、惋惜等
吞吃,吞,1,①,吞,1,不经咀嚼或细嚼，整个地往下咽
吞吃,吞没,1,①,吞没,1,侵吞；私占
纬线,纬,1,①,纬,1,纺织物横向的纱线（跟“经”相区别）
纬线,纬,3,③,纬,3,地理学上假想的沿地球表面跟赤道平行的线，赤道以北的称北纬线，以南的称南纬线
腻味,腻烦,1,①,腻烦,1,因长时间接触而感到厌烦
卡子,卡（qiǎ）,3,③,,,NOT_FOUND
小产,流产,1,①,流产,1,妊娠不足七个月的胎儿，自然地或用人工方法使其从子宫排出。前者叫自然流产，后者叫人工流产
成服,成衣,2,②,成衣,2,缝制好了供出售的衣服
密告,密报,1,①,密报,1,秘密地向上级或有关部门报告
绝然,绝对,3,③,绝对,3,表示坚决肯定，相当于“完全”、“一定”
渣子,渣,2,②,渣,2,碎屑
暖房,温室,1,①,温室,1,供冬季栽培不耐寒植物的房子，有防寒、加温、透光等设备
莲蓬,莲房,1,①,莲房,1,莲花开过后的花托，倒圆锥形，有许多小孔，孔内包裹着莲子。各孔相隔如房，故称
知交,知己,2,②,知己,2,知己的人
指印,指纹,2,②,指纹,2,指纹的痕迹。
凌迟,剐,1,①,剐,1,分解人的肢体，古代一种酷刑
龙门阵,闲话,2,②,闲话,2,无关紧要的话；正题之外的话
挂账,赊账,1,①,赊账,1,卖方把应收的货款记在账上，买方延期付款
洋流,海流,1,①,海流,1,海洋中沿着一定方向涌流的水
数说,数落,1,①,数落,1,〈口〉列举过失加以指责
回文,回环,3,③,回环,3,修辞手法，通过词语的循环往复使用，表达两种事物相互制约或彼此依存的关系。如“人人为我，我为人人”
汗液,汗,1,①,汗,1,人和某些动物从皮肤表面排出的液体
扒皮,剥（bāo）皮,1,①,,,NOT_FOUND
行政拘留,拘留,2,②,拘留,2,指行政拘留。我国对违犯治安管理的人予以短期关押的一种处罚。拘留期限为15日以下
插口,插话,1,①,插话,1,在别人说话过程中插进去说
豁口,缺口,1,①,缺口,1,物体缺掉一块的地方
经线,经,1,①,经,1,梳理纱线，使成经（jīng）纱或经（jīng）线
经线,经,1,⑫,经,1,梳理纱线，使成经（jīng）纱或经（jīng）线
前奏曲,前奏,2,②,前奏,2,比喻事情发生或事物出现的先声
乌金,墨1,1,①,,,NOT_FOUND
真确,真切,1,①,真切,1,清楚确切
扎眼,刺眼,2,②,刺眼,2,不顺眼；使人看了不舒服
正途,正路,2,②,正路,2,为人处事的正当途径
果核,核1,1,①,,,NOT_FOUND
支应,应付,1,①②,应付,1,采取办法或措施对付（人或事）
支应,应付,2,①②,应付,2,敷衍；将就
频度,频率,2,②,频率,2,在一定时间内某种情况发生或事物出现的次数
四不像,驯鹿,1,①,驯鹿,1,鹿的一种。雌雄都有角，角长，分成许多枝杈，蹄宽而大，尾白色，极短。善游泳，性温和。以地衣、谷类和草类等为食。俗称四不像
偏巧,偏偏,2,②,偏偏,2,表示实际情况跟客观需要或主观愿望不一致
脚丫子,脚,1,①,脚,1,人和某些动物腿的最下端接触地面的部分，用以行走
合家欢,全家福,1,①,全家福,1,指一个家庭全体成员合拍的相片
拖带,拖,5,⑤,拖,5,牵累；牵制
抄近儿,抄道,1,①,抄道,1,走近路
概略,大概,2,②,大概,2,区别不很准确或不很详尽的
