main_item,ref_cihui,ref_sn,ref_sn_original,matched_value,matched_sn,definition
水平线,水平,2,②,水平,2,在某一方面达到的高度
魂灵,灵魂,1,①,灵魂,1,迷信指附在人体上的一种非物质的东西，离开人体人即死亡，而它依然独立存在
傻气,傻劲儿,1,①,傻劲儿,1,愚笨、糊涂的样子
丑角,丑2,4,④,,,NOT_FOUND
腰肢,腰身,1,①②,腰身,1,腰部
腰肢,腰身,2,①②,腰身,2,人体腰部的粗细；也借指身段、体态
死讯,死信,1,①,死信,1,人死亡的消息
雄居,雄踞,2,②,雄踞,2,比喻很有气势地占据某处或以绝对优势占有某种地位
小月,流产,1,①,流产,1,妊娠不足七个月的胎儿，自然地或用人工方法使其从子宫排出。前者叫自然流产，后者叫人工流产
太阴,太岁,1,①,太岁,1,木星的古名。我国古代根据它围绕太阳公转的周期纪年。12年是1周。别称太阴
进账,收入,1,①,收入,1,收进（款项）
进账,收入,2,②,收入,2,收进的款项
石匠,石工,2,②,石工,2,从事这种工作的手艺人
拉面,抻面,2,②,抻面,2,抻成的面条
古筝,筝,1,①,筝,1,我国传统拨弦乐器，音箱为木制长方形，上面张弦，唐宋时有13根弦，现在增到25根
贞操,贞2,2,②,,,NOT_FOUND
前兆,预兆,2,②,预兆,2,事前显示出的某种迹象
破落,破败,1,①,破败,1,残缺破旧
第一把手,一把手,3,③,一把手,3,单位或组织的第一负责人
绰约,绰,3,③,绰,3,宽裕；富裕
老茧,茧子,2,②,茧子,2,手掌和脚掌等部位因长期反复摩擦而生成的硬皮
掰开,掰,1,①,掰,1,用双手把东西分开或折断
芋头,芋,1,①,芋,1,多年生草本植物，叶子大，倒卵形，有长柄，地下块茎呈球形或椭圆形，供食用。通称芋头
滴答,滴,1,①,滴,1,（液体）一点一点地落下
幕布,幕,3,③,幕,3,悬挂着的大块绸、布等
高矮,高度,1,①,高度,1,从下到上的距离；事物发展所达到的程度和水平
押韵,押2,1,①,,,NOT_FOUND
品茗,品茶,1,①,品茶,1,仔细品尝茶的味道；喝茶
按键,键,3,③,键,3,某些乐器、电子计算机、家用电器或其他机器上按动后使进入工作状态的部件
场院,场（cháng）,1,①,,,NOT_FOUND
萌动,萌发,2,②,萌发,2,比喻某种思想、意念或感情开始发生
捎带,附带,1,①,附带,1,附加
捎带,附带,2,②,附带,2,顺便
黄包车,人力车,2,②,人力车,2,特指一种人拉的车，有两个直径较大的橡胶车轮，车身前有两根长柄。主要用于载人。某些地区
一多半,多半,1,①,多半,1,半数以上；大半
勉力,努力,1,①,努力,1,尽量多地使出力气
陈说,陈言,1,①,陈言,1,陈旧的言论
斋戒,封斋,1,①,封斋,1,伊斯兰教规定，成年穆斯林在伊斯兰教历每年九月白天不进饮食并禁止房事，称为封斋
电影片,拷贝,2,②,拷贝,2,指制成的供发行和放映的影片成品
子爵,子1,4,④,,,NOT_FOUND
欠账,欠债,1,①,欠债,1,借别人钱财尚未归还；也比喻对人的承诺尚未兑现
欠账,欠债,2,②,欠债,2,指所欠的债款或尚未兑现的承诺
