main_item,ref_cihui,ref_sn,ref_sn_original,matched_value,matched_sn,definition
便路,便道,1,①,便道,1,近而方便的小路
揭老底,揭底,1,①,揭底,1,揭露内情
风火墙,防火墙,1,①,防火墙,1,建筑物之间用来防止火灾蔓延的高墙
包伙,包饭,1,①,包饭,1,按约定的标准，一方按月交费，一方供应饭食
包伙,包饭,2,②,包饭,2,以约定的标准按月交费后供应的饭食
出徒,出师,1,①,出师,1,（学徒）学习期满，技艺学成
单人舞,独舞,1,①,独舞,1,由一个人表演的舞蹈。分两类：一类是具有特定主题的完整结构的舞蹈；另一类是舞剧或多人舞蹈中的组成部分，是刻画主要人物的重要手段
锋快,锋利,1,①,锋利,1,形容工具、兵器头尖或刃薄，易于刺入或切割
皴裂,皴,1,①,皴,1,（皮肤）因风吹或受冻而粗糙起皱或裂口
磨扇,磨盘,1,①,磨盘,1,组成石磨的上下两扇圆形石盘
鼓弄,鼓捣,1,①,鼓捣,1,摆弄；修理
巴儿狗,哈巴狗,1,①,哈巴狗,1,一种供玩赏的狗。体小、毛长、腿短
