main_item,ref_cihui,ref_sn,ref_sn_original,matched_value,matched_sn,definition
眼珠,眼球,1,①,眼球,1,视觉器官的主体部分。人的眼球呈球状，藏在眼眶内，前面凸出，外部由角膜、巩膜、脉络膜、视网膜等薄膜构成，内部有水状液、晶状体和玻璃体，前面中央有一个圆形的瞳孔。俗称眼珠子
注释,注解,1,①,注解,1,用浅近的文字解释艰深的词句
注释,注解,2,②,注解,2,解释词句的文字
大洲,洲,2,②,洲,2,大陆及其附属岛屿的统称。地球上有七大洲，即亚洲、欧洲、非洲、北美洲、南美洲、大洋洲、南极洲
小汽车,小轿车,2,②,小轿车,2,供人乘坐、有沙发式座位的小型汽车
嫂子,嫂,1,①,嫂,1,哥哥的妻子
莲花,莲,1,①,莲,1,多年生水生草本植物，地下茎叫藕，白色，有节；叶子大而圆，叫荷叶；开淡红色或白色大花，有清香，可供观赏；籽实叫莲子。地下茎和籽实可以食用，藕节、莲子、荷叶可以做药材
半晌,半天,1,①,半天,1,以正午为界划分出的半个白天
半晌,半天,2,②,半天,2,指较长的一段时间（带有夸张意味）
门子,门路,2,②,门路,2,特指投机取巧、以达到个人目的的途径
额头,额,1,①,额,1,人的头发以下眉毛以上的部位；某些动物头部大致与此相当的部位。通称额头。俗称脑门儿、脑门子。
口吻,口气,2,②,口气,2,说话时表示出的意向或感情色彩
兵器,武器,1,①,武器,1,直接用于杀伤敌人或破坏敌人攻防设施的器械、装备
灭火,熄火,3,③,熄火,3,发动机停止运转
行道,道路,1,①,道路,1,供人或车马通行的带状地面
南边,南面,2,②,南面,2,往南的某一位置；靠南的一面
收成,收获,1,①,收获,1,收取成熟的农作物
袋子,口袋,1,①,口袋,1,用布或皮革、塑料等制成的装东西的用具
日月,日子,3,③,日子,3,指生活
照射,照,1,①,照,1,光线射到物体上
星球,星,2,②,星,2,天文学上泛指宇宙间能发光或反射光的天体，包括太阳、月亮、地球等
阴暗,阴沉,2,②,阴沉,2,比喻表情忧郁沉重
不值得,不值,2,②,不值,2,泛指没有多少价值或意义
门下,门客,1,①,门客,1,门下客；食客。即寄食在贵族豪门家里并为他们效劳的人。如毛遂是战国时赵国公子平原君赵胜的门客
噪音,噪声,1,①,噪声,1,物理学上指不同频率和不同强度的声音无规律的组合。如机器噪声
噪音,噪声,2,②,噪声,2,泛指嘈杂刺耳的声音
租用,租,3,③,租,3,以交付租金和按期归还为条件，使用别人的土地、房屋或实物等
贪婪,贪心,2,②,贪心,2,形容非分地贪求
了得,了不得,1,①,了不得,1,不寻常；很突出
了得,了不得,2,②,了不得,2,表示情况或后果严重
儿媳,媳妇,1,①,媳妇,1,儿子的妻子
活生生,活活,1,①,活活,1,表示在活的状态下（遭受某种不幸）
闪耀,闪烁,1,①,闪烁,1,亮光忽明忽暗，晃动不定
主演,主角,1,①,主角,1,戏剧、电影等中的主要角色；扮演主要角色的演员
浸泡,浸,1,①,浸,1,泡（在液体里）
胸膛,胸,1,①,胸,1,人或某些动物躯干的一部分，在颈与腹之间
讲演,演讲,1,①,演讲,1,向听众讲述某方面的知识或对某一问题的见解
讲演,演讲,2,②,演讲,2,指演讲的内容
催促,催,1,①,催,1,叫人赶快去做（某事）
深邃,深,1,①,深,1,从水面到水底的距离大；泛指从地面往下或从外到里的距离大（跟“浅”相对）
金子,金,4,④,金,4,金属元素，符号Au。深黄色，有光泽，延展性强，化学性质稳定。主要用于制造货币、装饰品等。通称金子或黄金
口音,口气,2,②,口气,2,说话时表示出的意向或感情色彩
比拟,比较,1,①,比较,1,把两种或几种同类事物加以对照以辨别其异同、高下
歼灭,消灭,2,②,消灭,2,使不存在
册子,本子,1,①,本子,1,用许多纸装订成的册子
功力,功夫,1,①,功夫,1,本领，技能；特指武术方面的本领、技能
编造,编,7,⑦,编,7,故意把非事实说成事实
堂上,高堂,2,②,高堂,2,借指父母
芙蓉,莲,1,①,莲,1,多年生水生草本植物，地下茎叫藕，白色，有节；叶子大而圆，叫荷叶；开淡红色或白色大花，有清香，可供观赏；籽实叫莲子。地下茎和籽实可以食用，藕节、莲子、荷叶可以做药材
原作,原著,1,①,原著,1,著作的原本；翻译、改编、缩写等所依据的著作
关口,关,7,⑦,关,7,在险要地方或边境出入口设立的守卫处所
大伙儿,大家,1,①,大家,1,称某个范围内所有的人。可放在复数人称代词之后，表示复指
机理,机制,2,②③,机制,2,机器的构造和工作原理
机理,机制,3,②③,机制,3,借指有机体的构造、功能和相互关系
忍心,忍,2,②,忍,2,能硬着心肠做情理上不该做的事
情势,形势,2,②,形势,2,情况；局势
甚至于,甚至,1,①,甚至,1,强调突出的事例，后面常与“都”、“也”配合
甚至于,甚至,2,②③,甚至,2,连用在几个并列词语的最后一项之前，表示突出强调这一项
甚至于,甚至,3,②③,甚至,3,连用在复句的后一分句之前，表示强调后面的情况，前一分句用“不但”
荷花,莲,1,①,莲,1,多年生水生草本植物，地下茎叫藕，白色，有节；叶子大而圆，叫荷叶；开淡红色或白色大花，有清香，可供观赏；籽实叫莲子。地下茎和籽实可以食用，藕节、莲子、荷叶可以做药材
着落,下落,1,①,下落,1,人或物的去处；去向
吞噬,吞没,1,①,吞没,1,侵吞；私占
漂流,漂泊,2,②,漂泊,2,比喻生活不安定，四处奔走，居无定所
变色,褪色,1,①,褪色,1,颜色由深变浅或脱落
