rank,sn,cihui,pinyin,ref_hanzi,ref_pinyin,pos,definition,example
30310,1,弹丸,dànwán,,,名,弹①,
31674,1,耕田,gēngtián,,,动,耕地①,
31674,3,耕田,gēngtián,,,名,耕地②,山脚有耕田数亩
31872,1,洋车,yángchē,,,名,人力车②。因由东洋（日本）传入，故称,
32754,1,尺子,chǐzi,,,名,尺②,
34866,1,水浇地,shuǐjiāodì,,,名,水地①,
