hsk_sn,cihui,pinyin,hsk_level
267,休息,xiū xi,2
268,雪,xuě,2
269,颜色,yán sè,2
270,眼睛,yǎn jing,2
271,羊肉,yáng ròu,2
272,药,yào,2
273,要,yào,2
274,也,yě,2
275,已经,yǐ jīng,2
276,一起,yī qǐ,2
277,意思,yì si,2
278,阴,yīn,2
279,因为,yīn wèi,2
280,游泳,yóu yǒng,2
281,右边,yòu bian,2
282,鱼,yú,2
283,元,yuán,2
284,远,yuǎn,2
285,运动,yùn dòng,2
286,再,zài,2
287,早上,zǎo shang,2
288,张,zhāng,2
289,长,zhǎng,2
290,丈夫,zhàng fu,2
291,找,zhǎo,2
292,着,zhe,2
293,真,zhēn,2
294,正在,zhèng zài,2
295,知道,zhī dào,2
296,准备,zhǔn bèi,2
297,自行车,zì xíng chē,2
298,走,zǒu,2
299,最,zuì,2
300,左边,zuǒ bian,2
301,阿姨,ā yí,3
302,啊,a,3
303,矮,ǎi,3
304,爱好,ài hào,3
305,安静,ān jìng,3
306,把,bǎ,3
307,搬,bān,3
308,班,bān,3
309,半,bàn,3
310,办法,bàn fǎ,3
311,办公室,bàn gōng shì,3
312,帮忙,bāng máng,3
313,包,bāo,3
314,饱,bǎo,3
315,北方,běi fāng,3
316,被,bèi,3
317,鼻子,bí zi,3
318,比较,bǐ jiào,3
319,比赛,bǐ sài,3
320,必须,bì xū,3
321,变化,biàn huà,3
322,表示,biǎo shì,3
323,表演,biǎo yǎn,3
324,别人,bié ren,3
325,宾馆,bīn guǎn,3
326,冰箱,bīng xiāng,3
327,才,cái,3
328,菜单,cài dān,3
329,参加,cān jiā,3
330,草,cǎo,3
331,层,céng,3
332,差,chà,3
333,超市,chāo shì,3
334,衬衫,chèn shān,3
335,成绩,chéng jì,3
336,城市,chéng shì,3
337,迟到,chí dào,3
338,出现,chū xiàn,3
339,除了,chú le,3
340,厨房,chú fáng,3
341,春,chūn,3
342,词语,cí yǔ,3
343,聪明,cōng ming,3
344,打扫,dǎ sǎo,3
345,打算,dǎ suàn,3
346,带,dài,3
347,担心,dān xīn,3
348,蛋糕,dàn gāo,3
349,当然,dāng rán,3
350,地,de,3
351,灯,dēng,3
352,低,dī,3
353,地方,dì fang,3
354,地铁,dì tiě,3
355,地图,dì tú,3
356,电梯,diàn tī,3
357,电子,diàn zǐ,3
358,冬,dōng,3
359,东,dōng,3
360,动物,dòng wù,3
361,短,duǎn,3
362,段,duàn,3
363,锻炼,duàn liàn,3
364,多么,duō me,3
365,饿,è,3
366,而且,ér qiě,3
367,耳朵,ěr duo,3
368,发烧,fā shāo,3
369,发现,fā xiàn,3
370,方便,fāng biàn,3
371,放,fàng,3
372,放心,fàng xīn,3
373,分,fēn,3
374,附近,fù jìn,3
375,复习,fù xí,3
376,干净,gān jìng,3
377,敢,gǎn,3
378,感冒,gǎn mào,3
379,刚才,gāng cái,3
380,根据,gēn jù,3
381,跟,gēn,3
382,更,gèng,3
383,公园,gōng yuán,3
384,故事,gù shi,3
385,刮,guā,3
386,关,guān,3
387,关系,guān xì,3
388,关心,guān xīn,3
389,关于,guān yú,3
390,国家,guó jiā,3
391,果汁,guǒ zhī,3
392,过去,guò qu,3
393,还是,hái shi,3
394,害怕,hài pà,3
395,河,hé,3
396,黑板,hēi bǎn,3
397,护照,hù zhào,3
398,花,huā,3
399,花园,huā yuán,3
400,画,huà,3
401,坏,huài,3
402,环境,huán jìng,3
403,换,huàn,3
404,黄,huáng,3
405,会议,huì yì,3
406,或者,huò zhě,3
407,机会,jī huì,3
408,几乎,jī hū,3
409,极,jí,3
410,记得,jì de,3
411,季节,jì jié,3
412,检查,jiǎn chá,3
413,简单,jiǎn dān,3
414,见面,jiàn miàn,3
415,健康,jiàn kāng,3
416,讲,jiǎng,3
417,教,jiāo,3
418,脚,jiǎo,3
419,角,jiǎo,3
420,接,jiē,3
421,街道,jiē dào,3
422,节目,jié mù,3
423,节日,jié rì,3
424,结婚,jié hūn,3
425,结束,jié shù,3
426,解决,jiě jué,3
427,借,jiè,3
428,经常,jīng cháng,3
429,经过,jīng guò,3
430,经理,jīng lǐ,3
431,久,jiǔ,3
432,旧,jiù,3
433,举行,jǔ xíng,3
434,句子,jù zi,3
435,决定,jué dìng,3
436,渴,kě,3
437,可爱,kě ài,3
438,刻,kè,3
439,客人,kè rén,3
440,空调,kōng tiáo,3
441,口,kǒu,3
442,哭,kū,3
443,裤子,kù zi,3
444,筷子,kuài zi,3
445,蓝,lán,3
446,老,lǎo,3
447,离开,lí kāi,3
448,礼物,lǐ wù,3
449,历史,lì shǐ,3
450,脸,liǎn,3
451,练习,liàn xí,3
452,辆,liàng,3
453,了解,liǎo jiě,3
454,邻居,lín jū,3
455,楼,lóu,3
456,绿,lǜ,3
457,马,mǎ,3
458,马上,mǎ shàng,3
459,满意,mǎn yì,3
460,帽子,mào zi,3
461,米,mǐ,3
462,面包,miàn bāo,3
463,面条,miàn tiáo,3
464,明白,míng bai,3
465,拿,ná,3
466,奶奶,nǎi nai,3
467,南,nán,3
468,难,nán,3
469,难过,nán guò,3
470,年级,nián jí,3
471,年轻,nián qīng,3
472,鸟,niǎo,3
473,努力,nǔ lì,3
474,爬山,pá shān,3
475,盘子,pán zi,3
476,胖,pàng,3
477,啤酒,pí jiǔ,3
478,葡萄,pú tao,3
479,普通话,pǔ tōng huà,3
480,骑,qí,3
481,其实,qí shí,3
482,其他,qí tā,3
483,奇怪,qí guài,3
484,铅笔,qiān bǐ,3
485,清楚,qīng chu,3
486,秋,qiū,3
487,裙子,qún zi,3
488,然后,rán hòu,3
489,热情,rè qíng,3
490,认为,rèn wéi,3
491,认真,rèn zhēn,3
492,容易,róng yì,3
493,如果,rú guǒ,3
494,伞,sǎn,3
495,上网,shàng wǎng,3
496,生气,shēng qì,3
497,声音,shēng yīn,3
498,使,shǐ,3
499,世界,shì jiè,3
500,瘦,shòu,3
501,舒服,shū fu,3
502,叔叔,shū shu,3
503,树,shù,3
504,数学,shù xué,3
505,刷,shuā,3
506,双,shuāng,3
507,水平,shuǐ píng,3
508,司机,sī jī,3
509,虽然,suī rán,3
510,太阳,tài yáng,3
511,糖,táng,3
512,特别,tè bié,3
513,疼,téng,3
514,提高,tí gāo,3
515,体育,tǐ yù,3
516,甜,tián,3
517,条,tiáo,3
518,同事,tóng shì,3
