id,topic,category
1,数字,词汇
2,时间日期,词汇
3,颜色形状,词汇
4,水果,词汇
5,蔬菜,词汇
6,肉蛋海鲜,词汇
7,饮料甜点,词汇
8,服装鞋包,词汇
9,家居用品,词汇
10,家庭成员,词汇
11,身体部位,词汇
12,疾病与就医,词汇
13,交通工具,词汇
14,方向与位置,词汇
15,天气季节,词汇
16,动物,词汇
17,工作职业,词汇
18,文具办公,词汇
19,电子设备,词汇
20,情绪感受,词汇
21,性格外貌,词汇
22,日常动词,词汇
23,自我介绍与问候,场景
24,餐厅用餐,场景
25,购物消费,场景
26,交通出行,场景
27,酒店住宿,场景
28,看病买药,场景
29,银行与邮局,场景
30,电话与网络,场景
31,求助与报警,场景
32,课堂与考试,场景
33,求职与面试,场景
34,办公室日常,场景
35,会议与汇报,场景
36,商务沟通,场景
37,表达情感与态度,功能
38,询问与回答,功能
39,请求与建议,功能
40,同意与反对,功能
41,比较与选择,功能
42,原因与结果,功能
