category,root_category,parent_category,total_items
碗·盘·盆·桶(名),饮食·衣服·居住·财产,饮食处所·用具,14
妥当(形),事情·情状(一般),情形·状况,14
离别(动),人类·社会,社交,14
眼、眉形态(名、形等),人体·医药·卫生,体态·容貌,14
废物·废料(名),物质·物体,各种物质、物资,14
坚定(形),感觉·情感·性格·行为,行为·态度,14
可口·无味(形),饮食·衣服·居住·财产,食物制作·质量,14
国际(名),政治·法律·军事,国家·政府,14
生殖器(名),人体·医药·卫生,各系统器官,14
生活(名),人类·社会,生活·境遇,14
谦虚(形),感觉·情感·性格·行为,性格,14
足球(名、动),教育·文化·艺术·体育,体育,14
土壤(名),农业,种植业,14
私事·琐事(名),事情·情状(一般),事情(一般),14
球类运动(名),教育·文化·艺术·体育,体育,14
契据(名),经济·商业·职业,财务·会计,14
诬蔑·诽谤(动),思想·语言·信息,言语(各种方式),14
跳·越·跨(动),行动·交通运输,行动,14
悔悟(动),感觉·情感·性格·行为,行为·态度,14
迁移(动),饮食·衣服·居住·财产,住宅·庭院·园林,14
乐观·悲观(形),感觉·情感·性格·行为,情感,14
因果、目的关系(连),思想·语言·信息,常用虚词,14
鳏·寡·独身(名、形、动),人类·社会,性爱·婚姻·家庭,14
疾病(总称)(名),人体·医药·卫生,疾病,14
岩石(名),物质·物体,各种物质、物资,14
专心(形),感觉·情感·性格·行为,行为·态度,14
踩·踮·踢·跺(动),人体·医药·卫生,人体动作(一般),14
争斗(动),人类·社会,社会关系,14
规矩(名),事情·情状(一般),事情(一般),14
并列关系(连),思想·语言·信息,常用虚词,14
研究(动),工业·科技,科学·技术,14
学生(一般)(名),教育·文化·艺术·体育,学校·教学,14
圆滑(形),感觉·情感·性格·行为,行为·态度,14
后妃·宫女·宦官(名),政治·法律·军事,国家·政府,14
上班·下班(动),经济·商业·职业,职业,14
工种·工人(名),工业·科技,工业,14
强大(形),事情·情状(一般),情形·状况,14
轻率(形、副),感觉·情感·性格·行为,行为·态度,14
审查(动),政治·法律·军事,行政,14
不解·误解(动、形等),思想·语言·信息,认识·知识·能力,14
赌博(动、名),政治·法律·军事,罪行·刑罚,14
睡觉(动),人体·医药·卫生,一般身体状况,14
牵连·连累(动),人类·社会,社会关系,14
争吵(动),思想·语言·信息,言语(一般),14
中国货币(名),经济·商业·职业,金融,14
安排·部署(动),事情·情状(一般),做事,14
幸运·幸福(名),人类·社会,生活·境遇,14
资金(名),经济·商业·职业,财务·会计,14
回想(动),思想·语言·信息,思想·思维,14
太阳(名),宇宙·地球,宇宙,14
社会形态、制度(名),人类·社会,人群·社会,14
计量(动),数量,计量,14
税收(一般)(名),经济·商业·职业,财政,14
马·驴·貘·犀(名 ),生命·生物,哺乳动物,14
忠诚(形),感觉·情感·性格·行为,性格,14
各处·到处(名、副),行动·交通运输,地方·场所,14
学者·专家(名),思想·语言·信息,认识·知识·能力,14
警戒·巡逻(动),政治·法律·军事,战争,14
偷窃(动),政治·法律·军事,罪行·刑罚,14
燃烧(动),物质·物体,变化,14
信息(名),思想·语言·信息,信息·通信·新闻,14
问(动),思想·语言·信息,言语(一般),14
浓·淡·黏(形),物质·物体,性质,14
道路(名),行动·交通运输,道路,14
更加·尤其·甚至(副),事情·情状(一般),程度·范围·可能,14
投降·招降(动),政治·法律·军事,战争,14
月(名),宇宙·地球,计时,14
流行(动、形),人类·社会,社会状况,14
危险(形),事情·情状(一般),情形·状况,14
阅读(动),思想·语言·信息,阅读·写作,14
保卫(动),政治·法律·军事,军事,14
扩大·缩小(动),事情·情状(一般),发展·变化,14
军人·军属(名),政治·法律·军事,军事,14
朝廷·官府(名),政治·法律·军事,国家·政府,14
木工工具(名),工业·科技,机器·设备·工具,14
老年男人(名),人类·社会,人,14
内心(名),思想·语言·信息,思想·思维,14
注视(动),感觉·情感·性格·行为,心理·感觉,14
仇恨(名),人类·社会,社会关系,14
炎热(形、名),宇宙·地球,气象,14
侦察·侦探(动、名),政治·法律·军事,战争,14
供认(动),政治·法律·军事,诉讼·审判·检察,14
明显(形),事情·情状(一般),情形·状况,14
都(副),事情·情状(一般),程度·范围·可能,14
攻占(动),政治·法律·军事,战争,14
创造(动),事情·情状(一般),做事,14
燃料·煤·炭(名),物质·物体,各种物质、物资,14
舞弊·营私(动、名),政治·法律·军事,罪行·刑罚,14
脚(名),人体·医药·卫生,躯干和四肢,14
游荡·苟安(动),人类·社会,生活·境遇,14
清·浊(形),宇宙·地球,海洋·河流,14
动力机械(名),工业·科技,机器·设备·工具,14
溃逃(动),政治·法律·军事,战争,14
使节·使馆(名),政治·法律·军事,外交,14
文雅(形),感觉·情感·性格·行为,行为·态度,14
满意(形),感觉·情感·性格·行为,欲望·意愿,14
探问(动),思想·语言·信息,言语(各种方式),14
遵守(动),感觉·情感·性格·行为,行为·态度,14
等待(动),事情·情状(一般),做事,14
医疗(动、名),人体·医药·卫生,医疗·药物,14
使用·操纵(动),工业·科技,机器·设备·工具,14
旺盛·有力(形),人体·医药·卫生,一般身体状况,14
养育·喂养(动),人类·社会,出生·养育·丧葬,14
批评·抨击(动),思想·语言·信息,言语(各种方式),14
烧·炒·炸(动),饮食·衣服·居住·财产,食物制作·质量,14
沾光·吃亏(动、形),人类·社会,生活·境遇,14
雨(名),宇宙·地球,气象,14
退步·恶化(动),事情·情状(一般),发展·变化,14
残缺(形),物质·物体,形状,14
受伤(动),人体·医药·卫生,生病·伤残,14
公正(形),感觉·情感·性格·行为,行为·态度,14
根源·来源(名),事情·情状(一般),因果·过程,14
正·刚(副),宇宙·地球,时间,14
歼灭(动),政治·法律·军事,战争,14
经常(副),宇宙·地球,时间,14
热·凉(形),物质·物体,性质,14
感动(动),感觉·情感·性格·行为,情感,14
党派(名),政治·法律·军事,政治,14
给予·加以(动),事情·情状(一般),做事,14
雕塑(名),教育·文化·艺术·体育,美术·摄影,14
立刻(副),宇宙·地球,时间,14
跑·爬(动),生命·生物,动物形体、活动,13
无比(形),事情·情状(一般),程度·范围·可能,13
肮脏(形),人体·医药·卫生,卫生,13
作恶(动),政治·法律·军事,罪行·刑罚,13
新·旧(形),物质·物体,性质,13
射击(动),政治·法律·军事,武器·装备,13
深刻(形),事情·情状(一般),程度·范围·可能,13
深奥(形),事情·情状(一般),程度·范围·可能,13
头巾·围巾·领带(名),饮食·衣服·居住·财产,穿戴用品,13
职务(名),经济·商业·职业,职业,13
贩卖(动),经济·商业·职业,商业,13
寻找(动),行动·交通运输,行动,13
枪·矛(名),政治·法律·军事,武器·装备,13
夸口(动),思想·语言·信息,言语(一般),13
试题·试卷·试场(名),教育·文化·艺术·体育,学校·教学,13
野外(名),行动·交通运输,地方·场所,13
臂(名),人体·医药·卫生,躯干和四肢,13
访问·回访(动),人类·社会,社交,13
储藏(动),经济·商业·职业,商业,13
膨胀·收缩(动),物质·物体,变化,13
经营(动),经济·商业·职业,财务·会计,13
散文(名),教育·文化·艺术·体育,文学,13
气量(名),感觉·情感·性格·行为,行为·态度,13
经济(一般)(名),经济·商业·职业,经济(一般),13
严重(形),事情·情状(一般),程度·范围·可能,13
数目·数量(名),数量,数目·数量,13
诉冤·申冤(动),政治·法律·军事,诉讼·审判·检察,13
好听(形),宇宙·地球,声,13
诊察(动),人体·医药·卫生,医疗·药物,13
能干(形),思想·语言·信息,认识·知识·能力,13
相当·稍微(副),事情·情状(一般),程度·范围·可能,13
胸(名),人体·医药·卫生,躯干和四肢,13
尖锐·刻薄(形),思想·语言·信息,言语(一般),13
刁难·为难(动),事情·情状(一般),限制·破坏,13
铃·钟·梆·哨(名),物质·物体,物品(一般),13
正直(形),感觉·情感·性格·行为,性格,13
冶金(动),工业·科技,工业,13
豆类(名),生命·生物,各类植物,13
诵读(动),思想·语言·信息,阅读·写作,13
纯粹·驳杂(形),物质·物体,性质,13
请求(动、名),思想·语言·信息,言语(各种方式),13
监狱(名),政治·法律·军事,罪行·刑罚,13
课·课程(名),教育·文化·艺术·体育,学校·教学,13
限制·约束(动),事情·情状(一般),限制·破坏,13
修辞格(名),思想·语言·信息,语言·语法,13
冒充(动),政治·法律·军事,罪行·刑罚,13
本金·利息(名),经济·商业·职业,金融,13
罪犯(名),政治·法律·军事,罪行·刑罚,13
美人·丑八怪(名),人体·医药·卫生,体态·容貌,13
条件关系(连),思想·语言·信息,常用虚词,13
安慰(动),感觉·情感·性格·行为,行为·态度,13
知识分子(名),思想·语言·信息,认识·知识·能力,13
泡·浸·润(动),物质·物体,运动,13
阻止(动),行动·交通运输,行动,13
泣(动),感觉·情感·性格·行为,表情,13
纠缠(动),事情·情状(一般),限制·破坏,13
多数·少数·概数(名、数、量),数量,数目·数量,13
不同(形),事情·情状(一般),关联·异同,13
一生(名),人类·社会,人,13
集·编等(名),思想·语言·信息,书籍·出版,13
记忆(动),思想·语言·信息,思想·思维,13
宇宙(名),宇宙·地球,宇宙,13
超过(动),事情·情状(一般),关联·异同,13
界线(名),行动·交通运输,地方·场所,13
家事(名、动),人类·社会,性爱·婚姻·家庭,13
堡垒·据点等(名),政治·法律·军事,战争,13
暗害(动、名),政治·法律·军事,罪行·刑罚,13
糕点(名),饮食·衣服·居住·财产,食物,13
耳语·私语·自语(动),思想·语言·信息,言语(一般),13
糖(名),饮食·衣服·居住·财产,食物,13
歇业(动),经济·商业·职业,商业,13
更新·复旧(动),事情·情状(一般),发展·变化,13
纵容·放任(动),事情·情状(一般),限制·破坏,13
不料·竟然(动、副等),事情·情状(一般),程度·范围·可能,13
增进·加强(动),事情·情状(一般),发展·变化,13
有名(形),人类·社会,地位·品类,13
便利·不便(形、动),事情·情状(一般),情形·状况,13
沉迷(动),感觉·情感·性格·行为,情感,13
声音(一般)(名),宇宙·地球,声,13
沉默(动、形),思想·语言·信息,言语(一般),13
制订(动),事情·情状(一般),做事,13
竖立·倒立(动),物质·物体,运动,13
计划·打算(名),思想·语言·信息,思想·思维,13
扶·抱·携手(动),人体·医药·卫生,人体动作(一般),13
牌·签·筹等(名),物质·物体,物品(一般),13
优点·缺点(名),事情·情状(一般),情形·状况,13
扇子·伞(名),饮食·衣服·居住·财产,家用器物,13
战场·战线(名),政治·法律·军事,战争,13
会·会议(名),人类·社会,社交,13
漏·渗·冒·潽(动),物质·物体,运动,13
伟大(形),事情·情状(一般),情形·状况,13
进步·改进(动),事情·情状(一般),发展·变化,13
逃窜·逃散(动),行动·交通运输,行动,13
唠叨·啰唆(动、形),思想·语言·信息,言语(一般),13
蛾·螟·蝶·蚕(名 ),生命·生物,昆虫,13
心情(名),感觉·情感·性格·行为,情感,13
损坏(动),物质·物体,变化,13
发抖(动),人体·医药·卫生,人体动作(一般),13
史书·方志(名),思想·语言·信息,书籍·出版,13
遭遇·遭受(动),人类·社会,生活·境遇,13
戏曲(名),教育·文化·艺术·体育,戏剧·电影,13
理发(动),人体·医药·卫生,卫生,13
逃跑(动),行动·交通运输,行动,13
激动(动、形),感觉·情感·性格·行为,情感,13
蚊·蝇·蜂·蚁(名 ),生命·生物,昆虫,13
反抗·请愿等(动),政治·法律·军事,政治,13
进·出(动),行动·交通运输,行动,13
仰·俯·回头(动),人体·医药·卫生,人体动作(一般),13
薪水·报酬(名),经济·商业·职业,职业,13
合理(形),事情·情状(一般),情形·状况,13
运动(名、动),物质·物体,运动,13
潮流·潮(名),人类·社会,社会状况,13
命令·指示(名),政治·法律·军事,行政,13
应该(动),事情·情状(一般),做事,13
效力(名),物质·物体,性质,13
卑劣(形),感觉·情感·性格·行为,性格,13
遗物·遗嘱等(名),人类·社会,出生·养育·丧葬,13
告诉·嘱咐(动),思想·语言·信息,言语(各种方式),13
合法·非法(形、动),政治·法律·军事,法律(一般),13
通顺·工稳(形),思想·语言·信息,阅读·写作,13
功劳(名),事情·情状(一般),成功·失败,13
位置(名),行动·交通运输,地方·场所,13
让步关系(连),思想·语言·信息,常用虚词,13
用心·尽心(动、形),思想·语言·信息,思想·思维,13
稿子(名),思想·语言·信息,阅读·写作,13
爱(动),感觉·情感·性格·行为,情感,13
风气(名),人类·社会,社会状况,13
仍然·照旧(副、动),事情·情状(一般),情形·状况,13
喧哗(形),思想·语言·信息,言语(一般),13
习性(名),感觉·情感·性格·行为,行为·态度,13
政务·公务(名),政治·法律·军事,行政,13
犯罪·违法(动),政治·法律·军事,罪行·刑罚,13
交友(动),人类·社会,社会关系,13
收入·支出(动),经济·商业·职业,财务·会计,13
爱惜·不惜(动),感觉·情感·性格·行为,情感,13
器具(名),物质·物体,物品(一般),13
五彩(名、形),宇宙·地球,光·色,13
灯具(一般)(名),物质·物体,物品(一般),13
香味(名、形),感觉·情感·性格·行为,心理·感觉,13
舱·舷·甲板等(名),行动·交通运输,航运,13
运输(动),行动·交通运输,运输,13
取得(动),事情·情状(一般),成功·失败,13
色(一般)(名),宇宙·地球,光·色,13
追赶·超过(动),行动·交通运输,行动,13
版(名),思想·语言·信息,书籍·出版,13
情节(名),教育·文化·艺术·体育,文学,13
风潮(名),人类·社会,社会状况,13
伤亡(动、名),政治·法律·军事,战争,13
政治(一般)(名),政治·法律·军事,政治,13
帘·帐(名),饮食·衣服·居住·财产,家用器物,13
征税·纳税(动),经济·商业·职业,财政,12
我国法定计量单位(量),数量,计量,12
戳·刺·凿·钻(动),工业·科技,劳作·制造,12
战争(方式)(名),政治·法律·军事,战争,12
程序·阶段(名),事情·情状(一般),因果·过程,12
行车(动),行动·交通运输,陆运,12
炉灶(名),饮食·衣服·居住·财产,饮食处所·用具,12
循环·轮流(动),事情·情状(一般),因果·过程,12
得意(形),感觉·情感·性格·行为,欲望·意愿,12
签字·用印(动),政治·法律·军事,行政,12
谨慎(形),感觉·情感·性格·行为,行为·态度,12
娱乐·消遣(动),教育·文化·艺术·体育,娱乐·游戏,12
爬·登·攀·趟(动),行动·交通运输,行动,12
熟练(形),工业·科技,劳作·制造,12
终于(副),事情·情状(一般),因果·过程,12
穷尽(形、动),数量,数目·数量,12
惹祸·遗祸·出事(动),人类·社会,生活·境遇,12
热情(名、形),感觉·情感·性格·行为,情感,12
纹·斑·皱(名),物质·物体,形状,12
慢(形),行动·交通运输,行动,12
懊悔(动),感觉·情感·性格·行为,情感,12
汽化·液化(动、名),物质·物体,变化,12
版本(名),思想·语言·信息,书籍·出版,12
眼病(名),人体·医药·卫生,疾病,12
美味·粗食(名),饮食·衣服·居住·财产,饮食(一般),12
统率·指挥(动),政治·法律·军事,战争,12
忧虑(动),感觉·情感·性格·行为,情感,12
豪放(形),感觉·情感·性格·行为,性格,12
豪华·简陋(形),饮食·衣服·居住·财产,建筑物·建筑,12
沟渠·运河(名),宇宙·地球,海洋·河流,12
概要·提纲(名),思想·语言·信息,书籍·出版,12
忧愁(形),感觉·情感·性格·行为,情感,12
补充(动),数量,数目·数量,12
成功(动、名),事情·情状(一般),成功·失败,12
忙(形、动),工业·科技,劳作·制造,12
立志·决意(动),感觉·情感·性格·行为,欲望·意愿,12
机智·灵活(形),思想·语言·信息,认识·知识·能力,12
抄写(动),思想·语言·信息,阅读·写作,12
要求·需要(动),感觉·情感·性格·行为,欲望·意愿,12
电磁波(名),物质·物体,电·电器,12
药方·处方·病历(名、动),人体·医药·卫生,医疗·药物,12
方面(名),事情·情状(一般),事情(一般),12
漂·浮(动),物质·物体,运动,12
混淆·颠倒(动),事情·情状(一般),限制·破坏,12
花费(动),饮食·衣服·居住·财产,财产,12
礼仪(名),人类·社会,社交,12
新诗·旧诗·格律诗(名),教育·文化·艺术·体育,文学,12
满意(动),感觉·情感·性格·行为,欲望·意愿,12
诗歌·歌谣(名),教育·文化·艺术·体育,文学,12
小时·时辰·更(名),宇宙·地球,计时,12
小说(名),教育·文化·艺术·体育,文学,12
礼物(名),人类·社会,社交,12
禽·兽(名),生命·生物,动物(一般),12
搜集(动),工业·科技,科学·技术,12
白天(名),宇宙·地球,计时,12
航行(动),行动·交通运输,航运,12
摔·扑(动、名),人体·医药·卫生,人体动作(一般),12
文学体裁(名),教育·文化·艺术·体育,文学,12
文学·艺术(一般)(名),教育·文化·艺术·体育,文学,12
收入·支出(名),经济·商业·职业,财务·会计,12
屡次(副、形),事情·情状(一般),因果·过程,12
腊味·肉松·咸菜等(名),饮食·衣服·居住·财产,食物,12
整理(动),事情·情状(一般),做事,12
认错·道歉(动、名),思想·语言·信息,言语(各种方式),12
评弹·大鼓等(名),教育·文化·艺术·体育,曲艺·杂技,12
教师(一般)(名),教育·文化·艺术·体育,学校·教学,12
电器(名),物质·物体,电·电器,12
港口(名),行动·交通运输,航运,12
日光(名),宇宙·地球,光·色,12
时期(名),宇宙·地球,时间,12
宽宏(形),感觉·情感·性格·行为,性格,12
昂贵·低廉(形),经济·商业·职业,商业,12
宗教(一般)(名),宗教·民间信仰,宗教,12
笑(动),感觉·情感·性格·行为,表情,12
