root_category,parent_category_count,leaf_category_count,total_items
思想·语言·信息,9,388,3849
事情·情状(一般),9,334,3836
人类·社会,10,351,3591
政治·法律·军事,11,329,3443
感觉·情感·性格·行为,6,303,3408
饮食·衣服·居住·财产,13,270,2325
物质·物体,8,240,2243
宇宙·地球,10,199,2181
人体·医药·卫生,12,208,2092
教育·文化·艺术·体育,10,240,1900
行动·交通运输,9,194,1604
经济·商业·职业,8,175,1323
生命·生物,12,128,1112
工业·科技,4,129,1029
数量,4,80,841
农业,7,95,681
宗教·民间信仰,2,40,402
