rank,sn,cihui,pinyin,ref_hanzi,ref_pinyin,pos,definition,example
45002,1,导热,dǎorè,,,动,热能从温度高的部分传到温度低的部分,
45003,1,喜不自禁,xǐbùzìjīn,,,,高兴得控制不住自己（禁：承受，忍受）,
45006,1,黑瘦,hēishòu,,,形,又黑又瘦,战士们从抗洪前线归来，一个个黑瘦黑瘦的。
45007,1,乌梅,wūméi,,,名,经过干燥后熏制而成的外表呈黑褐色的青梅，可以做药材,
45009,1,对口相声,duìkǒu xiàngsheng,,,,由两个演员表演的相声，是相声的主要形式。一人逗哏，一人捧哏,
45011,1,理所应当,lǐsuǒyīngdāng,,,,理所当然,
45012,1,晚育,wǎnyù,,,动,婚后推迟几年生育,
45013,1,公休,gōngxiū,,,动,在国家法定节假日休假,公休日
45014,1,呼哧,hūchī,,,拟声,模拟喘气的声音,累得呼哧呼哧直喘气。
45017,1,皮囊,pínáng,,,名,皮制的口袋；比喻人的躯体（多用于贬义）,徒有皮囊，毫无人性。
45020,1,车棚,chēpéng,,,名,存放车辆的棚子,
45021,1,戒除,jièchú,,,动,改掉（不良的嗜好或习气）,戒除陋习
45023,1,保藏,bǎocáng,,,动,保存收藏,这件文物他整整保藏了40年。
45024,1,花烛,huāzhú,,,名,旧俗结婚时洞房中点燃的饰有龙凤图案等的红烛,
45027,1,南辕北辙,nányuán-běizhé,,,,要去南方，车子却往北赶。比喻行动和愿望完全相反,
45028,1,高等动物,gāoděng dòngwù,,,,在动物学中一般指身体结构复杂、组织及器官分化显著并具有脊椎的动物。最狭义的高等动物专指哺乳动物,
45029,1,说来话长,shuōlái-huàcháng,,,,说起来要用很多话。常用来表示事情比较复杂，只用三言两语说不清楚,
45030,1,细枝末节,xìzhī-mòjié,,,,细小的枝节。比喻无关紧要的小事,
45031,1,正儿八经,zhèng'érbājīng,,,,正经八百,
45034,1,扳手,bānshou,,,名,用来拧紧或旋松螺钉、螺母等的工具,
45034,2,扳手,bānshou,,,名,器具上供用手扳动的部分,
45036,1,纵横捭阖,zònghéng-bǎihé,,,,战国时策士游说国君的政治主张和策略（纵横：合纵和连横；捭阖：开与合）。现指政治上、外交上运用手段，进行联合或分化,
45039,1,女眷,nǚjuàn,,,名,女性家属,车上坐的都是女眷。
45040,1,足金,zújīn,,,名,成色十足的金子,
45042,1,上唇,shàngchún,,,名,人或某些动物嘴边掩蔽上牙的肌肉组织,
45046,1,设伏,shèfú,,,动,设下埋伏,
45047,1,明争暗斗,míngzhēng-àndòu,,,,公开和暗中都在相互争斗,
45048,1,雪景,xuějǐng,,,名,下雪或雪后的景致,
