pinyin_id,hanzi,pinyin,definition_id,definition_sn,definition_cn,example_sn,example_cn
10091,午,wǔ,100911,1,地支的第七位。,1,中午
451,主,zhǔ,4515,5,基督教徒对上帝、伊斯兰教徒对真主的称呼。,2,主力。
451,主,zhǔ,4515,5,基督教徒对上帝、伊斯兰教徒对真主的称呼。,1,主要
2931,金,jīn,29314,4,"金属元素,符号Au(aurum)。黄色,质软,延展性强,化学性质稳定。是贵重金属,用来制造货币、装饰品等。",2,乌金墨玉(煤炭)。
4141,九,jiǔ,41411,1,"数目,八加一后所得。",3,九尽寒尽。
26191,绅,shēn,261911,1,士大夫束在腰间的大带子。,1,乡绅
20291,亭,tíng,202911,1,亭子。,2,书亭。
22791,契,qì,227911,1,用刀雕刻。,1,书契
33721,札,zhá,337211,1,写字用的小而薄的木片。,1,书札
2731,目,mù,27315,5,"生物学中把同一纲的生物按照彼此相似的特征分为几个群叫做目,如鸟纲中有雁形目、鸡形目、鹤形目等,松柏纲中有银杏目、松柏目等。目以下为科。",1,书目
24761,乾,qián,247611,1,八卦之一，代表天。,2,乾宅。
24761,乾,qián,247611,1,八卦之一，代表天。,1,乾造
13581,梁,liáng,135811,1,水平方向的长条形承重构件。木结构屋架中专指顺着前后方向架在柱子上的长木。,2,二梁
2861,眼,yǎn,28614,4,"围棋用语,成片的白子或黑子中间的空儿,在这个空儿中对手不能下成活棋。",1,"二黄慢板,一板三眼。"
4041,律,lǜ,40412,2,"中国古代审定乐音高低的标准,把乐音分为六律和六吕,合称十二律。",1,五律
1201,点,diǎn,12031,21,"铁制的响器,挂起来敲,用来报告时间或召集群众。",1,五更三点。
3211,步,bù,32114,4,"旧制长度单位,1步等于5尺。",2,亦步亦趋。
9141,玉,yù,91411,1,"矿物,硬玉和软玉的统称,质地细而有光泽,可用来制造装饰品或做雕刻的材料。",2,亭亭玉立。
10971,股,gǔ,109711,1,大腿。,2,人事股。
1671,手,shǒu,16711,1,人体上肢前端能拿东西的部分。,1,人手一册。
2081,海,hǎi,20811,1,"大洋靠近陆地的部分,有的大湖也叫海,如青海、里海。",1,人海
38991,噎,yē,389912,2,因为迎风而呼吸困难。,1,他一句话就把人家给噎回去了。
2831,将,jiāng,28315,5,下象棋时攻击对方的‘将’或‘帅’。,1,"他做事稳重,你将他没用。"
1201,点,diǎn,12022,12,,1,他点了点头。
5741,像,xiàng,57412,2,从物体发出的光线经平面镜、球面镜、透镜、棱镜等反射或折射后所形成的与原物相似的图景。分为实像和虚像。,1,他的面貌像他哥哥。
37391,梓,zǐ,373911,1,"梓树,落叶乔木,叶子对生,稍有掌状浅裂,圆锥花序,花黄白色。木材可以做器具。",1,付梓。
4551,养,yǎng,45519,9,(毛发)留长;蓄起不剪。,1,"以农养牧,以牧促农。"
44881,旌,jīng,448811,1,古代一种旗杆顶上用彩色羽毛做装饰的旗子。,2,以旌其功。
34081,殉,xùn,340811,1,殉葬。,2,以身殉职。
5552,底,dǐ,55526,6,底数的简称。,2,伊于胡底?(到什么地步为止?)
24661,熙,xī,246611,1,光明。,1,众人熙熙。
48871,渥,wò,488711,1,沾湿;沾润。,1,优渥。
1041,高,gāo,10413,3,三角形、平行四边形等从底部到顶部(顶点或平行线)的垂直距离。,2,体温高
50801,怄,òu,508011,1,怄气。,1,你别故意怄我。
21241,蛮,mán,212413,3,中国古代称南方的民族。,3,你装得倒蛮像!
26001,酿,niàng,260014,4,"烹调方法,将肉、鱼、虾等剁碎做成的馅填或塞入掏空的柿子椒、冬瓜等,然后用油煎或蒸。",1,佳酿。
31031,姬,jī,310311,1,对妇女的美称。,1,侍姬
33721,札,zhá,337211,1,写字用的小而薄的木片。,2,信札
54371,俳,pái,543711,1,指滑稽戏。,1,俳谐。
1302,相,xiàng,13031,11,"某些国家的官名,相当于中央政府的部长。",1,傧相。
28711,兑,duì,287111,1,用旧的金银首饰、器皿向银楼换取新的。,1,兑付
36731,锢,gù,367311,1,熔化金属堵塞(物体的空隙)。,1,党锢。
641,面,miàn,6416,6,"几何学上指一条线移动所构成的图形,有长有宽,没有厚。",4,全面
12521,宋,sòng,125211,1,"周朝国名,在今河南商丘一带。",3,"公元960—1279,赵匡胤所建。"
8621,兰,lán,86211,1,,1,兰桨。
8621,兰,lán,86212,2,,1,兰桨。
1361,关,guān,13618,8,‘关上’的简称。,2,关税。
35241,饷,xiǎng,352411,1,用酒食等款待。,2,关饷。
36942,槛,jiàn,369421,1,栏杆。,1,兽槛
11821,旅,lǚ,118213,3,"军队的编制单位,隶属于师,下辖若干团或营。",2,军旅之事。
9051,肉,ròu,90511,1,人或动物体内接近皮的部分的柔韧的物质。某些动物的肉可以吃。,3,冬瓜肉厚。
4141,九,jiǔ,41411,1,"数目,八加一后所得。",2,"冬练三九,夏练三伏"
20391,砖,zhuān,203911,1,"把黏土等做成的坯放在窑里烧制而成的建筑材料,多为长方形或方形。",3,冰砖。
27431,锥,zhuī,274311,1,锥子。,1,冰锥
9831,镇,zhèn,98315,5,"行政区划单位,一般由县一级领导。",1,冰镇汽水
9831,镇,zhèn,98316,6,较大的市集。,1,冰镇汽水
6112,号,hào,61134,14,号筒。,3,冲锋号。
6112,号,hào,61135,15,军队或乐队里所用的西式喇叭。,3,冲锋号。
4271,师,shī,42718,8,"军队的编制单位,隶属于军或集团军,下辖若干旅或团。",1,出师
26861,锈,xiù,268611,1,铜、铁等金属表面在潮湿空气中氧化形成的物质。,1,刀刃都锈了
21871,茎,jīng,218711,1,"植物体的一部分,由胚芽发展而成,下部和根连接,上部一般都生有叶、花和果实。茎能输送水、无机盐和养料到植物体的各部分去,并有贮存养料和支持枝、叶子、花、果实等生长的作用。常见的有直立茎、缠绕茎、攀援茎、匍匐茎等多种。",2,刀茎(刀把)
1432,头,tóu,14321,1,人身最上部或动物最前部长着口、鼻、眼等器官的部分。,5,分头。
5651,派,pài,56515,5,江河的支流。,1,分派
10711,肥,féi,107116,6,指由不正当的收入而富裕。,1,分肥
43311,蜇,zhē,433111,1,蜂、蝎子等用毒刺刺人或动物。,1,切洋葱蜇眼睛
2601,直,zhí,26017,7,汉字的笔画，即“竖”。,1,列车直达北京
2002,别,bié,20030,10,摔跤时用腿使绊把对方摔倒。,1,别车。
1201,点,diǎn,12033,23,"时间单位,一昼夜的二十四分之一。",2,到点了。
1432,头,tóu,14321,1,人身最上部或动物最前部长着口、鼻、眼等器官的部分。,1,剃头
21871,茎,jīng,218711,1,"植物体的一部分,由胚芽发展而成,下部和根连接,上部一般都生有叶、花和果实。茎能输送水、无机盐和养料到植物体的各部分去,并有贮存养料和支持枝、叶子、花、果实等生长的作用。常见的有直立茎、缠绕茎、攀援茎、匍匐茎等多种。",3,剑茎(剑柄)。
2731,目,mù,27315,5,"生物学中把同一纲的生物按照彼此相似的特征分为几个群叫做目,如鸟纲中有雁形目、鸡形目、鹤形目等,松柏纲中有银杏目、松柏目等。目以下为科。",3,剧目。
38231,赡,shàn,382311,1,赡养。,2,力不赡(力不足)。
1451,量,liàng,14511,1,"指测量东西多少的器物,如斗、升等。",4,力量。
3251,务,wù,32513,3,"〈旧时old〉收税的关卡,现在只用于地名,如曹家务(在河北),商酒务(在河南)。",1,务须
6181,铁,tiě,61811,1,"金属元素,符号Fe(ferrum)。银白色,质硬,延展性强,纯铁磁化和去磁都很快,含杂质的铁在湿空气中容易生锈,是炼钢的主要原料,用途很广。",2,动铁为凶。
11821,旅,lǚ,118213,3,"军队的编制单位,隶属于师,下辖若干团或营。",1,劲旅
28761,酋,qiú,287611,1,酋长。,1,匪酋
201,生,shēng,2029,19,"戏曲角色行当,扮演男子,有老生、小生、武生等区别。",1,医生。
8971,额,é,89711,1,"人的眉毛以上头发以下的部分,也指某些动物头部大致与此相当的部位。",1,匾额
13632,钻,zuàn,136321,1,"打眼儿用的工具,有手摇的、电动的、风动的多种。",2,十七钻的手表。
1051,十,shí,10511,1,"数目,九加一后所得。",2,十分
1051,十,shí,10511,1,"数目,九加一后所得。",3,十成。
1051,十,shí,10511,1,"数目,九加一后所得。",1,十足
10091,午,wǔ,100911,1,地支的第七位。,5,午睡。
10091,午,wǔ,100911,1,地支的第七位。,4,午饭
2911,白,bái,29124,14,指地方话。,2,半文半白。
17541,箭,jiàn,175411,1,"古代兵器,长约二三尺的细杆装上尖头,杆的末梢附有羽毛,搭在弓弩上发射。现代射箭运动用的箭一般用钢、铝合金、塑料等制成。",2,半箭多路。
9291,夏,xià,92912,2,"朝代,约公元前2070—公元前1600,禹(一说启)所建。",1,华夏。
31501,崽,zǎi,315011,1,儿子。,1,华崽
47331,龌,wò,473311,1,不干净;脏。,1,卑鄙龌。
8471,纸,zhǐ,84711,1,"写字、绘画、印刷、包装等所用的东西,多用植物纤维制造。",3,单据三纸。
22931,贼,zéi,229311,1,偷东西的人。,2,卖国贼。
12521,宋,sòng,125211,1,"周朝国名,在今河南商丘一带。",1,"南朝之一,公元420—479,刘裕所建。"
26491,卤,lǔ,264911,1,盐卤。,4,卤口条(卤煮猪舌)。
26491,卤,lǔ,264912,2,卤素。,4,卤口条(卤煮猪舌)。
26491,卤,lǔ,264911,1,盐卤。,1,卤味
26491,卤,lǔ,264912,2,卤素。,1,卤味
26491,卤,lǔ,264911,1,盐卤。,2,卤鸡
26491,卤,lǔ,264912,2,卤素。,2,卤鸡
26491,卤,lǔ,264911,1,盐卤。,3,卤鸭
26491,卤,lǔ,264912,2,卤素。,3,卤鸭
13522,尺,chǐ,135221,1,"长度单位。10寸等于1尺,10尺等于1丈。1市尺合1/3米。",2,卷尺。
30061,茸,róng,300611,1,草初生纤细柔软的样子。,1,参茸(人参和鹿茸)。
1871,第,dì,18711,1,"用在整数的数词的前边,表示次序,如第一、第十。",1,及第
641,面,miàn,6416,6,"几何学上指一条线移动所构成的图形,有长有宽,没有厚。",2,反面
21591,霉,méi,215911,1,霉菌。,2,发霉
33151,贿,huì,331511,1,财物。,2,受贿
2371,口,kǒu,23711,1,"人或动物进饮食的器官,有的也是发声器官的一部分。",1,口轻
2371,口,kǒu,23711,1,"人或动物进饮食的器官,有的也是发声器官的一部分。",2,口重。
13142,脉,mài,131421,1,动脉和静脉的统称。,1,叶脉。
13142,脉,mài,131422,2,脉搏的简称。,1,叶脉。
25551,斋,zhāi,255511,1,斋戒。,1,吃斋。
523,种,zhǒng,5234,4,指胆量或骨气(跟‘有、没有’连用,3,各种情况
29951,庚,gēng,299511,1,天干的第七位。,2,同庚。
1512,系,xì,15123,3,"年代地层单位的第三级,小于界,跟系相应的地质年代叫做纪。",2,名誉所系
16002,吓,hè,160021,1,恐吓;恫吓。,1,"吓,怎么能这样呢!"
11941,鬼,guǐ,119411,1,迷信的人所说的人死后的灵魂。,3,吝啬鬼。
2071,回,huí,20715,5,回禀。,2,听过两回
2071,回,huí,20716,6,谢绝(邀请);退掉(预定的酒席等);辞去(伙计、佣工)。,2,听过两回
1971,品,pǐn,19713,3,"封建时代官吏的级别,共分九品。",1,品种
1971,品,pǐn,19713,3,"封建时代官吏的级别,共分九品。",2,品类。
11931,茶,chá,119311,1,"常绿灌木,叶子长椭圆形,花白色,种子有硬壳。嫩叶加工后就是茶叶。是中国南方最重要的经济作物之一。",2,品茶。
22841,哄,hōng,228411,1,〈拟声词onom.〉形容许多人大笑声或喧哗声。,2,哄传。
22841,哄,hōng,228411,1,〈拟声词onom.〉形容许多人大笑声或喧哗声。,1,哄动
6641,喜,xǐ,66413,3,称怀孕为‘有喜’。,2,喜新厌旧。
11931,茶,chá,119311,1,"常绿灌木,叶子长椭圆形,花白色,种子有硬壳。嫩叶加工后就是茶叶。是中国南方最重要的经济作物之一。",1,喝茶
15301,雾,wù,153011,1,"气温下降时,在接近地面的空气中,水蒸气凝结成的悬浮的微小水滴。",1,喷雾器。
20241,嘻,xī,202411,1,〈叹词interj.〉表示惊叹。,1,嘻嘻地笑。
12831,宇,yǔ,128313,3,"年代地层单位的最高一级,跟宇相应的地质年代叫做宙。",3,器宇。
47911,噫,yī,479111,1,表示悲痛或叹息。,1,"噫,他今天怎么来了?"
8141,爷,yé,81412,2,〈方dial.〉祖父。,3,四爷。
39381,匕,bǐ,393811,1,"古人取食的器具,后代的羹匙由它演变而来。",1,图穷匕见。
44271,锉,cuò,442711,1,"手工工具,条形,多刃,主要用来对金属、木料、皮革等表层做微量加工。按横截面的不同分为扁锉、圆锉、方锉、三角锉等。",1,圆孔用圆锉锉一锉。
27431,锥,zhuī,274311,1,锥子。,2,圆锥体。
26191,绅,shēn,261911,1,士大夫束在腰间的大带子。,2,土豪劣绅。
2263,数,shù,22632,2,"数学上表示事物的量的基本概念,如自然数、整数、分数、有理数、无理数、实数、复数等。",1,在数难逃(迷信
2263,数,shù,22633,3,"一种语法范畴,表示名词或代词所指事物的数量,例如英语名词有单、复两种数。",1,在数难逃(迷信
40121,圭,guī,401211,1,"帝王诸侯举行礼仪时所用的玉器,上尖下方。",1,圭臬。
39281,痞,pǐ,392811,1,痞块。,2,地痞流氓。
26771,坤,kūn,267711,1,八卦之一，代表地。,2,坤宅
26771,坤,kūn,267711,1,八卦之一，代表地。,3,坤表
26771,坤,kūn,267711,1,八卦之一，代表地。,4,坤车
26771,坤,kūn,267711,1,八卦之一，代表地。,1,坤造
26771,坤,kūn,267711,1,八卦之一，代表地。,5,坤鞋。
