pinyin_id,hanzi,pinyin,definition_id,definition_sn,definition_cn,example_sn,example_cn
17691,锁,suǒ,176911,1,"安在门、箱子、抽屉等的开合处或铁链的环孔中,使人不能随便打开的金属器具,一般要用钥匙才能开。",5,愁眉锁眼。
41441,懑,mèn,414411,1,烦闷。,1,愤懑。
1512,系,xì,15123,3,"年代地层单位的第三级,小于界,跟系相应的地质年代叫做纪。",4,成败系于此举。
1261,道,dào,12626,16,"说(跟文言‘曰’相当,多见于早期白话",1,"我道是谁呢,原来是你。"
19401,戒,jiè,194012,2,,1,戒烟。
171,地,dì,1718,8,,2,所在地。
6181,铁,tiě,61811,1,"金属元素,符号Fe(ferrum)。银白色,质硬,延展性强,纯铁磁化和去磁都很快,含杂质的铁在湿空气中容易生锈,是炼钢的主要原料,用途很广。",1,手无寸铁
33721,札,zhá,337211,1,写字用的小而薄的木片。,3,手札。
31501,崽,zǎi,315011,1,儿子。,2,打工崽。
18691,翼,yì,186914,4,二十八宿之一。,2,扶翼。
5861,批,pī,58612,2,刮;削。,3,批公事。
5861,批,pī,58612,2,刮;削。,2,批改
5861,批,pī,58612,2,刮;削。,1,批示
10711,肥,féi,107116,6,指由不正当的收入而富裕。,2,抄肥(捞外快)。
20831,漆,qī,208311,1,"用漆树皮里的黏汁或其他树脂制成的涂料。涂在器物上,可以防止腐坏,增加光泽。",1,把大门漆成红色的。
21751,炕,kàng,217511,1,"北方人用土坯或砖砌成的睡觉用的长方台,上面铺席,下面有孔道,跟烟囱相通,可以烧火取暖。",2,把湿褥子在热炕头上炕一炕。
17691,锁,suǒ,176911,1,"安在门、箱子、抽屉等的开合处或铁链的环孔中,使人不能随便打开的金属器具,一般要用钥匙才能开。",3,把猴子锁起来
39521,镊,niè,395211,1,镊子。,1,把瓶子里的酒精棉球镊出来。
17691,锁,suǒ,176911,1,"安在门、箱子、抽屉等的开合处或铁链的环孔中,使人不能随便打开的金属器具,一般要用钥匙才能开。",2,把箱子锁上
9831,镇,zhèn,98315,5,"行政区划单位,一般由县一级领导。",2,把西瓜放在冷水里镇一镇。
9831,镇,zhèn,98316,6,较大的市集。,2,把西瓜放在冷水里镇一镇。
22731,框,kuàng,227313,3,框框。,1,把这几个字框起来。
24621,挫,cuò,246211,1,挫折。,1,抑扬顿挫
29921,棘,jí,299211,1,酸枣树。,1,披荆斩棘。
13131,抵,dǐ,131312,2,抵挡;抵抗。,1,抵命。
37451,忏,chàn,374511,1,忏悔。,1,拜忏。
9031,钟,zhōng,90311,1,"响器,中空,用铜或铁制成。",1,挂钟
24621,挫,cuò,246211,1,挫折。,2,"挫敌人的锐气,长自己的威风。"
19421,羽,yǔ,194211,1,,1,振羽。
53521,翮,hé,535211,1,"鸟羽的茎状部分,中空透明。",1,振翮高飞。
11772,尾,wěi,117721,1,,1,排尾
11772,尾,wěi,117722,2,二十八宿之一。,1,排尾
4041,律,lǜ,40412,2,"中国古代审定乐音高低的标准,把乐音分为六律和六吕,合称十二律。",3,排律。
6751,脑,nǎo,67511,1,"人体中管全身知觉、运动和思维、记忆等活动的器官,是神经系统的主要部分,由前脑、中脑和后脑构成。高等动物的脑只有管全身感觉、运动的作用。",2,探头探脑。
12191,醒,xǐng,121913,3,"指和(huó)好面团后,放一会儿,使面团软硬均匀。",2,提醒。
31422,磅,bàng,314221,1,"英美制重量单位。1磅等于16盎司,合453.59克。",2,搁在磅上称一称。
9001,席,xí,90013,3,"特指议会中的席位,表示当选的人数。",1,摆了两桌席。
9801,摆,bǎi,98014,4,"悬挂在细线上的能做往复运动的重锤的装置。摆的长度不变且振幅不太大时,运动的周期恒等。",1,"摆事实,讲道理"
9801,摆,bǎi,98015,5,钟表或精密仪器上用来控制摆动频率的机械装置。,1,"摆事实,讲道理"
31972,撮,cuō,319721,1,聚合;聚拢。,1,撮了一簸箕土。
51011,撺,cuān,510111,1,抛掷。,1,撺入水中。
6871,错,cuò,68720,10,打磨玉石的石头。,1,攻错。
17501,晋,jìn,175013,3,"周朝国名,在今山西、河北南部及陕西中部、河南西北部。",2,放在开水里晋一晋。
17501,晋,jìn,175014,4,"朝代,公元265—420,司马炎所建。",2,放在开水里晋一晋。
17501,晋,jìn,175015,5,后晋。,2,放在开水里晋一晋。
17501,晋,jìn,175016,6,山西的别称。,2,放在开水里晋一晋。
17501,晋,jìn,175017,7,姓。,2,放在开水里晋一晋。
28081,虏,lǔ,280811,1,俘虏（动词）,1,敌虏
28081,虏,lǔ,280812,2,俘虏（名词）,1,敌虏
28081,虏,lǔ,280813,3,指奴隶。,1,敌虏
28761,酋,qiú,287611,1,酋长。,3,敌酋。
4141,九,jiǔ,41411,1,"数目,八加一后所得。",1,数九
19711,坛,tán,197113,3,某些会道门设立的拜神集会的组织。,1,文坛
43781,牍,dú,437811,1,古代写字用的木简。,1,文牍
2911,白,bái,29124,14,指地方话。,1,文白杂糅
4611,斗,dǒu,46114,4,圆形的指纹。,1,斗柄。
4611,斗,dǒu,46115,5,古代盛酒的器具。,1,斗柄。
4611,斗,dǒu,46116,6,二十八宿之一。通称南斗。,1,斗柄。
4781,标,biāo,47818,8,"清末陆军编制之一,相当于后来的团。",1,斜刺里杀出一标人马。
50611,镬,huò,506111,1,〈方dial.〉锅。,1,斧锯鼎镬(指古代残酷的刑具)。
3991,族,zú,39912,2,"古代的一种残酷刑法,杀死犯罪者的整个家族,甚至他母亲、妻子等的家族。",2,斯拉夫族。
2651,则,zé,26513,3,效法。,2,新闻两则
12981,辑,jí,129811,1,编辑;辑录。,1,新闻简报第一辑
44881,旌,jīng,448811,1,古代一种旗杆顶上用彩色羽毛做装饰的旗子。,1,旌表
13581,梁,liáng,135811,1,水平方向的长条形承重构件。木结构屋架中专指顺着前后方向架在柱子上的长木。,3,无梁殿。
50461,玮,wěi,504611,1,玉名。,1,明珠玮宝
2321,光,guāng,23211,1,"通常指照在物体上,使人能看见物体的那种物质,如太阳光、灯光、月光等。可见光是波长0.77—0.39微米的电磁波。此外还包括看不见的红外光和紫外光。因为光是电磁波的一种,所以也叫光波;在一般情况下光沿直线传播,所以也叫光线。",2,春光明媚。
13621,丈,zhàng,136211,1,"长度单位,10尺等于1丈,10丈等于1引。",2,春耕前要把地丈完。
17501,晋,jìn,175013,3,"周朝国名,在今山西、河北南部及陕西中部、河南西北部。",1,晋种
17501,晋,jìn,175014,4,"朝代,公元265—420,司马炎所建。",1,晋种
17501,晋,jìn,175015,5,后晋。,1,晋种
17501,晋,jìn,175016,6,山西的别称。,1,晋种
17501,晋,jìn,175017,7,姓。,1,晋种
3041,风,fēng,30411,1,"跟地面大致平行的空气流动,是由于气压分布不均匀而产生的。",2,晒干风净。
22861,晕,yūn,228611,1,,1,晕倒
22861,晕,yūn,228611,1,,2,晕厥。
6711,晚,wǎn,67115,5,后辈对前辈自称(用于书信,3,晚景。
6711,晚,wǎn,67115,5,后辈对前辈自称(用于书信,2,晚节
27291,莹,yíng,272911,1,光洁像玉的石头。,1,晶莹。
38471,暨,jì,384711,1,和;及;与。,1,暨今。
26291,朦,méng,262911,1,月光不明。,1,暮色朦
52111,甑,zèng,521111,1,"古代炊具,底部有许多小孔,放在鬲(lì)上蒸食物。",1,曲颈甑。
52111,甑,zèng,521112,2,甑子。,1,曲颈甑。
2611,月,yuè,26112,2,"计时的单位,公历1年分为12个月。",2,月产量。
2611,月,yuè,26112,2,"计时的单位,公历1年分为12个月。",1,月刊
35241,饷,xiǎng,352411,1,用酒食等款待。,1,月饷
9231,烧,shāo,92317,7,过多的肥料使植物体枯萎或死亡。,1,有两个钱就烧得不知怎么好了!
11772,尾,wěi,117721,1,,2,有头无尾。
11772,尾,wěi,117722,2,二十八宿之一。,2,有头无尾。
35181,朔,shuò,351811,1,"农历每月初一,月球运行到太阳和地球之间,跟太阳同时出没,地球上看不到月光,这种月相叫朔,这时的月亮叫新月。",1,朔望。
4101,权,quán,41011,1,秤锤。,1,权其轻重。
8141,爷,yé,81412,2,〈方dial.〉祖父。,2,李爷
7061,策,cè,70613,3,"中国数学上曾经用过的一种计算工具,形状跟‘筹’相似。清代初期把乘法的九九口诀写在上面以计算乘除和开平方。",3,束手无策。
2071,回,huí,20715,5,回禀。,1,来了一回
2071,回,huí,20716,6,谢绝(邀请);退掉(预定的酒席等);辞去(伙计、佣工)。,1,来了一回
1242,度,dù,12422,2,"表明物质的有关性质所达到的程度,如硬度、热度、浓度、湿度等。",1,极度
1242,度,dù,12423,3,计量单位名称。,1,极度
27201,藉,jiè,272011,1,垫在下面的东西。,1,枕藉。
9012,露,lù,90121,1,凝结在地面或靠近地面的物体表面上的水珠。是接近地面的空气温度逐渐下降（仍高于0℃）时，使所含水汽达到饱和后形成的。,2,果子露
9051,肉,ròu,90511,1,人或动物体内接近皮的部分的柔韧的物质。某些动物的肉可以吃。,1,枣肉
51211,枭,xiāo,512111,1,,1,枭将
51211,枭,xiāo,512111,1,,2,枭骑。
5251,某,mǒu,52513,3,"用来代替自己或自己的名字,如‘某,张飞是也。’又如姓张的自称‘张某’或‘张某人’。",3,某某人
5251,某,mǒu,52513,3,"用来代替自己或自己的名字,如‘某,张飞是也。’又如姓张的自称‘张某’或‘张某人’。",4,某某学校。
25921,絮,xù,259212,2,指粗的丝绵。,1,柳絮
21451,霜,shuāng,214511,1,在气温降到0℃以下时，接近地面空气中所含的水汽在地面物体上凝结成的白色冰晶。,1,柿霜
40741,栉,zhì,407411,1,梳子、篦子等梳头发的用具。,1,栉发
40741,栉,zhì,407411,1,梳子、篦子等梳头发的用具。,2,栉风沐雨。
10891,阴,yīn,108913,3,"中国气象上,天空80%以上被云遮住时叫做阴。泛指空中云层密布,不见阳光或偶见阳光的天气。",1,树阴
9051,肉,ròu,90511,1,人或动物体内接近皮的部分的柔韧的物质。某些动物的肉可以吃。,2,桂圆肉
11161,甲,jiǎ,111611,1,天干的第一位。,2,桂林山水甲天下。
43781,牍,dú,437811,1,古代写字用的木简。,2,案牍
26701,甸,diàn,267011,1,指郊外的地方。,1,桦甸(在吉林)
31261,梆,bāng,312611,1,打更等用的梆子。,2,梆树上的红枣ㄦ吃。
11951,梦,mèng,119511,1,睡眠时局部大脑皮层还没有完全停止活动而引起的脑中的表象活动。,1,梦见。
1432,头,tóu,14321,1,人身最上部或动物最前部长着口、鼻、眼等器官的部分。,3,梳头
12541,棉,mián,125411,1,"草棉和木棉的统称,通常多指草棉。",2,棉布。
12541,棉,mián,125411,1,"草棉和木棉的统称,通常多指草棉。",1,棉纺
42421,饽,bō,424211,1,糕点。,1,棒子面ㄦ饽
26361,棕,zōng,263611,1,棕榈。,3,棕刷子。
26361,棕,zōng,263611,1,棕榈。,2,棕毯
26361,棕,zōng,263611,1,棕榈。,1,棕绳
42891,萱,xuān,428911,1,萱草。,1,椿萱(父母)。
201101,楮,chǔ,2011011,1,"楮树,落叶乔木,叶子卵形,叶子和茎上有硬毛,花淡绿色,雌雄异株。树皮是制造桑皮纸和宣纸的原料。",1,楮墨。
36942,槛,jiàn,369421,1,栏杆。,2,槛车(古代运送囚犯的车)。
8971,额,é,89711,1,"人的眉毛以上头发以下的部分,也指某些动物头部大致与此相当的部位。",2,横额。
6251,皮,pí,62519,9,由于受申斥或责罚次数过多而感觉无所谓。,1,橡皮
13581,梁,liáng,135811,1,水平方向的长条形承重构件。木结构屋架中专指顺着前后方向架在柱子上的长木。,1,正梁
641,面,miàn,6416,6,"几何学上指一条线移动所构成的图形,有长有宽,没有厚。",1,正面
3211,步,bù,32114,4,"旧制长度单位,1步等于5尺。",1,步入会场
48811,弁,biàn,488111,1,男子戴的帽子。,1,武弁
34081,殉,xùn,340811,1,殉葬。,1,殉难
22791,契,qì,227911,1,用刀雕刻。,2,殷契。
36851,蛀,zhù,368511,1,蛀虫。,2,毛料裤子让虫蛀了。
36642,矜,jīn,366421,1,怜悯;怜惜。,2,毫无骄矜之气。
1242,度,dù,12427,7,"哲学上指一定事物保持自己质的数量界限。在这个界限内,量的增减不改变事物的质,超过这个界限,就要引起质变。",2,气度。
1451,量,liàng,14511,1,"指测量东西多少的器物,如斗、升等。",2,气量
14591,糖,táng,145911,1,"有机化合物的一类,可分为单糖、双糖和多糖三种,是人体内产生热能的主要物质,如葡萄糖、蔗糖、乳糖、淀粉等。",2,水果糖。
14591,糖,táng,145912,2,"食糖的统称,包括白糖、红糖、冰糖等。",2,水果糖。
14961,鉴,jiàn,149611,1,镜子(古代用铜制成)。,1,水清可鉴。
1461,表,biǎo,14618,8,测日影的标杆。,3,水表
22561,吟,yín,225612,2,呻吟;叹息。,2,水龙吟。
28711,兑,duì,287111,1,用旧的金银首饰、器皿向银楼换取新的。,2,汇兑。
6771,汉,hàn,67711,1,"朝代,公元前206—公元220,刘邦所建。",1,汉人
6771,汉,hàn,67712,2,,1,汉人
6771,汉,hàn,67713,3,元末农民起义领袖陈友谅所建的政权(公元1360—1363)。,1,汉人
3991,族,zú,39912,2,"古代的一种残酷刑法,杀死犯罪者的整个家族,甚至他母亲、妻子等的家族。",1,汉族
1121,水,shuǐ,11211,1,最简单的氢氧化合物，化学式H2O。无色、无味、无臭的液体，在标准大气压下，冰点0℃，沸点100℃，4℃时密度最大，比重为1。,1,汉水
6771,汉,hàn,67711,1,"朝代,公元前206—公元220,刘邦所建。",2,汉语。
6771,汉,hàn,67712,2,,2,汉语。
6771,汉,hàn,67713,3,元末农民起义领袖陈友谅所建的政权(公元1360—1363)。,2,汉语。
9611,汽,qì,96111,1,"液体或某些固体受热而变成的气体,例如水变成的水蒸气。",1,汽机
25941,笛,dí,259411,1,"管乐器,用竹子制成,上面有一排供吹气、蒙笛膜和调节发音的孔,横着吹奏。",1,汽笛
9611,汽,qì,96111,1,"液体或某些固体受热而变成的气体,例如水变成的水蒸气。",2,汽船。
13991,陷,xiàn,139911,1,陷阱。,2,汽车陷在泥里了。
6791,油,yóu,67911,1,动植物体内所含的液态脂肪或矿产的碳氢化合物的混合液体。通常把固态的动物脂肪也叫油。,1,油窗户
4781,标,biāo,47811,1,树木的末梢。,1,治标不如治本。
15581,泉,quán,155812,2,泉眼。,1,泉币。
33431,泵,bèng,334311,1,"吸入和排出流体的机械,能把流体抽出或压入容器,也能把液体提送到高处。平常按用途不同分为气泵、水泵、油泵。",1,泵入
33431,泵,bèng,334311,1,"吸入和排出流体的机械,能把流体抽出或压入容器,也能把液体提送到高处。平常按用途不同分为气泵、水泵、油泵。",2,泵出
33431,泵,bèng,334311,1,"吸入和排出流体的机械,能把流体抽出或压入容器,也能把液体提送到高处。平常按用途不同分为气泵、水泵、油泵。",3,泵油。
6601,洋,yáng,66012,2,"地球表面上被水覆盖的广大地方,约占地球面积的十分之七,分成四个部分,即太平洋、大西洋、印度洋、北冰洋。",1,洋人
35511,芋,yù,355111,1,"多年生草本植物,块茎椭圆形或卵形,叶子略呈卵形,有长柄,花穗轴在苞内,雄花黄色,雌花绿色。块茎含淀粉很多,供食用。",1,洋芋
35511,芋,yù,355112,2,这种植物的块茎。,1,洋芋
6601,洋,yáng,66012,2,"地球表面上被水覆盖的广大地方,约占地球面积的十分之七,分成四个部分,即太平洋、大西洋、印度洋、北冰洋。",2,洋货。
10991,洞,dòng,109913,3,说数字时用来代表‘0’。,2,洞察一切
10991,洞,dòng,109913,3,说数字时用来代表‘0’。,1,洞晓
10991,洞,dòng,109913,3,说数字时用来代表‘0’。,3,洞若观火。
5651,派,pài,56515,5,江河的支流。,3,派人送去
5651,派,pài,56515,5,江河的支流。,4,派用场。
1361,关,guān,13618,8,‘关上’的简称。,1,海关
43492,崴,wǎi,434921,1,山路不平。,1,海参崴。
1121,水,shuǐ,11211,1,最简单的氢氧化合物，化学式H2O。无色、无味、无臭的液体，在标准大气压下，冰点0℃，沸点100℃，4℃时密度最大，比重为1。,2,淮水。
28801,闺,guī,288011,1,上圆下方的小门。,1,深闺
13621,丈,zhàng,136211,1,"长度单位,10尺等于1丈,10丈等于1引。",1,清丈
51091,薮,sǒu,510911,1,生长着很多草的湖。,1,渊薮。
1461,表,biǎo,14618,8,测日影的标杆。,1,温度表
12851,港,gǎng,128513,3,"江河的支流(多用于河流名),如江山港、常山港(都在浙江)。",1,港币
12851,港,gǎng,128513,3,"江河的支流(多用于河流名),如江山港、常山港(都在浙江)。",2,港澳同胞。
6951,游,yóu,69513,3,交游;来往。,3,游击
6951,游,yóu,69513,3,交游;来往。,2,游民
6951,游,yóu,69513,3,交游;来往。,1,游牧
2601,直,zhí,26017,7,汉字的笔画，即“竖”。,2,游艺会直到中午才结束。
6951,游,yóu,69513,3,交游;来往。,4,游资。
16261,莲,lián,162611,1,"多年生草本植物,生在浅水中,地下茎肥大而长,有节,叶子圆形,高出水面,花大,淡红色或白色,有香味。地下茎叫藕,种子叫莲子,都可以吃。",2,湘莲(湖南产的莲子)。
5151,属,shǔ,51512,2,"生物学中把同一科的生物群按照彼此相似的程度再分为不同的群,叫做属,如猫科有猫属、虎属等,禾本科有稻属、小麦属、燕麦属等。属以下为种。",3,湟中县属青海省。
26561,崭,zhǎn,265611,1,高峻;高出。,1,滋味真崭。
8771,圆,yuán,87712,2,圆周的简称。,1,滚圆
28181,涩,sè,281811,1,像明矾或不熟的柿子那样使舌头感到麻木干燥的味道。,1,滞涩
23501,滥,làn,235011,1,泛滥。,2,滥用职权。
8771,圆,yuán,87712,2,圆周的简称。,2,滴溜圆。
4611,斗,dǒu,46111,1,"容量单位。10升等于1斗,10斗等于1石。",1,漏斗
22041,碧,bì,220411,1,青绿色的玉石。,2,澄碧。
1741,儿,ér,17415,5,"名词后缀,主要有下面几种作用。",2,火儿。
17811,剪,jiǎn,178111,1,剪刀。,2,火剪。
2081,海,hǎi,20811,1,"大洋靠近陆地的部分,有的大湖也叫海,如青海、里海。",2,火海。
16661,舌,shé,166611,1,舌头。,2,火舌。
7661,药,yào,76611,1,药物。,1,火药
22862,晕,yùn,228622,2,日光或月光通过云层中的冰晶时经折射而形成的光圈。,3,灯光黄而有晕。
7661,药,yào,76611,1,药物。,2,炸药
23141,蜡,là,231411,1,"动物、矿物或植物所产生的油质,具有可塑性,能燃烧,易熔化,不溶于水,如蜂蜡、白蜡、石蜡等。用做防水剂,也可做蜡烛。",1,点上一支蜡。
25021,窜,cuàn,250212,2,放逐;驱逐。,2,点窜。
30001,炽,chì,300011,1,(火)旺。,2,炽烈。
30001,炽,chì,300011,1,(火)旺。,1,炽热
4611,斗,dǒu,46111,1,"容量单位。10升等于1斗,10斗等于1石。",3,烟斗。
8442,烟,yān,84421,1,物质燃烧时产生的混有未完全燃烧的微小颗粒的气体。,1,烟雾
26291,朦,méng,262911,1,月光不明。,2,烟雾朦。
8442,烟,yān,84421,1,物质燃烧时产生的混有未完全燃烧的微小颗粒的气体。,2,烟霞。
11941,鬼,guǐ,119411,1,迷信的人所说的人死后的灵魂。,1,烟鬼
3551,热,rè,35511,1,物体内部分子不规则运动放出的一种能。物质燃烧都能产生热。,1,热水
7661,药,yào,76611,1,药物。,3,焊药。
13701,斤,jīn,137011,1,"重量单位。旧制1斤等于16两,市制1斤后改10两,合500克。",1,煤斤
1461,表,biǎo,14618,8,测日影的标杆。,4,煤气表。
20391,砖,zhuān,203911,1,"把黏土等做成的坯放在窑里烧制而成的建筑材料,多为长方形或方形。",2,煤砖
32981,煽,shān,329811,1,,1,煽动
32981,煽,shān,329811,1,,2,煽惑。
641,面,miàn,6416,6,"几何学上指一条线移动所构成的图形,有长有宽,没有厚。",3,片面
10521,奶,nǎi,105211,1,乳房。,1,牛奶
7711,牛,niú,77111,1,"哺乳动物,身体大,趾端有蹄,头上长有一对角,尾巴尖端有长毛。是反刍类动物,力气大,供役使、乳用或乳肉两用,皮、毛、骨等都有用处。中国常见的有黄牛、水牛、牦牛等几种。",1,牛气
7711,牛,niú,77111,1,"哺乳动物,身体大,趾端有蹄,头上长有一对角,尾巴尖端有长毛。是反刍类动物,力气大,供役使、乳用或乳肉两用,皮、毛、骨等都有用处。中国常见的有黄牛、水牛、牦牛等几种。",2,牛脾气。
32891,阜,fù,328911,1,土山。,1,物阜民丰。
52201,狙,jū,522011,1,古书里指一种猴子。,1,狙击。
12191,醒,xǐng,121913,3,"指和(huó)好面团后,放一会儿,使面团软硬均匀。",1,猛醒
16101,猫,māo,161011,1,"哺乳动物,面部略圆,躯干长,耳壳短小,眼大,瞳孔随光线强弱而缩小放大,四肢较短,掌部有肉质的垫,行动敏捷,善跳跃,能捕鼠,毛柔软,有黑、白、黄、灰褐等色。",1,猫在家里不敢出来。
7061,策,cè,70613,3,"中国数学上曾经用过的一种计算工具,形状跟‘筹’相似。清代初期把乘法的九九口诀写在上面以计算乘除和开平方。",2,献策
9141,玉,yù,91411,1,"矿物,硬玉和软玉的统称,质地细而有光泽,可用来制造装饰品或做雕刻的材料。",1,玉颜
1741,儿,ér,17415,5,"名词后缀,主要有下面几种作用。",1,玩儿
9012,露,lù,90121,1,凝结在地面或靠近地面的物体表面上的水珠。是接近地面的空气温度逐渐下降（仍高于0℃）时，使所含水汽达到饱和后形成的。,3,玫瑰露。
50461,玮,wěi,504611,1,玉名。,2,玮奇(奇特)。
4271,师,shī,42718,8,"军队的编制单位,隶属于军或集团军,下辖若干旅或团。",2,班师。
19711,坛,tán,197113,3,某些会道门设立的拜神集会的组织。,4,球坛。
36551,琦,qí,365511,1,美玉。,1,琦行(美好的品德)。
13671,键,jiàn,136711,1,"使轴与齿轮、皮带轮等连接并固定在一起的零件,一般是用钢制的长方块,装在被连接的两个机件上预先制成的键槽中。",1,琴键
13671,键,jiàn,136712,2,插门的金属棍子。,1,琴键
39271,瑜,yú,392711,1,美玉。,1,瑕不掩瑜
39271,瑜,yú,392711,1,美玉。,2,瑕瑜互见。
27251,瑰,guī,272511,1,一种像玉的石头。,1,瑰丽
27251,瑰,guī,272511,1,一种像玉的石头。,2,瑰异。
13422,瓦,wǎ,134221,1,"铺屋顶用的建筑材料,一般用泥土烧成,也有用水泥等材料制成的,形状有拱形的、平的或半个圆筒形的等。",2,瓦器。
20911,垄,lǒng,209112,2,田地分界的稍稍高起的小路;田埂。,1,瓦垄。
13422,瓦,wǎ,134221,1,"铺屋顶用的建筑材料,一般用泥土烧成,也有用水泥等材料制成的,形状有拱形的、平的或半个圆筒形的等。",1,瓦盆
53272,戗,qiàng,532721,1,斜对着墙角的屋架。,1,用两根木头来戗住这堵墙。
53272,戗,qiàng,532722,2,支撑柱子或墙壁使免于倾倒的木头。,1,用两根木头来戗住这堵墙。
18691,翼,yì,186911,1,"鸟类的飞行器官,由前肢演化而成,上面生有羽毛。有的鸟翼退化,不能飞翔。",2,由左翼进攻。
18691,翼,yì,186912,2,"飞机或滑翔机等飞行工具两侧伸出像鸟翼的部分,有支撑机身、产生升力等作用。",2,由左翼进攻。
11161,甲,jiǎ,111611,1,天干的第一位。,1,甲等
18201,梯,tī,182011,1,"便利人上下的用具或设备,常见的是梯子、楼梯。",1,电梯。
1461,表,biǎo,14618,8,测日影的标杆。,2,电表
1881,电,diàn,18811,1,"有电荷存在和电荷变化的现象。电是一种很重要的能源,广泛用在生产和生活各方面,如发光、发热、产生动力等。",1,"电门可能有毛病了,我一开灯,电了我一下。"
23861,坝,bà,238612,2,"河工险要处巩固堤防的建筑物,如丁坝。",2,留坝(在陕西)。
23861,坝,bà,238613,3,〈方dial.〉沙滩;沙洲。,2,留坝(在陕西)。
1432,头,tóu,14321,1,人身最上部或动物最前部长着口、鼻、眼等器官的部分。,2,留头
49641,畚,běn,496411,1,,1,畚土
49641,畚,běn,496411,1,,2,畚炉灰。
12991,卡,kǎ,129911,1,卡路里的简称。,3,病历卡。
47701,砭,biān,477011,1,砭石。,3,痛砭时弊。
39281,痞,pǐ,392811,1,痞块。,1,痞子
37421,瘠,jí,374211,1,(身体)瘦弱。,1,瘠土
37421,瘠,jí,374211,1,(身体)瘦弱。,2,瘠田。
23571,瞎,xiā,235714,4,〈方dial.〉农作物种子没有发芽出土或农作物子粒不饱满。,1,白瞎了一个名额
48711,砒,pī,487111,1,砷的旧称。,2,白砒。
21751,炕,kàng,217511,1,"北方人用土坯或砖砌成的睡觉用的长方台,上面铺席,下面有孔道,跟烟囱相通,可以烧火取暖。",1,白薯还在炉子边上炕着呢
3451,百,bǎi,34511,1,"数目,十个十。",4,百家争鸣
3451,百,bǎi,34511,1,"数目,十个十。",3,百科全书
3451,百,bǎi,34511,1,"数目,十个十。",5,百花齐放
3451,百,bǎi,34511,1,"数目,十个十。",1,百草
3451,百,bǎi,34511,1,"数目,十个十。",2,百货
3451,百,bǎi,34511,1,"数目,十个十。",7,百闻不如一见。
10281,皇,huáng,102811,1,盛大。,1,皇宫
13522,尺,chǐ,135221,1,"长度单位。10寸等于1尺,10尺等于1丈。1市尺合1/3米。",1,皮尺
6251,皮,pí,62519,9,由于受申斥或责罚次数过多而感觉无所谓。,2,皮筋。
13701,斤,jīn,137011,1,"重量单位。旧制1斤等于16两,市制1斤后改10两,合500克。",2,盐斤。
15851,纲,gāng,158513,3,"生物学中把同一门的生物按照彼此相似的特征和亲缘关系再分为若干群,每一群叫一纲,如苔藓植物门分为苔纲和藓纲,脊椎动物亚门分为鱼、鸟、哺乳等纲。纲以下为目。",1,盐纲
21451,霜,shuāng,214511,1,在气温降到0℃以下时，接近地面空气中所含的水汽在地面物体上凝结成的白色冰晶。,2,盐霜。
31781,盔,kuī,317811,1,盔子。,1,盔甲
171,地,dì,1718,8,,1,目的地
5151,属,shǔ,51512,2,"生物学中把同一科的生物群按照彼此相似的程度再分为不同的群,叫做属,如猫科有猫属、虎属等,禾本科有稻属、小麦属、燕麦属等。属以下为种。",1,直属
20721,辖,xiá,207211,1,"大车轴头上穿着的小铁棍,可以管住轮子使不脱落。",1,直辖
1302,相,xiàng,13024,4,相位。,1,相马。
1302,相,xiàng,13025,5,"交流电路中的一个组成部分,如三相交流发电机有三个绕组,每个绕组叫做一相。",1,相马。
1302,相,xiàng,13026,6,,1,相马。
302,会,huì,3026,6,"民间朝山进香或酬神求年成时所组织的集体活动,如香会、迎神赛会等。",2,省会。
302,会,huì,3027,7,"民间一种小规模经济互助组织,入会成员按期平均交款,分期轮流使用。",2,省会。
20721,辖,xiá,207211,1,"大车轴头上穿着的小铁棍,可以管住轮子使不脱落。",3,省辖市。
12831,宇,yǔ,128313,3,"年代地层单位的最高一级,跟宇相应的地质年代叫做宙。",1,眉宇
7001,否,fǒu,70012,2,"表示不同意,相当于口语的‘不’。",1,知其事否?
1242,度,dù,12422,2,"表明物质的有关性质所达到的程度,如硬度、热度、浓度、湿度等。",2,知名度
1242,度,dù,12423,3,计量单位名称。,2,知名度
26721,幢,chuáng,267211,1,旗子一类的东西。,2,石幢。
54311,趺,fū,543111,1,,1,石趺
42221,砣,tuó,422211,1,秤砣。,1,砣一个玉杯。
42221,砣,tuó,422212,2,碾砣。,1,砣一个玉杯。
48051,砺,lì,480511,1,磨刀石。,1,砥砺
47701,砭,biān,477011,1,砭石。,2,砭骨
45571,砻,lóng,455711,1,"去掉稻壳的工具,形状略像磨,多用木料制成。",1,砻了两担稻子。
20041,硝,xiāo,200411,1,"泛称某些矿物盐,如硝石、硭硝等。",1,硝皮子。
2811,根,gēn,28118,8,方根的简称。,2,硫酸根。
2811,根,gēn,28119,9,一元方程的解。,2,硫酸根。
22041,碧,bì,220411,1,青绿色的玉石。,1,碧草
48051,砺,lì,480511,1,磨刀石。,2,磨砺。
45481,稷,jì,454811,1,"称一种粮食作物,有的书说是黍一类的作物,有的书说是谷子(粟)。",1,社稷。
12831,宇,yǔ,128313,3,"年代地层单位的最高一级,跟宇相应的地质年代叫做宙。",2,神宇
23031,哨,shào,230314,4,(鸟)叫。,1,神聊海哨。
22101,灶,zào,221012,2,借指厨房。,1,祭灶
