rank,sn,cihui,ref_cihui,ref_sn
10015,1,眼珠,眼球,①
10016,1,娘子,,②
10092,1,注释,注解,①
10092,2,注释,注解,②
10133,1,大洲,洲,②
10227,1,小汽车,小轿车,②
10316,1,嫂子,嫂,①
10349,1,莲花,莲,①
10362,1,半晌,半天,①
10362,2,半晌,半天,②
10423,2,门子,门路,②
10518,1,额头,额,①
10577,2,口吻,口气,②
10765,1,兵器,武器,①
10774,2,灭火,熄火,③
10854,1,行道,道路,①
10950,1,南边,南面,②
11271,1,收成,收获,①
11289,1,袋子,口袋,①
11411,3,日月,日子,③
11417,1,照射,照,①
11473,1,星球,星,②
11519,2,阴暗,阴沉,②
11549,2,不值得,不值,②
11683,2,门下,门客,①
11727,1,噪音,噪声,①
11727,2,噪音,噪声,②
11789,1,租用,租,③
11801,1,贪婪,贪心,②
11855,1,了得,了不得,①
11855,2,了得,了不得,②
11898,1,儿媳,媳妇,①
11941,2,活生生,活活,①
11944,1,闪耀,闪烁,①
11972,2,主演,主角,①
11994,1,浸泡,浸,①
12009,1,胸膛,胸,①
12049,1,讲演,演讲,①
12049,2,讲演,演讲,②
12142,1,催促,催,①
12146,1,深邃,深,①
12228,1,金子,金,④
12325,3,口音,口气,②
12602,1,比拟,比较,①
12653,1,歼灭,消灭,②
12710,1,册子,本子,①
12718,2,功力,功夫,①
12724,2,编造,编,⑦
12926,2,堂上,高堂,②
13083,1,芙蓉,莲,①
13130,2,原作,原著,①
13516,1,关口,关,⑦
13674,1,大伙儿,大家,①
13762,1,机理,机制,②③
13770,1,忍心,忍,②
14171,1,情势,形势,②
14248,1,甚至于,甚至,①
14248,2,甚至于,甚至,②③
14278,1,荷花,莲,①
14447,1,着落,下落,①
14447,2,着落,,②
14671,2,吞噬,吞没,①
14741,3,漂流,漂泊,②
14974,3,变色,褪色,①
