rank,sn,cihui,ref_cihui,ref_sn
25276,2,颜面,面子,②
25361,1,铭文,铭,①
25383,2,画师,画工,①
25582,1,报章,报纸,①
25584,1,除开,除了,①
25584,2,除开,除了,②
25584,3,除开,除尽,①
25590,1,尼姑,尼,①
25694,1,穗子,穗,①②
25853,1,灯亮儿,灯光,①
25877,1,鲜见,少见,②
25880,1,亡灵,亡魂,①
25969,1,禀报,禀2,①
26094,1,食客,门客,①
26177,2,红眼,眼红,①
26246,1,透气,通气,①
26283,1,擦拭,擦,③
26285,1,肠子,肠,①
26304,2,出炉,出台,②
26315,1,球体,球,⑥
26445,3,帮子,帮,④
26479,1,棚子,棚,①
26479,2,棚子,棚,②
26503,1,分晓,明白,④
26503,1,分晓,明了,②
26503,3,分晓,明白,①
26503,3,分晓,明了,①
26574,1,听筒,耳机,②
26659,1,辅佐,辅助,①
26697,2,邮箱,信箱,②
26841,1,腥味儿,腥气,①
26846,1,怎么的,怎么样,②
26907,1,祖上,祖先,①
26976,2,同窗,同学,②
27263,1,礁石,礁,①
27394,1,假名,化名,②
27425,1,续集,续编,②
27426,2,尖利,尖,⑧
27462,1,恣意,任意,①
27709,1,谈开,说开,①
27709,2,谈开,说开,②
27772,1,鲍鱼,鲍,②
27782,3,跑车,赛车,②
27799,1,新历,阳历,①
27820,1,轻飘,轻飘飘,①
27956,1,半日,半天,①
28153,1,卵子,卵,③
28158,1,钻孔,钻（zuān）,①
28184,1,崽子,崽,②
28193,3,梆子,梆子腔,②
28256,3,后手,后路,②
28264,1,不独,不仅,①
28343,1,大解,大便,①
28368,3,清亮,明白,④
28412,1,姨太太,妾,①
28429,1,梳子,梳,①
28457,1,方始,方才,②
28728,1,匾额,匾,①
28779,1,艺苑,艺林,②
28882,1,嚎叫,嚎,①
29046,2,菜心,菜薹,②
29134,1,窄小,窄,①
29192,1,冤屈,冤枉,②
29192,2,冤屈,冤枉,①
29192,3,冤屈,冤枉,③
29537,2,拨动,拨,②
29574,1,神魂,灵魂,①
29578,1,封杀,封禁,②
29629,1,热乎乎,热乎,①
29716,2,料子,材料,④
29870,1,望子,幌子,①
