rank,sn,cihui,ref_cihui,ref_sn
45158,1,咂嘴,咂,③
45369,1,吞吃,吞,①
45369,2,吞吃,吞没,①
45540,1,纬线,纬,①
45540,2,纬线,纬,③
45598,1,腻味,腻烦,①
45638,2,卡子,卡（qiǎ）,③
45828,1,小产,流产,①
46219,1,成服,成衣,②
46221,1,密告,密报,①
46411,1,绝然,绝对,③
46984,1,渣子,渣,②
47328,3,暖房,温室,①
47363,1,莲蓬,莲房,①
47420,1,知交,知己,②
47452,1,指印,指纹,②
47480,1,凌迟,剐,①
47582,1,龙门阵,闲话,②
47632,1,挂账,赊账,①
47662,1,洋流,海流,①
47708,2,数说,数落,①
47724,1,回文,回环,③
47812,1,汗液,汗,①
47926,1,扒皮,剥（bāo）皮,①
48073,1,行政拘留,拘留,②
48203,2,插口,插话,①
48229,1,豁口,缺口,①
48292,1,经线,经,①
48292,2,经线,经,⑫
48306,2,前奏曲,前奏,②
48848,2,乌金,墨1,①
48876,2,真确,真切,①
48981,1,扎眼,刺眼,②
49007,1,正途,正路,②
49409,1,果核,核1,①
49577,2,支应,应付,①②
49654,2,频度,频率,②
49737,2,四不像,驯鹿,①
49848,2,偏巧,偏偏,②
49890,1,脚丫子,脚,①
49921,1,合家欢,全家福,①
49927,2,拖带,拖,⑤
49950,1,抄近儿,抄道,①
49960,2,概略,大概,②
