rank,sn,cihui,ref_cihui,ref_sn
20150,2,重生,再生,②
20313,3,红线,底线,②
20313,3,红线,警戒线,③
20467,1,云彩,云,①
20475,1,中国工农红军,红军,①
20486,1,爪子,爪（zhǎo）,①
20945,1,醉酒,醉,①
20963,1,叫唤,叫,①
20963,2,叫唤,叫,②
21079,1,伤风,感冒,①
21079,2,伤风,感冒,②
21095,1,脑汁,脑筋,①
21138,1,污秽,肮脏,①
21189,1,今朝,今天,①
21189,2,今朝,今天,②
21266,1,蓄积,积蓄,①
21532,1,骨子,骨,④
21640,1,台子,台1,①
21640,2,台子,台1,③
21643,1,侯爵,侯,①
21645,1,希冀,希望,①
21747,1,棒子,棒,①
21780,1,发狂,发疯,②
21829,1,施舍,施,②
22031,1,遮蔽,遮,②
22143,2,刀刃,刀口,③
22159,1,咒语,咒,③
22221,1,鬼魂,鬼,①
22483,1,客观世界,客观,①
22566,1,号叫,号（háo）,①
22597,1,床铺,床,①
22727,1,押解,押送,②
22756,1,枪决,枪毙,①
22871,1,盖子,盖1,①
23083,1,锄头,锄,①
23092,1,时世,时代,①
23260,1,结结巴巴,结巴,①
23309,1,门道,过道,②
23309,2,门道,门路,①
23664,1,不啻,不止,②
23667,1,水塘,水池,①
23706,1,前奏,前奏曲,①
24025,1,刑事拘留,拘留,①
24080,1,跑动,跑,①
24161,1,甚或,甚至,②
24161,1,甚或,甚至,③
24183,2,结余,结存,②
24213,2,米面,米粉,①
24304,1,边沿,边,①
24471,2,胡言,胡话,②
24608,1,巡游,漫游,②
24645,2,钟点,小时,②
24672,1,不特,不仅,①
24680,3,攀高,攀升,②
24685,2,填充,填空,②
