rank,sn,cihui,ref_cihui,ref_sn
7,1,没有,没,①
7,2,没有,没,②
35,2,组织,组,①
100,2,中央,地方,①
167,1,基本,根本,①
254,3,报告,演讲,②
258,2,和平,平和,②
334,2,比较,比,⑤
390,1,变化,变,①
538,1,文明,文化,①
544,3,检查,检讨,①
621,1,眼睛,眼,①
723,3,计算,算计,④
775,2,一方,一方面,①
791,1,西方,西,①
904,2,意思,意义,②
1019,1,通讯,通信,②
1125,3,发动,动员,②
1200,2,比例,比,⑦
1200,3,比例,比重,②
1274,1,制作,制造,①
1291,4,一边,一般,①
1346,1,引导,带领,①
1384,1,地面,地,④
1384,3,地面,地界,②
1437,2,将军,将,⑦⑧
1451,1,东方,东,①
1465,2,身边,身上,②
1578,1,距离,距2,①
1617,1,一口,满口,①
1617,2,一口,满口,②
1640,1,女性,女,①
1641,3,听说,听话,②
1681,1,黄金,金1,④
1691,1,北方,北,①
1691,3,北方,北,②
1746,1,自动,主动,①
1760,2,占领,占有,①
1767,1,南方,南,①
1767,3,南方,南,②
1830,3,目光,眼光,②
1838,1,既然,既,④
1855,2,高等,高级,①
1950,2,情报,信息,②
2275,1,轨道,轨,④
2339,1,皇帝,皇,③
2340,1,理性,理智,①
2382,1,一路,沿路,②
2420,1,遗憾,遗恨,②
2612,1,缺少,缺,②
2613,1,情感,感情,①②
2850,5,颜色,颜色（yánsè）,②
2974,1,倒是,倒（dào）,⑤
3150,4,场面,排场,①
3184,1,关闭,关,③
3184,2,关闭,关,⑥
3218,1,心脏,心,①
3222,1,凡是,凡1,③
3764,1,男性,男1,①
3806,1,血液,血,①
3953,4,出手,动手,③
3974,2,计数,计算,①
4069,2,手法,手段,②
4112,1,边缘,边,①
4180,1,反响,反应,②
4212,2,引入,引进,①
4279,1,脑子,脑,①
4279,2,脑子,脑筋,①
4280,2,除非,除了,①
4292,1,境地,境界,②
4312,1,院子,院,①②
4327,1,味道,味,①
4436,1,依托,依靠,①
4470,1,摩托车,摩托,②
4636,2,波动,波,④
4824,1,肩膀,肩,①
