rank,sn,cihui,ref_cihui,ref_sn
30006,1,弧线,弧,②
30017,1,兆头,预兆,②
30045,2,寨子,寨,④
30244,1,刀锋,刀刃,①
30253,1,正路,正道,①
30296,1,内服,口服,②
30310,1,弹丸,弹,①
30668,1,合意,合心,②
30788,2,单线,单轨,①
30815,1,挂断,挂,⑥
30987,1,确乎,确实,②
31121,1,菜谱,菜单,①
31531,1,巫婆,女巫,②
31579,1,零用,零花,①
31579,2,零用,零花,②
31674,1,耕田,耕地,①
31674,3,耕田,耕地,②
31872,1,洋车,人力车,②
31898,2,巢穴,巢,③
32080,2,碍事,要紧,②
32148,1,撇嘴,撇3,②
32363,1,皇族,皇室,①
32423,1,凋谢,凋,①
32459,1,盆子,盆,①
32488,2,分值,分数,②
32577,2,剥皮,扒皮,②
32583,1,尿液,尿,①
32615,2,布面,布,①
32754,1,尺子,尺,②
32788,1,描摹,描,①
33020,2,糜烂,腐朽,②
33051,1,护领,衬领,②
33095,1,鳞片,鳞,①
33368,1,刀口,刀刃,①
33374,2,斜眼,斜视,②
33464,1,末节,小节,①
33573,1,避讳,忌讳,①
33643,1,贯串,贯穿,②
33784,1,上灯,掌灯,②
33787,1,亏得,亏,④
33787,2,亏得,亏,⑤
33813,1,锅子,锅,②
33828,1,臣下,臣,②
33857,2,屏蔽,屏障,①
33872,1,光波,光,①
33950,1,霏霏,霏,①
33988,3,晃悠,晃荡,②
34056,1,枝子,枝,①
34447,1,枪械,枪,②
34478,1,叮咬,叮,①
34612,1,滚蛋,滚,③
34629,3,拾掇,整治,②
34633,1,外屋,外间,①
34648,1,胳膊肘儿,肘,①
34671,2,干巴巴,干巴,②
34866,1,水浇地,水地,①
