rank,sn,cihui,ref_cihui,ref_sn
40022,1,白字,别字,①
40232,2,挑子,挑1,③
40353,2,气孔,气门,①
40366,1,顺道,顺路,①
40366,2,顺道,顺路,②
40513,1,土炕,炕,②
40567,2,杠子,杠,③
40567,3,杠子,杠杠,①②
40698,1,弹子,弹,①
40896,1,答允,答应,②
40910,1,泥淖,泥坑,①
40912,1,肘子,肘,①
40912,2,肘子,肘,②
40959,2,腥气,腥,③
41084,1,贞节,贞操,①
41084,2,贞节,贞操,②
41119,1,冰凌,冰,①
41207,1,门径,门路,①
41245,1,依傍,依,②
41269,1,白描,素描,③
41621,1,数目字,数字,①②
41719,1,米线,米粉,②
41805,2,框子,框框,②
41857,1,苏铁,铁树,①
42127,1,新闻纸,报纸,②
42139,1,康健,健康,①
42145,2,冒尖,出头,④
42145,4,冒尖,冒头,①
42246,1,洗牌,洗,⑦
42254,1,怎奈,无奈,①
42254,2,怎奈,无奈,②
42352,1,子午线,经线,②
42368,1,圆舞曲,华尔兹,①
42459,1,譬喻,比喻,①
42469,2,救生圈,橡皮圈,①
42707,1,腕子,腕,①
43049,1,嗔怪,嗔,②
43164,1,表亲,表1,⑤
43316,2,除却,除了,①
43395,1,错开,错2,⑦
43514,1,拐子,拐1,②
43665,2,保准,保证,①
44100,1,瓦匠,瓦工,②
44507,1,田亩,田地,①
44704,1,涟涟,涟,②
44883,1,剪接,剪辑,①
44906,1,皱褶,褶皱,①
