rank,sn,cihui,ref_cihui,ref_sn
60025,1,好赖,好歹,①
60025,2,好赖,好歹,③
60025,3,好赖,好歹,④
60154,1,纤瘦,纤细,②
60457,1,精神头儿,精神（shen）,①
60459,1,洞箫,箫,②
60877,2,偏房,妾,①
60921,1,火钳,火剪,①
61044,1,负极,阴极,①
61074,1,笑剧,闹剧,①
61117,1,补休,补假,②
61202,1,小卧车,小轿车,②
61250,1,缝子,缝（feng）,②
61447,1,座子,座,③
62096,1,忌辰,忌日,①
62246,1,豁子,缺口,①
62270,1,龙须菜,江蓠,②
62331,1,艾蒿,艾1,①
62569,1,灶头,灶,①
62578,1,顶岗,顶班,①
62691,1,黄花闺女,处女,①
62706,1,避忌,忌讳,①
62948,2,底版,版,②
62958,2,孽障,孽种,②
62978,1,乐律,音律,①
63281,1,电度表,电表,②
63579,1,狮子狗,哈巴狗,①
64121,1,直溜,直,①
64221,1,沫子,沫,①
64262,1,耍钱,赌博,①
64409,1,风瘫,瘫痪,①
64474,1,印刻,刻印,③
64525,1,藤子,藤,①②
64616,2,漂游,漂泊,②
64716,1,上辈子,上辈,①
64880,1,横联,横幅,①
64966,1,陈酿,陈酒,①
64973,1,悬想,悬念,①
