rank,sn,cihui,ref_cihui,ref_sn
5013,1,的士,出租汽车,①
5061,1,推翻,推倒,①
5121,1,租赁,租借,①
5174,1,加之,加以,②
5177,1,传真,写真,①
5206,3,手下,手头,①
5206,4,手下,手头,②
5419,2,天时,气候,①
5419,2,天时,天气,①
5586,1,车子,车,①
5601,1,牌子,牌,①
5601,2,牌子,牌,②
5601,3,牌子,牌,④
5611,1,假设,假定,①
5661,1,了不起,了不得,①
5670,1,疼痛,疼,①
5772,2,确切,确实,①
5774,3,水准,水平,②
5835,5,花样,花招,②
5898,1,骨头,骨,①
5898,3,骨头,骨气,①
5920,2,修理,修剪,①
5979,1,忙碌,忙,①
5979,2,忙碌,忙,②
5991,2,叔叔,叔,⑤
5993,3,停车,停机,①
6029,1,门人,门生,①
6029,2,门人,门客,①
6052,1,老虎,虎,①
6142,1,电气,电,②
6223,1,历代,历朝,①
6225,2,香烟,香火,③
6311,1,翅膀,翅,①
6377,1,叶子,叶,①
6381,1,偏偏,偏,⑦
6390,1,果真,果然,①
6390,2,果真,果然,②
6405,1,负面,反面,②
6405,2,负面,反面,③
6584,2,切身,亲身,②
6692,2,户口,户籍,②
6698,1,不光,不仅,①
6698,2,不光,不仅,②
6743,2,进门,入门,①
6838,1,正经,经典,①
6863,1,查询,查问,①
6885,1,过重,超重,②
6929,1,学系,系,④
6990,1,星星,星,①
7065,1,教练员,教练,②
7113,3,浓郁,浓厚,②
7147,1,风波,风浪,①
7196,1,银子,银,①
7294,2,驱动,驱使,②
7305,2,狭窄,狭隘,②
7330,1,攀登,攀,①
7472,2,假定,假设,②
7526,1,有点儿,有些,①
7800,2,国语,国文,②
7833,2,碰撞,冲撞,②
7905,1,先天,后天,②
7955,4,怀抱,打算,②
7973,1,负荷,负担,①
7979,1,光线,光,①
7991,2,摇晃,摇动,②
8012,3,朴实,踏实,①
8046,1,阵线,战线,①
8110,1,站立,站1,①
8131,1,雨水,雨,①
8159,1,舌头,舌,①
8235,1,撞击,撞,①
8244,2,镇压,处决,①
8257,1,后世,后代,①
8312,2,慢性,慢性子,①
8373,2,除去,除了,②
8463,2,发热,发烧,①
8535,1,钻研,钻,②
8539,1,书信,信1,⑥
8553,1,不单,不仅,①
8590,2,牵头,牵线,②
8613,2,要么,要不,①
8903,2,计量,计算,①
8918,2,胡说,胡话,②
8944,2,手腕,手段,②
8944,3,手腕,手段,③
8959,1,保人,保证人,②
8993,1,胸怀,胸,①
8993,2,胸怀,胸襟,②
9133,2,求学,上学,①
9274,1,知觉,感觉,①
9523,2,改写,改编,①
9527,2,急性,急性子,①
9556,1,要死,要命,③
9575,1,喉咙,咽喉,①
9596,1,停顿,停留,①
9631,1,誉称,美称,②
9632,1,神仙,神,①
9648,1,复生,复活,①
9653,1,全然,完全,②
9874,2,粒子,粒,①
9954,1,钟头,小时,②
