rank,sn,cihui,ref_cihui,ref_sn
35179,3,水平线,水平,②
35578,1,魂灵,灵魂,①
35789,2,傻气,傻劲儿,①
35869,1,丑角,丑2,④
35884,1,腰肢,腰身,①②
36138,1,死讯,死信,①
36171,1,雄居,雄踞,②
36240,2,小月,流产,①
36353,2,太阴,太岁,①
36710,2,进账,收入,①
36710,3,进账,收入,②
36918,1,石匠,石工,②
37001,1,拉面,抻面,②
37160,1,古筝,筝,①
37233,3,贞操,贞2,②
37255,1,前兆,预兆,②
37379,2,破落,破败,①
37479,1,第一把手,一把手,③
37632,1,绰约,绰,③
37727,1,老茧,茧子,②
37954,1,掰开,掰,①
38139,1,芋头,芋,①
38146,1,滴答,滴,①
38248,1,幕布,幕,③
38279,2,高矮,高度,①
38280,1,押韵,押2,①
38288,1,品茗,品茶,①
38448,1,按键,键,③
38569,1,场院,场（cháng）,①
38652,2,萌动,萌发,②
38680,1,捎带,附带,①
38680,2,捎带,附带,②
38917,1,黄包车,人力车,②
39042,1,一多半,多半,①
39428,1,勉力,努力,①
39534,2,陈说,陈言,①
39555,2,斋戒,封斋,①
39643,1,电影片,拷贝,②
39723,1,子爵,子1,④
40000,1,欠账,欠债,①
40000,2,欠账,欠债,②
