rank,sn,cihui,pinyin,ref_hanzi,ref_pinyin,pos,definition,example
30006,1,弧线,húxiàn,,,名,弧②,球在空中划了一道弧线。
30017,1,兆头,zhàotou,,,名,预兆②,初冬这场普降的大雪的确是个好兆头｜这可不是好兆头
30045,2,寨子,zhàizi,,,名,寨④,
30244,1,刀锋,dāofēng,,,名,刀刃①,
30253,1,正路,zhènglù,,,名,正道①,
30296,1,内服,nèifú,,,动,口服②（跟“外敷”、“外用”相区别）,
30310,1,弹丸,dànwán,,,名,弹①,
30668,1,合意,héyì,,,形,合心②,那么多服装她没有一件合意的。
30788,2,单线,dānxiàn,,,名,单轨①,很多铁路已由单线扩建成复线了。
30815,1,挂断,guàduàn,,,动,挂⑥,他把电话挂断了
30987,1,确乎,quèhū,,,副,确实②；的确,这个人确乎难缠｜他长得确乎像他哥哥。
31121,1,菜谱,càipǔ,,,名,菜单①,
31531,1,巫婆,wūpó,,,名,女巫②,
31579,1,零用,língyòng,,,动,零花①,
31579,2,零用,língyòng,,,名,零花②,
31674,1,耕田,gēngtián,,,动,耕地①,
31674,3,耕田,gēngtián,,,名,耕地②,山脚有耕田数亩
31872,1,洋车,yángchē,,,名,人力车②。因由东洋（日本）传入，故称,
31898,2,巢穴,cháoxué,,,名,巢③,捣毁土匪的巢穴
32080,2,碍事,àishì,,,形,要紧②（多用于否定）,小孩子磕碰几下，不碍事。
32148,1,撇嘴,piězuǐ,,,动,“撇3”②,
32363,1,皇族,huángzú,,,名,皇室①,
32423,1,凋谢,diāoxiè,,,动,凋①,
32459,1,盆子,pénzi,,,名,盆①,
32488,2,分值,fēnzhí,,,名,分数②,这道试题难度大，分值高。
32577,2,剥皮,bāopí,,,动,扒皮②,
32583,1,尿液,niàoyè,,,名,尿①,取尿液进行化验
32615,2,布面,bùmiàn,,,名,布①,这件衣服布面很好。
32754,1,尺子,chǐzi,,,名,尺②,
32788,1,描摹,miáomó,,,动,描①,
33020,2,糜烂,mílàn,,,形,腐朽②,过着糜烂的生活
33051,1,护领,hùlǐng,,,名,衬领②,
33095,1,鳞片,línpiàn,,,名,鳞①,
33368,1,刀口,dāokǒu,,,名,刀刃①,刀口太钝
33374,2,斜眼,xiéyǎn,,,名,斜视②,
33464,1,末节,mòjié,,,名,小节①；琐事,细枝末节
33573,1,避讳,bìhui,,,动,忌讳①；避免使用不吉利的词语,这儿的渔民都避讳“翻”字。
33643,1,贯串,guànchuàn,,,动,贯穿②,
33784,1,上灯,shàngdēng,,,动,旧指点上灯；掌灯②,
33787,1,亏得,kuīde,,,动,亏④,亏得你指点，不然要走许多冤枉路。
33787,2,亏得,kuīde,,,动,亏⑤,亏得你还是大学生，连这点儿道理都不懂!
33813,1,锅子,guōzi,,,名,锅②,烟袋锅子
33828,1,臣下,chénxià,,,名,臣②,
33857,2,屏蔽,píngbì,,,名,屏障①,以群山为屏蔽
33872,1,光波,guāngbō,,,名,光①,
33950,1,霏霏,fēifēi,,,形,霏①,淫雨霏霏
33988,3,晃悠,huàngyou,,,动,晃荡②,在街上随便晃悠
34056,1,枝子,zhīzi,,,名,枝①,
34447,1,枪械,qiāngxiè,,,名,枪②的统称,
34478,1,叮咬,dīngyǎo,,,动,叮①,
34612,1,滚蛋,gǔndàn,,,动,滚③,
34629,3,拾掇,shíduo,,,动,整治②,拾掇拾掇这帮害群之马。
34633,1,外屋,wàiwū,,,名,外间①,
34648,1,胳膊肘儿,gēbozhǒur,,,名,肘①,
34671,2,干巴巴,gānbābā,,,形,干巴②,他的讲话干巴巴的，没人爱听。
34866,1,水浇地,shuǐjiāodì,,,名,水地①,
