rank,sn,cihui,ref_cihui,ref_sn
55200,1,尘俗,世俗,①
55480,1,手底下,手下,①
55480,2,手底下,手头,①
55501,2,翻砂,铸工,①
55675,1,断乎,断然,②
55744,1,死性,死板,②
55857,2,兜底,保底,②
55926,1,锯子,锯,①
56023,1,差数,差,③
56077,1,终岁,终年,①
56221,1,奢谈,侈谈,①
56238,1,垛子,垛,②
56413,1,床榻,床,①
56618,2,眼见得,眼见,②
56747,2,火网,火墙,②
56819,1,小崽子,崽,②
57273,2,爽气,爽快,②
57295,1,夭亡,夭折,①
57371,1,死力,死劲儿,①
57371,2,死力,死劲儿,②
57406,1,怒潮,涌潮,②
57440,2,马掌,马蹄铁,①
57521,2,浸没,沉浸,②
57781,2,冤孽,冤家,②
57875,2,冒头,出头,④
57946,1,茬子,茬,①
58101,2,花枪,花招,②
58150,1,捏合,捏,③
58464,1,电门,开关,①
58649,3,挂红,挂彩,②
58690,2,配搭,搭配,①
58692,1,暗房,暗室,②
58720,2,字汇,词汇,①
58891,2,发蒙,启蒙,①
59124,1,洗濯,洗,①
59390,1,磅秤,台秤,①
59409,1,被罩,被套,②
59506,1,灯草,芯,①
59568,1,烟卷儿,卷烟,②
59703,1,绝户,绝后,①
59901,1,地脚,地头,②
